hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
301035,0,1,1,4,105,15
6432286,0,1,4,2,218,220
6550822,0,1,4,3,11,212
6558244,0,1,4,4,238,214
6638161,0,1,4,5,182,169
8710670,0,1,5,4,22,236
10631118,0,1,6,2,201,44
10707961,0,1,6,3,157,1
12649379,0,1,7,1,253,87
12856905,0,1,7,4,210,177
12928016,0,1,7,5,188,234
15013168,0,1,8,5,235,202
67422174,0,2,1,4,57,28
75628686,0,2,5,2,256,108
75636788,0,2,5,2,224,198
75763255,0,2,5,4,242,195
75844196,0,2,5,5,182,150
77911053,0,2,6,4,44,237
79899250,0,2,7,3,214,136
81944274,0,2,8,2,162,40
83963112,0,2,9,1,212,18
84161405,0,2,9,4,205,125
84230986,0,2,9,5,189,176
86438461,0,2,10,6,14,189
134812956,0,3,1,2,21,222
135742828,0,3,1,16,69,142
139575092,0,3,3,10,191,198
141543892,0,3,4,8,201,38
143246702,0,3,5,2,197,140
145718376,0,3,6,8,124,146
145848916,0,3,6,10,122,166
149477668,0,3,8,1,217,214
150066810,0,3,8,10,214,128
156317542,0,3,11,10,55,148
157996464,0,3,12,3,213,74
164161608,0,3,15,1,232,178
164465831,0,3,15,6,140,83
164529823,0,3,15,7,134,91
164745108,0,3,15,10,207,102
164808050,0,3,15,11,197,136
173241510,0,3,19,12,116,84
175093439,0,3,20,8,182,59
201943684,0,4,1,3,106,118
202775759,0,4,1,16,28,43
208558434,0,4,4,8,89,152
208698041,0,4,4,10,122,65
214463988,0,4,7,2,117,6
214954573,0,4,7,9,242,173
215086381,0,4,7,11,245,205
218574179,0,4,9,1,45,151
219163702,0,4,9,10,44,196
224897749,0,4,12,1,170,37
227624904,0,4,13,11,71,50
229196219,0,4,14,3,65,63
235951709,0,4,17,10,86,157
236013116,0,4,17,11,70,190
237476186,0,4,18,1,153,160
237786603,0,4,18,6,85,15
237844115,0,4,18,7,54,103
246652169,0,4,22,13,157,241
248425779,0,4,23,8,173,199
404041578,1,3,1,14,47,144
404092352,1,3,1,14,245,58
412538074,1,3,5,15,212,32
421028058,1,3,9,17,96,32
430482815,1,3,14,1,165,123
443173603,1,3,20,3,74,23
443987879,1,3,20,15,183,83
450329972,1,3,23,16,125,134
471171762,1,4,1,15,130,72
479649679,1,4,5,16,223,107
488139038,1,4,9,18,105,220
503827968,1,4,17,1,206,250
505925095,1,4,18,1,205,19
505957357,1,4,18,2,75,13
514396335,1,4,22,3,16,75
527704596,1,4,28,14,34,230
677945122,2,3,4,1,159,216
682162789,2,3,6,1,250,149
747078466,2,4,5,1,131,184
