hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
318431,0,1,1,4,37,27
2360965,0,1,2,4,250,117
2392454,0,1,2,4,127,116
6414117,0,1,4,1,33,213
12860018,0,1,7,4,198,136
14931886,0,1,8,3,41,76
14961735,0,1,8,4,180,179
15056090,0,1,8,5,68,32
67433161,0,2,1,4,14,49
71588314,0,2,3,4,167,32
84030747,0,2,9,2,203,223
84175512,0,2,9,4,150,98
86255236,0,2,10,4,218,118
86350293,0,2,10,5,103,37
145481040,0,3,6,4,221,170
166568124,0,3,16,6,160,62
166668615,0,3,16,8,41,179
169003614,0,3,17,11,202,156
171061610,0,3,18,11,49,144
175048883,0,3,20,8,8,71
183567168,0,3,24,10,3,186
183961767,0,3,24,16,8,83
212325940,0,4,6,1,214,198
214504480,0,4,7,3,20,218
237816073,0,4,18,6,201,241
239912953,0,4,19,6,199,1
239998523,0,4,19,8,22,191
242416201,0,4,20,12,250,177
244474396,0,4,21,12,98,222
248495420,0,4,23,9,189,190
257415196,0,4,27,17,216,222
259080276,0,4,28,11,64,166
406195901,1,3,2,15,14,61
406296905,1,3,2,16,153,177
428858555,1,3,13,8,220,63
449332233,1,3,23,1,68,241
449643150,1,3,23,6,2,108
451428854,1,3,24,1,65,4
473308140,1,4,2,16,27,14
473425604,1,4,2,17,230,54
498045957,1,4,14,9,148,245
500144371,1,4,15,9,152,7
521706663,1,4,25,18,156,83
524768833,1,4,27,1,86,185
525260781,1,4,27,8,215,13
672034635,2,3,1,7,111,175
680268187,2,3,5,5,17,95
701414420,2,3,15,7,188,230
709780778,2,3,19,7,101,208
719908960,2,3,24,1,240,154
739177333,2,4,1,8,243,133
747430720,2,4,5,6,227,186
774733179,2,4,18,7,125,127
785312430,2,4,23,8,234,76
