hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
285625,0,1,1,4,165,65
305554,0,1,1,4,87,104
431822,0,1,1,6,106,44
2170182,0,1,2,1,227,180
2172244,0,1,2,1,219,166
2223954,0,1,2,1,17,168
2281837,0,1,2,2,47,141
2288526,0,1,2,2,21,108
2306517,0,1,2,3,207,37
2317429,0,1,2,3,164,133
2359613,0,1,2,4,255,189
2366526,0,1,2,4,228,188
2418214,0,1,2,4,26,212
2478379,0,1,2,5,47,207
2495850,0,1,2,6,235,144
4263855,0,1,3,1,241,75
4412642,0,1,3,3,172,24
4639969,0,1,3,6,52,25
6659380,0,1,4,5,99,198
8843756,0,1,5,6,15,14
10561134,0,1,6,1,218,140
10596512,0,1,6,1,80,90
10674520,0,1,6,2,31,162
10713445,0,1,6,3,135,149
12815329,0,1,7,3,117,25
12863018,0,1,7,4,186,208
13003289,0,1,7,6,150,225
14810385,0,1,8,1,3,233
14868666,0,1,8,2,32,64
14924573,0,1,8,3,69,221
14994791,0,1,8,4,51,147
67339503,0,2,1,3,124,11
67389732,0,2,1,4,183,214
67395683,0,2,1,4,160,151
67544444,0,2,1,6,91,126
69451641,0,2,2,3,65,129
71376317,0,2,3,1,227,61
71378128,0,2,3,1,220,42
71487204,0,2,3,2,50,22
71522033,0,2,3,3,170,9
71522321,0,2,3,3,168,233
71626832,0,2,3,4,16,170
71677622,0,2,3,5,74,68
71703364,0,2,3,6,229,182
71744201,0,2,3,6,70,49
73472984,0,2,4,1,229,34
75864400,0,2,5,5,103,170
78040011,0,2,6,6,53,47
79767831,0,2,7,1,215,227
79881219,0,2,7,2,28,247
79920404,0,2,7,3,131,230
81978610,0,2,8,2,28,8
82020230,0,2,8,3,121,116
84072246,0,2,9,2,41,196
84165028,0,2,9,4,191,86
84302988,0,2,9,6,164,110
86297313,0,2,10,4,54,25
141485480,0,3,4,7,229,82
141600470,0,3,4,9,166,36
141618609,0,3,4,9,237,73
144082707,0,3,5,15,135,231
145948633,0,3,6,11,255,33
146143948,0,3,6,14,250,46
152369485,0,3,9,13,249,173
154078217,0,3,10,8,12,241
154435128,0,3,10,13,126,194
154666266,0,3,10,17,5,224
154713303,0,3,10,17,188,35
156133583,0,3,11,7,104,43
156152543,0,3,11,7,178,27
156175606,0,3,11,8,12,4
158396725,0,3,12,9,241,197
160125746,0,3,13,4,83,200
162405560,0,3,14,7,28,66
162554749,0,3,14,9,99,125
162632523,0,3,14,10,147,175
162759697,0,3,14,12,132,233
164209596,0,3,15,2,163,62
164382397,0,3,15,5,70,61
164496010,0,3,15,7,2,112
164670856,0,3,15,9,173,114
164909659,0,3,15,13,82,159
164943711,0,3,15,13,215,155
165044694,0,3,15,15,97,36
165139735,0,3,15,16,213,227
168318809,0,3,17,1,87,161
172694402,0,3,19,4,27,120
172997505,0,3,19,8,187,121
173270964,0,3,19,12,231,70
173513402,0,3,19,16,154,64
174689149,0,3,20,2,139,125
175205198,0,3,20,10,107,172
175238202,0,3,20,10,236,192
175242286,0,3,20,10,252,204
175270754,0,3,20,11,107,152
175504718,0,3,20,14,253,172
175514134,0,3,20,15,34,228
175537160,0,3,20,15,124,242
175620621,0,3,20,16,194,237
175633179,0,3,20,16,243,223
175644715,0,3,20,17,32,207
177424087,0,3,21,12,70,35
177553340,0,3,21,14,63,62
177607885,0,3,21,15,20,45
177634547,0,3,21,15,124,7
177708222,0,3,21,16,156,60
177711592,0,3,21,16,169,18
177714369,0,3,21,16,180,57
177718009,0,3,21,16,194,1
177719468,0,3,21,16,200,78
179704672,0,3,22,15,19,154
179709274,0,3,22,15,37,160
179720516,0,3,22,15,81,182
179787584,0,3,22,16,87,186
179800602,0,3,22,16,138,224
179814915,0,3,22,16,194,247
179821089,0,3,22,16,218,217
179828531,0,3,22,16,247,199
181138433,0,3,23,4,244,249
181275319,0,3,23,7,10,67
181505750,0,3,23,10,142,36
181721069,0,3,23,13,215,13
181857776,0,3,23,15,237,10
181905132,0,3,23,16,166,14
181912307,0,3,23,16,194,7
183232754,0,3,24,4,232,8
183385150,0,3,24,7,60,188
183410703,0,3,24,7,160,235
183411514,0,3,24,7,163,192
183546214,0,3,24,9,177,148
183659650,0,3,24,11,108,120
183872038,0,3,24,14,170,212
202186959,0,4,1,7,32,43
202643422,0,4,1,14,23,28
202905972,0,4,1,18,25,134
209211589,0,4,4,18,80,53
210599327,0,4,5,7,125,91
210712257,0,4,5,9,54,57
210725538,0,4,5,9,106,88
213192726,0,4,6,15,16,228
215053796,0,4,7,11,117,22
215250142,0,4,7,14,116,28
223817626,0,4,11,17,47,96
225259887,0,4,12,7,49,139
225372506,0,4,12,8,233,160
225415560,0,4,12,9,145,114
225644482,0,4,12,13,15,56
226007197,0,4,12,18,152,93
229598469,0,4,14,9,101,245
231455355,0,4,15,5,186,127
231640854,0,4,15,8,143,228
231695862,0,4,15,9,101,4
233892801,0,4,16,10,235,57
235405649,0,4,17,2,1,169
235709001,0,4,17,6,162,177
235993884,0,4,17,10,251,222
236186973,0,4,17,13,237,157
236247810,0,4,17,14,219,248
236382604,0,4,17,16,233,110
236383424,0,4,17,16,236,58
238023606,0,4,18,9,243,68
238230246,0,4,18,13,26,20
238344945,0,4,18,14,218,9
246138747,0,4,22,5,199,127
246310791,0,4,22,8,103,115
246583970,0,4,22,12,146,88
246831286,0,4,22,16,88,68
248545834,0,4,23,10,130,208
248708461,0,4,23,12,253,141
248815201,0,4,23,14,158,153
250693970,0,4,24,11,73,168
250996162,0,4,24,15,229,56
251009965,0,4,24,16,27,77
251013071,0,4,24,16,39,43
251014835,0,4,24,16,46,71
251022027,0,4,24,16,74,47
251027117,0,4,24,16,94,77
251031534,0,4,24,16,111,12
251040972,0,4,24,16,148,46
251043807,0,4,24,16,159,27
251067856,0,4,24,16,253,42
251185601,0,4,24,18,201,57
252388497,0,4,25,5,36,105
252432115,0,4,25,5,206,7
253274136,0,4,25,18,168,226
255199780,0,4,26,16,10,214
255214340,0,4,26,16,67,246
255223862,0,4,26,16,104,196
255230559,0,4,26,16,130,155
255234667,0,4,26,16,146,143
255242100,0,4,26,16,175,134
255247217,0,4,26,16,195,137
255306371,0,4,26,17,170,119
257028569,0,4,27,11,241,33
257109467,0,4,27,13,45,31
