hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
280343,0,1,1,4,185,227
4379536,0,1,3,2,45,106
4573369,0,1,3,5,56,65
8542925,0,1,5,2,166,45
8649315,0,1,5,3,6,151
12937287,0,1,7,5,152,179
14855356,0,1,8,2,84,62
15023018,0,1,8,5,197,80
69498056,0,2,2,4,140,50
71682848,0,2,3,5,53,218
73587166,0,2,4,2,39,28
77665797,0,2,6,1,234,245
77774278,0,2,6,2,67,52
79758840,0,2,7,1,251,2
84059146,0,2,9,2,92,240
84236181,0,2,9,5,169,101
86323133,0,2,10,5,209,61
135355659,0,3,1,10,93,239
137262748,0,3,2,7,118,94
137453048,0,3,2,10,93,2
139166746,0,3,3,4,132,224
139880198,0,3,3,15,103,244
141969287,0,3,4,15,71,115
141977586,0,3,4,15,103,8
147400527,0,3,7,2,39,171
149745596,0,3,8,5,239,62
155733389,0,3,11,1,77,109
164785311,0,3,15,11,108,91
166506547,0,3,16,5,176,199
166723167,0,3,16,8,254,155
168468342,0,3,17,3,159,132
171075810,0,3,18,11,104,24
181376718,0,3,23,8,150,44
183202331,0,3,24,4,114,223
204597742,0,4,2,11,233,12
206270308,0,4,3,5,111,150
209125301,0,4,4,16,255,69
218779948,0,4,9,4,81,206
236112923,0,4,17,12,204,223
239805796,0,4,19,5,37,150
240022175,0,4,19,8,114,91
241765645,0,4,20,3,13,237
244503492,0,4,21,12,211,54
256826923,0,4,27,8,222,207
258736055,0,4,28,5,255,67
416036608,1,3,7,5,55,250
416257513,1,3,7,8,149,17
416314393,1,3,7,9,116,225
416485796,1,3,7,12,17,86
416666891,1,3,7,14,213,239
416756927,1,3,7,16,52,59
416857410,1,3,7,17,189,184
418135533,1,3,8,5,61,13
418765049,1,3,8,14,216,1
432944547,1,3,15,7,53,87
485915595,1,4,8,16,123,47
487956178,1,4,9,15,158,40
488165068,1,4,9,18,206,46
504355736,1,4,17,9,219,98
508161224,1,4,19,3,236,50
