hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
100396,0,1,1,1,120,206
126137,0,1,1,1,20,65
317983,0,1,1,4,38,219
2163391,0,1,2,1,254,59
2198672,0,1,2,1,116,106
2215647,0,1,2,1,50,27
2222717,0,1,2,1,22,125
4388305,0,1,3,2,11,41
4650682,0,1,3,6,10,64
6392883,0,1,4,1,116,199
8503459,0,1,5,1,64,87
8549575,0,1,5,2,140,51
8573342,0,1,5,2,47,92
8573599,0,1,5,2,46,91
8683175,0,1,5,4,130,83
8812698,0,1,5,6,136,96
10554524,0,1,6,1,244,94
10805264,0,1,6,4,32,234
10924356,0,1,6,6,79,182
12710657,0,1,7,1,13,249
12768327,0,1,7,2,44,179
14761395,0,1,8,1,195,71
14808050,0,1,8,1,13,8
14853253,0,1,8,2,92,117
14876477,0,1,8,2,1,189
67238900,0,2,1,1,5,6
69273441,0,2,2,1,249,153
69312057,0,2,2,1,98,193
69321068,0,2,2,1,63,142
69331504,0,2,2,1,22,202
69506697,0,2,2,4,106,113
71379485,0,2,3,1,214,221
75575299,0,2,5,1,208,247
75594047,0,2,5,1,135,187
75878317,0,2,5,5,49,77
77670634,0,2,6,1,216,16
77721468,0,2,6,1,17,126
77753292,0,2,6,2,149,46
77882557,0,2,6,4,156,61
78014394,0,2,6,6,153,64
79767089,0,2,7,1,218,201
82111088,0,2,8,4,22,138
82231701,0,2,8,6,63,101
84014381,0,2,9,1,11,205
84077406,0,2,9,2,21,156
86061274,0,2,10,1,208,32
86113286,0,2,10,1,4,244
86157970,0,2,10,2,86,104
139202098,0,3,3,5,14,200
141135432,0,3,4,2,142,178
147434203,0,3,7,2,170,31
147556126,0,3,7,4,135,220
147740743,0,3,7,7,88,179
147829137,0,3,7,8,177,105
148187495,0,3,7,14,41,147
150036630,0,3,8,10,96,100
150168424,0,3,8,12,99,146
150381347,0,3,8,15,163,215
151831870,0,3,9,5,197,188
152621352,0,3,9,17,209,210
156530304,0,3,11,13,118,122
156641149,0,3,11,15,39,125
158114652,0,3,12,5,163,158
158153918,0,3,12,6,60,60
158392430,0,3,12,9,224,140
158506963,0,3,12,11,159,39
162924206,0,3,14,15,6,76
168386519,0,3,17,2,95,35
168709488,0,3,17,7,77,138
169099221,0,3,17,13,63,37
172829492,0,3,19,6,43,198
172830246,0,3,19,6,46,212
208340265,0,4,4,5,5,209
210200090,0,4,5,1,102,224
216644361,0,4,8,3,187,241
216930916,0,4,8,8,26,150
217420084,0,4,8,15,145,198
218888638,0,4,9,5,249,60
219058245,0,4,9,8,144,181
223075077,0,4,11,5,219,245
223453914,0,4,11,11,162,32
223833109,0,4,11,17,108,229
225171704,0,4,12,5,216,2
225530211,0,4,12,11,81,151
227247941,0,4,13,5,135,181
227514223,0,4,13,9,151,139
229502632,0,4,14,7,238,82
232150812,0,4,15,16,87,222
240440651,0,4,19,14,213,175
241737403,0,4,20,2,158,63
242146252,0,4,20,8,219,46
403361568,1,3,1,3,207,218
424528341,1,3,11,6,201,37
427294101,1,3,12,16,253,101
433508387,1,3,15,15,208,215
448004401,1,3,22,13,1,201
470453082,1,4,1,4,139,160
493803716,1,4,12,8,216,54
496371007,1,4,13,16,5,187
506803118,1,4,18,15,51,76
523522999,1,4,26,14,83,67
682125501,2,3,6,1,104,61
682125931,2,3,6,1,106,143
686378434,2,3,8,2,77,56
705291965,2,3,17,2,230,61
755627868,2,4,9,3,247,158
776503343,2,4,19,2,128,203
