hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
161665,0,1,1,2,137,121
4523127,0,1,3,5,252,131
6367674,0,1,4,1,215,64
6584890,0,1,4,4,134,192
8820853,0,1,5,6,104,133
10635709,0,1,6,2,183,61
12667559,0,1,7,1,182,83
14945625,0,1,8,4,243,161
67282801,0,2,1,2,89,137
73858757,0,2,4,6,2,53
75580900,0,2,5,1,187,22
75781449,0,2,5,4,171,177
78013538,0,2,6,6,156,152
79838840,0,2,7,2,194,130
83987656,0,2,9,1,116,50
86263635,0,2,10,4,185,167
136959855,0,3,2,2,215,139
139609452,0,3,3,11,69,142
141893843,0,3,4,14,32,39
143486130,0,3,5,6,108,72
148035766,0,3,7,11,216,68
148150612,0,3,7,13,153,166
156199630,0,3,11,8,106,44
156553097,0,3,11,13,207,113
156622009,0,3,11,14,220,65
160875462,0,3,13,15,195,52
160957764,0,3,13,17,5,182
172968880,0,3,19,8,75,74
173337389,0,3,19,13,235,205
173491268,0,3,19,16,68,182
174939249,0,3,20,6,92,137
206159067,0,4,3,3,188,31
208843407,0,4,4,12,178,107
211116999,0,4,5,15,99,51
212606149,0,4,6,6,28,53
217249807,0,4,8,12,248,235
217364091,0,4,8,14,182,127
225665585,0,4,12,13,98,201
225983594,0,4,12,18,60,144
227528926,0,4,13,9,208,28
227821246,0,4,13,14,70,60
230008911,0,4,14,15,168,171
246302296,0,4,22,8,70,162
246647356,0,4,22,13,138,190
246930530,0,4,22,17,220,152
250364397,0,4,24,6,65,13
412025549,1,3,5,8,2,45
412239244,1,3,5,11,69,110
433506754,1,3,15,15,201,56
476600596,1,4,4,2,89,230
479135602,1,4,5,9,7,136
479355670,1,4,5,12,99,228
504698007,1,4,17,15,20,99
686907068,2,3,8,10,94,62
686907323,2,3,8,10,95,63
692622055,2,3,11,1,146,19
714089770,2,3,21,9,37,208
720536120,2,3,24,11,130,194
761768326,2,4,12,1,169,116
795960656,2,4,28,11,101,170
