hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
112558,0,1,1,1,73,76
2263883,0,1,2,2,117,175
2299962,0,1,2,3,232,192
2456006,0,1,2,5,135,52
4482612,0,1,3,4,154,198
4520263,0,1,3,4,7,179
4621212,0,1,3,6,125,94
8641305,0,1,5,3,37,225
10755021,0,1,6,4,229,45
10757318,0,1,6,4,220,52
12798156,0,1,7,3,184,46
12974576,0,1,7,5,7,10
69559958,0,2,2,5,154,100
71454916,0,2,3,2,176,54
71629173,0,2,3,4,7,133
71667202,0,2,3,5,114,248
71709440,0,2,3,6,205,250
73601327,0,2,4,3,239,203
73774046,0,2,4,5,77,28
73808881,0,2,4,6,197,9
79933390,0,2,7,3,81,44
82172741,0,2,8,5,37,181
84025998,0,2,9,2,222,108
135282166,0,3,1,9,61,4
139568089,0,3,3,10,163,33
139733486,0,3,3,13,41,12
145694052,0,3,6,8,29,150
154263988,0,3,10,10,225,70
164793278,0,3,15,11,139,60
166414664,0,3,16,4,73,178
170622046,0,3,18,4,124,156
176915883,0,3,21,4,133,79
179464381,0,3,22,11,104,61
183515656,0,3,24,9,58,242
202391995,0,4,1,10,65,63
206693921,0,4,3,11,230,217
206843476,0,4,3,14,46,166
217041621,0,4,8,9,202,37
225571560,0,4,12,11,242,18
236112911,0,4,17,12,204,235
237738812,0,4,18,5,155,190
245961666,0,4,22,3,19,56
250261760,0,4,24,4,177,250
252358129,0,4,25,4,173,9
252887325,0,4,25,12,193,221
413755933,1,3,6,2,106,221
482915802,1,4,7,2,181,32
673907317,2,3,2,4,2,133
691212178,2,3,10,12,15,104
691349800,2,3,10,14,41,210
693113904,2,3,11,9,20,202
698941754,2,3,14,2,1,192
709866937,2,3,19,8,181,65
741065607,2,4,2,5,195,115
760353601,2,4,11,12,19,185
762586543,2,4,12,14,37,75
764349342,2,4,13,9,11,92
770293323,2,4,16,3,190,175
783197923,2,4,22,8,166,23
