hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
97472,0,1,1,1,132,58
2213532,0,1,2,1,58,94
2246857,0,1,2,2,184,49
4310273,0,1,3,1,59,249
4331955,0,1,3,2,231,71
6405364,0,1,4,1,68,6
6729445,0,1,4,6,82,21
8594497,0,1,5,3,220,185
8764905,0,1,5,5,67,17
10552582,0,1,6,1,251,244
10560658,0,1,6,1,220,104
10716337,0,1,6,3,124,73
10875028,0,1,6,5,16,102
12648948,0,1,7,1,255,6
67219109,0,2,1,1,82,85
69373521,0,2,2,2,114,169
71558704,0,2,3,3,26,202
73529128,0,2,4,1,9,210
75827952,0,2,5,5,246,10
75848709,0,2,5,5,164,245
77797707,0,2,6,3,231,175
77948148,0,2,6,5,156,6
79774775,0,2,7,1,188,195
79902259,0,2,7,3,202,199
79960849,0,2,7,4,229,233
81862017,0,2,8,1,227,121
84279415,0,2,9,6,256,131
137375429,0,3,2,9,46,53
143328160,0,3,5,4,3,90
148162198,0,3,7,13,198,100
149969897,0,3,8,9,91,17
150144705,0,3,8,12,6,57
153979904,0,3,10,6,140,250
154646972,0,3,10,16,185,62
156076780,0,3,11,6,138,14
158522120,0,3,12,11,219,242
160269140,0,3,13,6,131,166
160465890,0,3,13,9,131,24
160620279,0,3,13,11,222,3
165144284,0,3,15,16,230,30
166962606,0,3,16,12,165,76
167124318,0,3,16,15,29,156
174608725,0,3,20,1,81,165
174883445,0,3,20,5,130,133
183357258,0,3,24,6,207,176
202169063,0,4,1,6,218,19
204492133,0,4,2,10,77,149
212470163,0,4,6,4,9,103
217355844,0,4,8,14,150,182
219203505,0,4,9,10,199,73
219379312,0,4,9,13,118,138
225199215,0,4,12,6,68,139
225852583,0,4,12,16,60,83
231688829,0,4,15,9,74,125
231917714,0,4,15,12,200,104
233588934,0,4,16,6,72,52
234250528,0,4,16,16,97,218
238170677,0,4,18,12,50,197
240561364,0,4,19,16,172,38
248024428,0,4,23,2,141,142
250309354,0,4,24,5,106,16
254250462,0,4,26,1,141,28
403848396,1,3,1,11,60,46
413757295,1,3,6,2,111,139
417874856,1,3,8,1,67,82
424331670,1,3,11,3,201,100
428446912,1,3,13,2,148,58
428780682,1,3,13,7,172,112
429400141,1,3,13,17,32,173
429424178,1,3,13,17,126,200
430738465,1,3,14,5,140,217
431031635,1,3,14,10,5,167
431464857,1,3,14,16,161,97
432630649,1,3,15,2,107,129
441943778,1,3,19,16,134,24
470975389,1,4,1,12,131,93
482968752,1,4,7,3,132,74
493535037,1,4,12,4,191,189
499735650,1,4,15,3,92,152
500055367,1,4,15,8,61,179
502312783,1,4,16,10,175,171
502536395,1,4,16,14,24,47
502536651,1,4,16,14,25,47
502638460,1,4,16,15,167,126
502799270,1,4,16,18,27,84
502842814,1,4,16,18,197,60
503932261,1,4,17,3,101,149
504080869,1,4,17,5,169,21
511236549,1,4,20,18,217,53
513239494,1,4,21,17,105,52
693114938,2,3,11,9,24,192
701724609,2,3,15,12,119,57
718532275,2,3,23,12,238,71
770192692,2,4,16,2,53,198
772974251,2,4,17,12,166,79
791744886,2,4,26,11,17,132
