hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2411149,0,1,2,4,54,109
8625024,0,1,5,3,101,122
12846370,0,1,7,4,251,216
14771992,0,1,8,1,153,226
14958265,0,1,8,4,194,65
71627989,0,2,3,4,12,37
77824351,0,2,6,3,127,155
84157006,0,2,9,4,222,172
84274051,0,2,9,5,21,119
86083850,0,2,10,1,119,240
135221799,0,3,1,8,82,211
148079767,0,3,7,12,132,99
149443118,0,3,8,1,82,204
152062585,0,3,9,9,74,129
153692859,0,3,10,2,42,63
156796382,0,3,11,17,133,28
158519906,0,3,12,11,210,152
160963840,0,3,13,17,29,250
162695691,0,3,14,11,138,239
163060954,0,3,14,17,28,32
164793337,0,3,15,11,139,1
167109252,0,3,16,14,226,118
172878140,0,3,19,6,233,190
204346276,0,4,2,8,19,86
220673116,0,4,10,1,52,158
221400047,0,4,10,12,75,11
223382416,0,4,11,10,139,106
225042343,0,4,12,3,223,83
225634602,0,4,12,12,233,208
236112523,0,4,17,12,202,111
238330467,0,4,18,14,162,151
248295112,0,4,23,6,174,50
412383109,1,3,5,13,119,117
428882698,1,3,13,9,59,240
429105541,1,3,13,12,161,117
430980344,1,3,14,9,60,2
433173045,1,3,15,10,178,197
437366003,1,3,17,10,172,7
437419356,1,3,17,11,125,158
439483480,1,3,18,10,252,162
444059483,1,3,20,16,207,159
479504406,1,4,5,14,168,228
500423618,1,4,15,13,219,56
502718845,1,4,16,16,225,125
502719101,1,4,16,16,226,125
508728079,1,4,19,12,147,235
517348210,1,4,23,16,27,136
717882257,2,3,23,3,3,105
793431278,2,4,27,4,204,12
