hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
205445,0,1,1,3,222,117
273522,0,1,1,4,212,136
2405450,0,1,2,4,76,176
2455259,0,1,2,5,138,31
4343648,0,1,3,2,185,154
6449542,0,1,4,2,151,116
6501744,0,1,4,3,203,138
6635157,0,1,4,5,194,101
8594248,0,1,5,3,221,178
8654157,0,1,5,4,243,173
8697703,0,1,5,4,73,147
10633238,0,1,6,2,192,228
12692197,0,1,7,1,86,21
12797052,0,1,7,3,188,126
12936517,0,1,7,5,155,181
67314041,0,2,1,3,223,129
67383396,0,2,1,4,208,150
69543805,0,2,2,5,217,125
71683740,0,2,3,5,50,94
73540788,0,2,4,2,220,70
75654829,0,2,5,2,154,77
75707288,0,2,5,3,205,98
75839415,0,2,5,5,201,67
77800194,0,2,6,3,221,248
77859076,0,2,6,4,247,246
77903913,0,2,6,4,72,209
79897588,0,2,7,3,221,6
79956470,0,2,7,4,247,4
81913938,0,2,8,1,24,168
81929365,0,2,8,2,220,101
84101055,0,2,9,3,185,59
84241033,0,2,9,5,150,113
139511773,0,3,3,9,199,29
141159850,0,3,4,2,237,80
143643229,0,3,5,8,210,157
143696206,0,3,5,9,161,172
143820865,0,3,5,11,136,185
143875853,0,3,5,12,95,237
148306404,0,3,7,15,249,22
154157256,0,3,10,9,64,50
154181251,0,3,10,9,158,119
154237831,0,3,10,10,123,115
156279754,0,3,11,9,163,48
162220627,0,3,14,4,74,167
162584664,0,3,14,9,216,162
162598428,0,3,14,10,14,222
162919502,0,3,14,14,244,172
164984532,0,3,15,14,118,38
173056185,0,3,19,9,160,65
173133974,0,3,19,10,208,100
181691690,0,3,23,13,101,208
206504802,0,4,3,9,3,152
208181014,0,4,4,2,151,228
212748902,0,4,6,8,74,148
212801102,0,4,6,9,22,172
213055544,0,4,6,12,248,194
215104117,0,4,7,12,58,133
217416073,0,4,8,15,129,113
223387918,0,4,11,10,161,236
225384582,0,4,12,9,24,116
225493463,0,4,12,10,193,35
225572490,0,4,12,11,246,112
233937409,0,4,16,11,154,249
234121314,0,4,16,14,104,152
235562912,0,4,17,4,103,90
236034800,0,4,17,11,154,10
236194230,0,4,17,14,9,68
244261404,0,4,21,9,34,222
246438116,0,4,22,10,88,22
257176578,0,4,27,14,52,248
259274995,0,4,28,14,56,7
420904509,1,3,9,15,126,189
425131346,1,3,11,15,253,168
439851862,1,3,18,16,155,164
441500606,1,3,19,9,195,60
451548790,1,3,24,3,22,132
496324754,1,4,13,15,80,104
512743733,1,4,21,9,217,197
513200800,1,4,21,16,210,90
527170283,1,4,28,5,250,15
694886480,2,3,12,4,32,170
766239873,2,4,14,5,228,121
