hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
237370,0,1,1,3,97,192
434579,0,1,1,6,95,103
4370906,0,1,3,2,79,32
4378255,0,1,3,2,50,107
8603789,0,1,5,3,184,109
8651482,0,1,5,4,254,32
8818907,0,1,5,6,112,31
12722585,0,1,7,2,223,97
67333892,0,2,1,3,145,246
67544470,0,2,1,6,91,100
69432309,0,2,2,3,141,5
71491137,0,2,3,2,34,185
71495691,0,2,3,2,16,239
77900359,0,2,6,4,86,179
78024122,0,2,6,6,115,64
84019175,0,2,9,2,249,19
135074155,0,3,1,6,17,143
137203780,0,3,2,6,144,182
142065696,0,3,4,16,192,218
149567008,0,3,8,3,54,218
150040917,0,3,8,10,113,165
150207049,0,3,8,12,250,177
150259370,0,3,8,13,198,80
150283905,0,3,8,14,38,121
150326886,0,3,8,14,206,148
151856334,0,3,9,6,36,44
152058247,0,3,9,9,57,115
152186757,0,3,9,11,47,117
152417630,0,3,9,14,181,156
153746470,0,3,10,2,252,212
153813862,0,3,10,4,3,148
154093348,0,3,10,8,71,214
154331672,0,3,10,11,234,226
154438219,0,3,10,13,138,175
155743600,0,3,11,1,117,138
156500952,0,3,11,13,3,34
156699068,0,3,11,16,9,62
160093560,0,3,13,3,213,130
162594051,0,3,14,9,253,247
164691697,0,3,15,9,254,9
171062822,0,3,18,11,54,212
171240238,0,3,18,13,235,204
171283364,0,3,18,14,147,86
171310430,0,3,18,14,253,156
171334342,0,3,18,15,90,52
172508061,0,3,19,1,67,93
179427214,0,3,22,10,215,108
202229377,0,4,1,7,198,121
206334885,0,4,3,6,107,85
209103110,0,4,4,16,169,244
211199987,0,4,5,16,167,7
220791949,0,4,10,3,4,109
221375664,0,4,10,11,236,74
221409953,0,4,10,12,114,89
221462770,0,4,10,13,64,8
221531316,0,4,10,14,76,70
221617616,0,4,10,15,157,42
224931775,0,4,12,2,47,59
228025242,0,4,13,17,99,96
230065625,0,4,14,16,133,33
231189600,0,4,15,1,172,154
233402549,0,4,16,3,112,69
235885427,0,4,17,9,83,135
238566206,0,4,18,18,59,188
242488362,0,4,20,14,20,208
242671445,0,4,20,16,223,165
243832624,0,4,21,2,151,202
244498290,0,4,21,12,191,136
244543615,0,4,21,13,112,123
244613329,0,4,21,14,128,41
254927472,0,4,26,11,226,138
426943080,1,3,12,11,162,146
433325171,1,3,15,13,4,135
443583289,1,3,20,9,139,193
452018459,1,3,24,10,65,223
498256064,1,4,14,12,200,58
506744537,1,4,18,14,78,33
519103082,1,4,24,10,226,144
527556502,1,4,28,11,223,100
696899899,2,3,13,2,217,191
701064881,2,3,15,2,102,73
701111634,2,3,15,3,29,168
701222934,2,3,15,4,208,228
716301651,2,3,22,10,229,167
738718861,2,4,1,1,244,109
772284291,2,4,17,2,31,119
772381732,2,4,17,3,156,214
791717092,2,4,26,10,164,22
