hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
144385,0,1,1,2,204,249
278652,0,1,1,4,192,126
2243056,0,1,2,2,199,10
2310732,0,1,2,3,190,174
2476587,0,1,2,5,54,207
6595306,0,1,4,4,94,16
8835707,0,1,5,6,46,127
10694013,0,1,6,3,211,125
12653964,0,1,7,1,235,110
12910884,0,1,7,5,255,214
15063729,0,1,8,5,38,73
67385148,0,2,1,4,201,190
69344429,0,2,2,2,228,77
71515781,0,2,3,3,194,117
71681902,0,2,3,5,57,140
73717296,0,2,4,4,42,202
78024783,0,2,6,6,112,171
79913270,0,2,7,3,159,196
83972569,0,2,9,1,175,33
84270390,0,2,9,5,35,196
84322419,0,2,9,6,88,135
137405220,0,3,2,9,163,214
137442053,0,3,2,10,51,245
139539443,0,3,3,10,51,7
139779077,0,3,3,13,220,245
141542216,0,3,4,8,195,178
141876468,0,3,4,13,220,6
148398714,0,3,7,17,98,128
152337559,0,3,9,13,124,99
156236939,0,3,11,8,252,111
158615482,0,3,12,13,71,64
162622075,0,3,14,10,106,127
162766449,0,3,14,12,158,137
167182136,0,3,16,15,255,194
177308380,0,3,21,10,130,30
177574325,0,3,21,14,145,69
179347214,0,3,22,9,159,236
206511218,0,4,3,9,28,136
206679632,0,4,3,11,174,170
208879136,0,4,4,13,62,218
210680176,0,4,5,8,185,138
217527746,0,4,8,17,53,56
223641068,0,4,11,14,125,14
227465628,0,4,13,8,217,94
229955768,0,4,14,14,216,66
232264063,0,4,15,18,17,123
233959568,0,4,16,11,240,106
233973384,0,4,16,12,38,114
234390796,0,4,16,18,133,238
242721572,0,4,20,17,163,214
250737316,0,4,24,11,242,86
251001726,0,4,24,15,251,124
254856193,0,4,26,10,204,249
256954099,0,4,27,10,206,7
430561893,1,3,14,2,218,149
443622830,1,3,20,10,37,76
501866581,1,4,16,3,224,165
517031074,1,4,23,11,68,88
694873411,2,3,12,3,237,183
708286751,2,3,18,16,153,219
713745303,2,3,21,3,227,99
751293912,2,4,7,1,213,34
763998488,2,4,13,3,177,226
781620566,2,4,21,16,149,164
