hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
388577,0,1,1,5,19,25
413992,0,1,1,6,175,210
2235986,0,1,2,2,226,168
2361949,0,1,2,4,246,157
2368415,0,1,2,4,221,91
2529491,0,1,2,6,104,39
6535635,0,1,4,3,71,39
8730832,0,1,5,5,200,42
10847162,0,1,6,5,125,64
14965357,0,1,8,4,166,141
15067141,0,1,8,5,24,245
69592647,0,2,2,5,26,179
71554752,0,2,3,3,42,58
71588056,0,2,3,4,168,34
75643285,0,2,5,2,199,101
77927345,0,2,6,5,237,73
80055636,0,2,7,5,115,166
86279580,0,2,10,4,123,94
86365762,0,2,10,5,42,184
135355515,0,3,1,10,92,127
135685774,0,3,1,15,102,108
149722711,0,3,8,5,150,163
151712294,0,3,9,3,242,212
152270188,0,3,9,12,117,142
156323330,0,3,11,10,78,248
158420465,0,3,12,10,77,9
164580416,0,3,15,8,76,186
165121348,0,3,15,16,141,182
169005201,0,3,17,11,208,105
179069955,0,3,22,5,100,247
179559235,0,3,22,12,219,183
181167598,0,3,23,5,101,12
183480641,0,3,24,8,177,185
202451457,0,4,1,11,42,249
204549875,0,4,2,11,46,7
204983937,0,4,2,17,206,121
220984679,0,4,10,5,245,147
223569944,0,4,11,13,104,226
225093556,0,4,12,4,167,70
227248901,0,4,13,5,139,245
229346293,0,4,14,5,139,5
229761246,0,4,14,11,224,28
235824260,0,4,17,8,100,118
236354441,0,4,17,16,123,113
242294975,0,4,20,11,32,59
254255291,0,4,26,1,160,63
254595719,0,4,26,6,210,115
255058391,0,4,26,13,225,35
258917650,0,4,28,8,197,232
259548524,0,4,28,18,101,142
416840979,1,3,7,17,125,231
422565596,1,3,10,8,214,30
424722995,1,3,11,9,194,199
439117365,1,3,18,5,102,197
447848128,1,3,22,10,158,58
452486558,1,3,24,17,101,92
471396774,1,4,1,18,241,84
486076385,1,4,8,18,239,25
491195554,1,4,11,1,12,88
512494049,1,4,21,6,9,25
521269626,1,4,25,11,241,128
686655294,2,3,8,6,135,188
690991038,2,3,10,8,175,60
699439782,2,3,14,9,154,84
707299403,2,3,18,1,136,175
718117813,2,3,23,6,155,69
755702487,2,4,9,5,26,35
760141469,2,4,11,8,214,93
770677558,2,4,16,9,155,196
780704529,2,4,21,2,155,233
791442748,2,4,26,6,117,190
