hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
89124,0,1,1,1,164,214
97061,0,1,1,1,133,213
255043,0,1,1,3,28,183
285833,0,1,1,4,164,113
2296810,0,1,2,3,245,16
2306609,0,1,2,3,206,201
2351031,0,1,2,3,33,67
2402455,0,1,2,4,88,99
2423401,0,1,2,4,6,145
2429883,0,1,2,5,237,63
2493346,0,1,2,6,245,88
6618909,0,1,4,4,1,221
8593408,0,1,5,3,224,250
8612304,0,1,5,3,151,42
10584291,0,1,6,1,128,23
10584546,0,1,6,1,127,24
10609468,0,1,6,1,29,190
10690546,0,1,6,3,225,8
10723003,0,1,6,3,98,63
10782985,0,1,6,4,119,241
10804085,0,1,6,4,37,133
10847700,0,1,6,5,123,38
10936885,0,1,6,6,30,197
12828129,0,1,7,3,67,25
12880120,0,1,7,4,120,2
14793344,0,1,8,1,70,122
14879433,0,1,8,3,246,49
14914431,0,1,8,3,109,123
15018373,0,1,8,5,215,117
15067964,0,1,8,5,21,190
15080318,0,1,8,6,229,124
15081690,0,1,8,6,224,32
15134582,0,1,8,6,17,132
67187429,0,2,1,1,206,21
67409021,0,2,1,4,108,125
69294307,0,2,2,1,168,23
69302757,0,2,2,1,135,21
69377762,0,2,2,2,98,24
69404856,0,2,2,3,248,66
69465901,0,2,2,3,9,205
69511170,0,2,2,4,88,248
69536816,0,2,2,5,244,202
69601292,0,2,2,6,248,238
71518345,0,2,3,3,184,113
71608566,0,2,3,4,88,4
71628491,0,2,3,4,10,47
75698247,0,2,5,3,240,179
77842061,0,2,6,3,58,109
79790490,0,2,7,1,127,96
79791256,0,2,7,1,124,98
79897253,0,2,7,3,222,85
79922287,0,2,7,3,124,139
80054662,0,2,7,5,119,116
81992944,0,2,8,3,228,10
82026303,0,2,8,3,97,187
82089600,0,2,8,4,106,122
82224293,0,2,8,6,92,85
83976503,0,2,9,1,159,195
84086064,0,2,9,3,243,202
86114175,0,2,10,1,1,123
86211807,0,2,10,3,132,27
86322921,0,2,10,5,210,17
86352763,0,2,10,5,93,127
86385113,0,2,10,6,223,33
86431626,0,2,10,6,41,112
137326258,0,3,2,8,110,72
143595578,0,3,5,8,24,192
153947398,0,3,10,6,13,244
153993428,0,3,10,6,192,38
155918908,0,3,11,4,34,190
156032428,0,3,11,5,221,78
156044788,0,3,11,6,13,6
156045550,0,3,11,6,16,12
156258728,0,3,11,9,81,82
156286956,0,3,11,9,191,14
156312010,0,3,11,10,33,48
158209549,0,3,12,7,22,237
159956079,0,3,13,1,188,139
160169938,0,3,13,4,255,40
162346515,0,3,14,6,54,231
162547983,0,3,14,9,73,235
162567660,0,3,14,9,149,14
162902341,0,3,14,14,177,181
166447980,0,3,16,4,203,142
166760685,0,3,16,9,144,13
166762898,0,3,16,9,153,104
166903992,0,3,16,11,192,66
166965401,0,3,16,12,176,97
167035247,0,3,16,13,193,139
169044641,0,3,17,12,106,89
169087766,0,3,17,13,19,228
170605075,0,3,18,4,58,231
171158662,0,3,18,12,172,116
171348610,0,3,18,15,146,120
171455392,0,3,18,17,51,90
172881451,0,3,19,6,246,207
174997705,0,3,20,7,64,49
175041293,0,3,20,7,235,237
175076521,0,3,20,8,116,81
176761761,0,3,21,2,43,89
176970202,0,3,21,5,89,32
177124842,0,3,21,7,181,16
177138681,0,3,21,7,235,1
177239731,0,3,21,9,118,71
178868895,0,3,22,2,82,91
180968543,0,3,23,2,92,155
181399853,0,3,23,8,241,205
181602128,0,3,23,12,7,170
183509681,0,3,24,9,34,73
183523714,0,3,24,9,89,120
183661804,0,3,24,11,116,14
183728831,0,3,24,12,122,59
204350001,0,4,2,8,34,201
212845150,0,4,6,9,194,156
225117893,0,4,12,5,6,53
225284376,0,4,12,7,145,226
225284629,0,4,12,7,146,229
225396498,0,4,12,9,71,232
227239339,0,4,13,5,101,79
227341063,0,4,13,6,243,243
227580083,0,4,13,10,152,71
227649502,0,4,13,11,167,28
229439224,0,4,14,6,246,2
231291778,0,4,15,3,59,120
231542433,0,4,15,7,14,89
233253849,0,4,16,1,43,33
233784636,0,4,16,9,69,190
235784034,0,4,17,7,199,152
235965547,0,4,17,10,140,143
237964880,0,4,18,9,14,170
238110486,0,4,18,11,71,228
238481016,0,4,18,16,238,130
239741344,0,4,19,4,41,90
240189139,0,4,19,10,254,39
240268261,0,4,19,12,51,21
240338105,0,4,19,13,68,65
242442949,0,4,20,13,98,53
242594049,0,4,20,15,177,249
242724315,0,4,20,17,173,31
244577353,0,4,21,13,244,177
244589754,0,4,21,14,36,64
244690414,0,4,21,15,173,12
246037434,0,4,22,4,59,64
246180959,0,4,22,6,108,155
248407375,0,4,23,8,101,171
248423911,0,4,23,8,165,19
250190726,0,4,24,3,155,116
250402237,0,4,24,6,213,61
250424009,0,4,24,7,42,49
250440157,0,4,24,7,105,29
250671753,0,4,24,10,242,113
252306569,0,4,25,3,228,113
256808066,0,4,27,8,148,120
257094713,0,4,27,12,244,193
257140134,0,4,27,13,165,84
257161997,0,4,27,13,251,237
258465247,0,4,28,1,221,27
259041004,0,4,28,10,166,14
259051960,0,4,28,10,209,66
409589780,1,3,4,2,216,230
411807827,1,3,5,4,176,167
414596905,1,3,6,15,63,209
418015523,1,3,8,3,105,215
427307039,1,3,12,17,48,219
431439673,1,3,14,16,63,193
441311530,1,3,19,6,225,208
446098562,1,3,21,15,236,120
475479562,1,4,3,17,62,240
478794671,1,4,5,3,211,75
480824228,1,4,6,2,203,86
481017770,1,4,6,5,191,80
487195665,1,4,9,4,4,233
488031714,1,4,9,16,197,24
488031718,1,4,9,16,197,20
498629482,1,4,14,18,123,144
504862186,1,4,17,17,149,16
514697847,1,4,22,7,170,131
519499388,1,4,24,16,238,126
520578254,1,4,25,1,100,44
671706666,2,3,1,2,110,208
671874671,2,3,1,4,254,139
672468867,2,3,1,14,15,119
695137868,2,3,12,7,246,174
701381329,2,3,15,7,58,41
703297697,2,3,16,4,120,89
711490509,2,3,20,1,123,45
717788781,2,3,23,1,150,141
738748030,2,4,1,2,102,124
738902171,2,4,1,4,192,95
739514249,2,4,1,14,23,113
768422609,2,4,15,7,50,41
770629902,2,4,16,8,225,236
774330315,2,4,18,1,87,47
774508596,2,4,18,4,16,198
786893792,2,4,24,1,11,26
786945691,2,4,24,1,214,95
791090250,2,4,26,1,20,176
