hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
12756151,0,1,7,2,92,67
12881707,0,1,7,4,113,207
14924244,0,1,8,3,71,38
15007951,0,1,8,5,256,43
83976644,0,2,9,1,159,54
84206695,0,2,9,4,28,147
86134251,0,2,10,2,179,15
86441710,0,2,10,6,2,12
135499620,0,3,1,12,143,150
155805398,0,3,11,2,102,36
166547533,0,3,16,6,80,173
168364476,0,3,17,2,9,62
168972050,0,3,17,11,79,232
170549300,0,3,18,3,96,198
171237061,0,3,18,13,222,53
171293982,0,3,18,14,189,220
175505359,0,3,20,14,255,43
179584785,0,3,22,13,63,233
181682423,0,3,23,13,64,3
181783758,0,3,23,14,204,44
181786403,0,3,23,14,215,215
202514372,0,4,1,12,31,54
239916332,0,4,19,6,213,206
241749620,0,4,20,2,206,134
244500146,0,4,21,12,198,72
244530762,0,4,21,13,62,176
247959746,0,4,23,1,144,56
255092994,0,4,26,14,105,248
257190125,0,4,27,14,104,13
408040223,1,3,3,11,51,219
447985273,1,3,22,12,182,129
448020771,1,3,22,13,65,215
474728227,1,4,3,5,199,215
476885778,1,4,4,6,179,232
478844541,1,4,5,4,150,125
478875210,1,4,5,5,14,176
478880154,1,4,5,5,33,96
478894045,1,4,5,5,87,29
478911643,1,4,5,5,156,95
478911646,1,4,5,5,156,92
478911647,1,4,5,5,156,91
478980249,1,4,5,6,168,97
478998131,1,4,5,6,238,135
479018667,1,4,5,7,62,79
479039793,1,4,5,7,145,201
479079990,1,4,5,8,46,196
479175600,1,4,5,9,163,74
479249799,1,4,5,10,197,115
479249800,1,4,5,10,197,114
479250056,1,4,5,10,198,114
479250312,1,4,5,10,199,114
479250569,1,4,5,10,200,113
479295630,1,4,5,11,120,108
479295885,1,4,5,11,121,109
479297672,1,4,5,11,128,114
479303302,1,4,5,11,150,116
479317403,1,4,5,11,205,95
521340008,1,4,25,13,4,146
521540489,1,4,25,16,19,113
