hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
366730,0,1,1,5,104,112
2349606,0,1,2,3,38,212
4351117,0,1,3,2,156,109
4355282,0,1,3,2,140,40
4360921,0,1,3,2,118,33
4370890,0,1,3,2,79,48
4543265,0,1,3,5,173,217
4562977,0,1,3,5,96,217
4567840,0,1,3,5,77,218
6637990,0,1,4,5,183,84
6663302,0,1,4,5,84,116
6665527,0,1,4,5,75,195
8455575,0,1,5,1,251,99
8544720,0,1,5,2,159,42
8551903,0,1,5,2,131,27
8559004,0,1,5,2,103,94
8564167,0,1,5,2,83,51
8640155,0,1,5,3,42,95
8656056,0,1,5,4,236,66
67469708,0,2,1,5,127,110
71457348,0,2,3,2,166,182
71464833,0,2,3,2,137,121
71468924,0,2,3,2,121,126
71479415,0,2,3,2,80,131
71485456,0,2,3,2,56,234
71556028,0,2,3,3,37,62
71656448,0,2,3,5,156,250
73752266,0,2,4,5,162,48
73766597,0,2,4,5,106,53
73772384,0,2,4,5,83,154
75660005,0,2,5,2,134,21
75866198,0,2,5,5,96,164
77702513,0,2,6,1,91,137
77749914,0,2,6,2,162,96
77759394,0,2,6,2,125,88
77765215,0,2,6,2,102,155
77769357,0,2,6,2,86,109
77845860,0,2,6,3,43,150
77859011,0,2,6,4,248,55
77938421,0,2,6,5,194,5
77971672,0,2,6,5,64,34
135241939,0,3,1,8,160,39
135455316,0,3,1,11,226,166
141753572,0,3,4,11,252,22
141894099,0,3,4,14,33,39
144021821,0,3,5,14,153,189
145477277,0,3,6,4,206,93
145705662,0,3,6,8,74,60
145919460,0,3,6,11,141,22
147930492,0,3,7,10,61,126
148013617,0,3,7,11,130,201
149819802,0,3,8,7,17,96
149821515,0,3,8,7,24,175
149823889,0,3,8,7,33,105
149898595,0,3,8,8,69,151
149931930,0,3,8,8,199,96
150043804,0,3,8,10,124,94
150152844,0,3,8,12,38,110
150357186,0,3,8,15,68,56
151599473,0,3,9,2,57,137
162903992,0,3,14,14,183,66
164980247,0,3,15,14,102,227
173176633,0,3,19,11,119,193
181842627,0,3,23,15,178,55
183371870,0,3,24,7,8,156
183380537,0,3,24,7,42,193
183431722,0,3,24,7,242,208
183460526,0,3,24,8,98,76
183500078,0,3,24,8,253,204
183581501,0,3,24,10,59,189
183813139,0,3,24,13,196,231
202220248,0,4,1,7,162,34
202247333,0,4,1,8,12,85
202275568,0,4,1,8,122,10
202287351,0,4,1,8,168,3
202461467,0,4,1,11,81,223
204708027,0,4,2,13,152,63
208760129,0,4,4,11,109,185
209031725,0,4,4,15,146,205
212473863,0,4,6,4,24,243
212836637,0,4,6,9,161,221
213049346,0,4,6,12,224,248
214571509,0,4,7,4,25,5
215146995,0,4,7,12,225,7
215321066,0,4,7,15,137,16
217162807,0,4,8,11,164,195
217246782,0,4,8,12,236,188
219037578,0,4,9,8,63,112
219058823,0,4,9,8,146,115
219061046,0,4,9,8,155,196
219063168,0,4,9,8,163,122
219136837,0,4,9,9,195,181
219155589,0,4,9,10,12,117
219395947,0,4,9,13,183,143
221674432,0,4,10,16,123,58
222766976,0,4,11,1,39,122
222767232,0,4,11,1,40,122
234111149,0,4,16,14,64,77
246598146,0,4,22,12,202,248
248695794,0,4,23,12,203,8
257324483,0,4,27,16,117,55
258898432,0,4,28,8,122,250
258902083,0,4,28,8,136,183
258910215,0,4,28,8,168,243
258992283,0,4,28,9,232,95
259119643,0,4,28,11,218,223
424498530,1,3,11,6,85,152
428664202,1,3,13,5,229,112
429045886,1,3,13,11,184,124
500430510,1,4,15,13,246,76
678062082,2,3,4,3,104,248
680158959,2,3,5,3,102,11
682117352,2,3,6,1,72,18
686299292,2,3,8,1,24,94
697026229,2,3,13,4,198,69
698891911,2,3,14,1,62,115
718037462,2,3,23,5,97,36
720063379,2,3,24,4,75,103
747180127,2,4,5,3,16,155
766170928,2,4,14,4,215,202
770231162,2,4,16,2,203,128
