hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2473172,0,1,2,5,68,38
4295435,0,1,3,1,117,239
4384466,0,1,3,2,26,40
6413727,0,1,4,1,35,91
6466641,0,1,4,2,84,169
6564674,0,1,4,4,213,184
8581199,0,1,5,2,16,171
8582222,0,1,5,2,12,172
8657815,0,1,5,4,229,99
8674161,0,1,5,4,165,137
8681472,0,1,5,4,136,250
10763195,0,1,6,4,197,63
10777079,0,1,6,4,143,3
12700681,0,1,7,1,52,241
12968152,0,1,7,5,32,34
14798072,0,1,8,1,52,2
69576083,0,2,2,5,91,103
75620530,0,2,5,1,32,72
75673698,0,2,5,2,80,152
75797291,0,2,5,4,109,207
77757592,0,2,6,2,132,98
77884494,0,2,6,4,148,172
77977790,0,2,6,5,40,60
77988028,0,2,6,6,256,62
79811307,0,2,7,1,46,15
79980423,0,2,7,4,153,115
79993508,0,2,7,4,102,86
80099805,0,2,7,6,199,29
82061901,0,2,8,4,214,173
84003153,0,2,9,1,55,169
139719732,0,3,3,12,244,198
143541436,0,3,5,7,68,62
145582463,0,3,6,6,105,123
145638201,0,3,6,7,67,193
149872981,0,3,8,7,225,165
149968016,0,3,8,9,84,106
151731426,0,3,9,4,60,24
154080401,0,3,10,8,20,105
162346521,0,3,14,6,54,225
162395205,0,3,14,6,244,181
162515340,0,3,14,8,201,110
178806408,0,3,22,1,94,114
179470931,0,3,22,11,130,167
208896178,0,4,4,13,128,72
214402967,0,4,7,1,135,99
214822944,0,4,7,7,240,218
216976087,0,4,8,8,202,35
219215226,0,4,9,10,245,128
220904084,0,4,10,4,186,102
221020185,0,4,10,6,128,225
225440725,0,4,12,9,243,37
233597278,0,4,16,6,105,156
233681185,0,4,16,7,177,217
254329289,0,4,26,2,193,49
254988940,0,4,26,12,210,110
441497421,1,3,19,9,183,173
476643055,1,4,4,2,254,11
514907730,1,4,22,10,222,168
686539183,2,3,8,4,193,75
689359746,2,3,9,15,203,120
748203406,2,4,5,18,173,108
755659162,2,4,9,4,113,96
758393626,2,4,10,14,43,224
