hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
120566,0,1,1,1,42,4
238613,0,1,1,3,92,229
2357376,0,1,2,3,8,122
4521123,0,1,3,4,4,87
4616498,0,1,3,6,143,200
8532294,0,1,5,2,207,180
8678619,0,1,5,4,148,31
8692068,0,1,5,4,95,150
10648413,0,1,6,2,133,157
10665814,0,1,6,2,65,164
10943956,0,1,6,6,3,38
12725329,0,1,7,2,212,169
14790814,0,1,8,1,80,92
14812505,0,1,8,2,251,161
14822151,0,1,8,2,213,243
14894665,0,1,8,3,186,177
14950575,0,1,8,4,224,75
15047645,0,1,8,5,101,29
15094477,0,1,8,6,174,45
67235749,0,2,1,1,17,85
67259846,0,2,1,2,179,52
67374038,0,2,1,4,245,36
69349655,0,2,2,2,207,227
69450969,0,2,2,3,68,33
73711537,0,2,4,4,65,73
73805412,0,2,4,6,210,150
77803020,0,2,6,3,210,238
77905862,0,2,6,4,65,52
79846873,0,2,7,2,163,33
80025481,0,2,7,5,233,113
81962720,0,2,8,2,90,26
81976804,0,2,8,2,35,22
83989020,0,2,9,1,110,222
84039894,0,2,9,2,168,36
84251703,0,2,9,5,108,195
84292126,0,2,9,6,206,220
86190719,0,2,10,3,214,123
86224095,0,2,10,3,84,27
86260201,0,2,10,4,199,17
86342567,0,2,10,5,133,83
135688885,0,3,1,15,114,69
141747217,0,3,4,11,228,233
143245450,0,3,5,2,192,112
144020186,0,3,5,14,146,32
148400603,0,3,7,17,105,31
151704087,0,3,9,3,210,227
151847818,0,3,9,6,3,112
154352151,0,3,10,12,58,227
156089273,0,3,11,6,187,65
158140860,0,3,12,6,9,62
158255660,0,3,12,7,202,206
160248022,0,3,13,6,48,36
164225334,0,3,15,2,225,196
166913487,0,3,16,11,229,43
168843365,0,3,17,9,88,149
174674612,0,3,20,2,82,70
174791304,0,3,20,4,26,114
177078280,0,3,21,7,0,242
179019869,0,3,22,4,160,157
181214506,0,3,23,6,29,208
183429799,0,3,24,7,234,83
202704324,0,4,1,15,5,54
213056234,0,4,6,12,250,16
213211794,0,4,6,15,90,104
215529292,0,4,7,18,183,174
225017922,0,4,12,3,128,184
225125039,0,4,12,5,34,75
225597216,0,4,12,12,87,218
227242571,0,4,13,5,114,175
229114901,0,4,14,2,4,229
229480593,0,4,14,7,152,105
229491373,0,4,14,7,194,77
231474739,0,4,15,6,6,199
233320215,0,4,16,2,47,227
238113072,0,4,18,11,81,202
242160646,0,4,20,9,20,244
244257784,0,4,21,9,19,2
245987391,0,4,22,3,120,187
252624438,0,4,25,8,190,196
256727268,0,4,27,7,88,22
258855302,0,4,28,7,209,116
406322839,1,3,2,16,254,99
409810946,1,3,4,6,56,248
411908340,1,3,5,6,56,6
414771667,1,3,6,17,233,39
420299680,1,3,9,6,67,90
420446231,1,3,9,8,128,227
437471796,1,3,17,12,74,198
441602642,1,3,19,11,82,168
446164357,1,3,21,16,237,117
475411671,1,4,3,16,52,35
481145702,1,4,6,7,179,148
483800493,1,4,7,16,53,77
487437888,1,4,9,7,182,186
491757001,1,4,11,9,157,49
508864283,1,4,19,14,167,223
514995575,1,4,22,12,53,131
519450450,1,4,24,16,47,168
677934860,2,3,4,1,119,238
677956613,2,3,4,1,204,245
680015785,2,3,5,1,55,81
680031991,2,3,5,1,118,3
680042402,2,3,5,1,159,88
680052974,2,3,5,1,200,12
680175537,2,3,5,3,167,73
680175793,2,3,5,3,168,73
680180451,2,3,5,3,186,23
697156070,2,3,13,6,193,20
703719611,2,3,16,10,232,63
774952863,2,4,18,10,215,91
