hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
322206,0,1,1,4,22,92
6456495,0,1,4,2,124,75
8481178,0,1,5,1,151,96
8519451,0,1,5,1,1,223
8541115,0,1,5,2,173,63
8648074,0,1,5,3,11,112
10892356,0,1,6,6,204,182
12691804,0,1,7,1,87,158
12716654,0,1,7,2,246,140
12893849,0,1,7,4,66,97
14815776,0,1,8,2,238,218
67310937,0,2,1,3,235,161
75650513,0,2,5,2,171,41
77684387,0,2,6,1,162,87
77784792,0,2,6,2,26,34
77853332,0,2,6,3,14,102
83998605,0,2,9,1,73,109
84021143,0,2,9,2,241,99
84200637,0,2,9,4,52,61
86160665,0,2,10,2,75,225
134856652,0,3,1,2,191,46
137084304,0,3,2,4,189,106
143399817,0,3,5,5,27,113
143707500,0,3,5,9,205,142
147549504,0,3,7,4,109,186
147570104,0,3,7,4,189,66
147758086,0,3,7,7,156,244
147806225,0,3,7,8,88,233
149855733,0,3,8,7,157,5
162365191,0,3,14,6,127,243
164462578,0,3,15,6,127,8
164602820,0,3,15,8,163,54
164661469,0,3,15,9,136,29
174845450,0,3,20,4,238,240
176942841,0,3,21,4,238,1
176993696,0,3,21,5,181,90
179288485,0,3,22,8,185,85
180950351,0,3,23,2,21,171
183083885,0,3,24,2,163,141
201985370,0,4,1,4,13,160
210546800,0,4,5,6,176,138
212925292,0,4,6,10,251,142
214430828,0,4,7,1,244,142
216617585,0,4,8,3,82,137
218879412,0,4,9,5,213,70
218960262,0,4,9,7,17,116
219140507,0,4,9,9,209,95
233573385,0,4,16,6,12,241
235670519,0,4,17,6,11,3
235809715,0,4,17,8,43,71
235868864,0,4,17,9,18,58
250234139,0,4,24,4,69,223
252403013,0,4,25,5,93,181
254712728,0,4,26,8,155,98
258521023,0,4,28,2,183,59
407822636,1,3,3,7,225,206
416141429,1,3,7,6,208,133
423120086,1,3,10,17,76,36
450415890,1,3,23,17,205,232
492211212,1,4,11,16,140,238
499630593,1,4,15,1,194,249
501730030,1,4,16,1,202,12
501786547,1,4,16,2,167,71
701258389,2,3,15,5,90,101
772484205,2,4,17,5,44,141
