hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
72242,0,1,1,1,230,200
138517,0,1,1,2,227,229
180498,0,1,1,2,63,232
285243,0,1,1,4,166,191
332041,0,1,1,5,239,241
375042,0,1,1,5,71,248
415007,0,1,1,6,171,219
441158,0,1,1,6,69,180
2277977,0,1,2,2,62,161
2370184,0,1,2,4,214,114
2384812,0,1,2,4,157,78
2422238,0,1,2,4,11,28
2422598,0,1,2,4,9,180
2471664,0,1,2,5,74,10
4407761,0,1,3,3,191,41
6382948,0,1,4,1,155,150
6396747,0,1,4,1,101,175
8474685,0,1,5,1,176,189
8565508,0,1,5,2,77,246
8785245,0,1,5,6,243,157
10625429,0,1,6,2,223,101
10658550,0,1,6,2,94,4
10689707,0,1,6,3,228,79
10774654,0,1,6,4,152,124
10778006,0,1,6,4,139,100
10800771,0,1,6,4,50,119
10804174,0,1,6,4,37,44
10903421,0,1,6,6,161,125
10930557,0,1,6,6,55,125
10942587,0,1,6,6,8,127
12742739,0,1,7,2,144,167
14883360,0,1,8,3,230,218
14948187,0,1,8,4,233,159
69285094,0,2,2,1,204,20
69344433,0,2,2,2,228,73
69386929,0,2,2,2,62,73
69490894,0,2,2,4,168,44
69490956,0,2,2,4,167,238
69502061,0,2,2,4,124,141
69532035,0,2,2,4,7,119
69538468,0,2,2,5,238,86
69584313,0,2,2,5,59,65
69620918,0,2,2,6,172,68
69647066,0,2,2,6,70,32
71483864,0,2,3,2,63,34
71627206,0,2,3,4,15,52
73617125,0,2,4,3,178,21
75591627,0,2,5,1,145,47
75614544,0,2,5,1,55,170
79763367,0,2,7,1,233,83
79776690,0,2,7,1,181,72
79831392,0,2,7,2,223,154
79896671,0,2,7,3,224,155
79978331,0,2,7,4,161,159
79981130,0,2,7,4,150,176
79988996,0,2,7,4,119,246
80005193,0,2,7,4,56,177
80109387,0,2,7,6,161,175
80136779,0,2,7,6,54,175
80147011,0,2,7,6,14,183
82086136,0,2,8,4,120,2
84049561,0,2,9,2,130,97
86212141,0,2,10,3,130,205
86259069,0,2,10,4,203,125
134798402,0,3,1,1,220,184
134933735,0,3,1,3,236,19
135713921,0,3,1,15,212,121
137690787,0,3,2,13,254,87
141369104,0,3,4,6,31,234
141497501,0,3,4,8,20,93
141873831,0,3,4,13,210,83
145520157,0,3,6,5,118,221
145650795,0,3,6,7,116,143
146027123,0,3,6,13,50,135
146174332,0,3,6,15,113,126
148102804,0,3,7,12,222,102
148110788,0,3,7,12,253,54
148207257,0,3,7,14,118,97
148263119,0,3,7,15,80,43
149916332,0,3,8,8,138,78
151877388,0,3,9,6,119,238
152021791,0,3,9,8,171,219
152172291,0,3,9,10,247,247
152197137,0,3,9,11,88,233
152296215,0,3,9,12,219,227
153974776,0,3,10,6,119,2
154047393,0,3,10,7,147,89
154150112,0,3,10,9,36,26
154190953,0,3,10,9,196,145
154269423,0,3,10,10,246,11
154292178,0,3,10,11,79,40
154352785,0,3,10,12,60,105
154475994,0,3,10,14,29,32
155906659,0,3,11,3,242,151
160458469,0,3,13,9,102,21
160732887,0,3,13,13,150,35
164150390,0,3,15,1,188,132
164284943,0,3,15,3,202,235
164520780,0,3,15,7,99,174
164827210,0,3,15,12,16,176
168853535,0,3,17,9,128,219
170772487,0,3,18,6,200,243
172868597,0,3,19,6,195,5
179134399,0,3,22,6,95,59
179365157,0,3,22,9,229,213
179420366,0,3,22,10,188,44
179451140,0,3,22,11,53,246
181292256,0,3,23,7,76,26
181375427,0,3,23,8,145,55
181443393,0,3,23,9,155,185
181520619,0,3,23,10,200,15
181548531,0,3,23,11,53,7
181576073,0,3,23,11,161,113
181655480,0,3,23,12,215,66
183075026,0,3,24,2,128,40
183382619,0,3,24,7,50,159
183517516,0,3,24,9,65,174
183548755,0,3,24,9,187,167
201796937,0,4,1,1,45,177
202717231,0,4,1,15,56,203
210743721,0,4,5,9,177,81
212709345,0,4,6,7,175,25
216529723,0,4,8,1,251,191
216748001,0,4,8,5,79,25
221114370,0,4,10,7,240,248
223151715,0,4,11,7,6,151
223212014,0,4,11,7,241,12
223227348,0,4,11,8,45,38
223301128,0,4,11,9,78,242
223378103,0,4,11,10,122,67
223387303,0,4,11,10,158,83
223500756,0,4,11,12,89,38
223529627,0,4,11,12,202,95
223534795,0,4,11,12,222,47
223595569,0,4,11,13,204,201
223800087,0,4,11,16,235,227
225398262,0,4,12,9,77,4
226960901,0,4,13,1,38,245
229056247,0,4,14,1,30,3
231670942,0,4,15,9,4,92
232124984,0,4,15,15,242,194
237470597,0,4,18,1,131,117
237579998,0,4,18,3,46,28
237960851,0,4,18,8,254,103
238273193,0,4,18,13,194,81
242171175,0,4,20,9,61,211
246095028,0,4,22,5,28,70
252731955,0,4,25,10,98,199
254547437,0,4,26,6,21,13
254781526,0,4,26,9,168,164
254980867,0,4,26,12,179,247
256500293,0,4,27,3,226,181
256772807,0,4,27,8,10,51
256822766,0,4,27,8,205,12
256844840,0,4,27,9,36,210
256918513,0,4,27,10,67,9
256977024,0,4,27,11,40,122
257055153,0,4,27,12,89,73
257078260,0,4,27,12,179,6
258559538,0,4,28,3,78,200
258911797,0,4,28,8,174,197
258966302,0,4,28,9,131,220
259044393,0,4,28,10,180,209
403672612,1,3,1,8,142,214
404020273,1,3,1,13,220,201
406220033,1,3,2,15,109,249
408317933,1,3,3,15,111,13
410304971,1,3,4,13,193,47
414296867,1,3,6,10,171,215
416859975,1,3,7,17,199,179
418514003,1,3,8,11,4,167
434793258,1,3,16,3,107,208
444073735,1,3,20,17,7,243
446110282,1,3,21,16,26,176
446171378,1,3,21,17,8,8
450360930,1,3,23,16,246,152
470802232,1,4,1,9,223,194
471014208,1,4,1,13,27,186
475442873,1,4,3,16,174,65
477300873,1,4,4,13,8,113
483393867,1,4,7,10,1,175
485954653,1,4,8,17,20,157
487734836,1,4,9,12,62,198
508203433,1,4,19,4,145,81
510176309,1,4,20,2,172,197
517502018,1,4,23,18,116,184
517502019,1,4,23,18,116,183
519523932,1,4,24,17,78,158
521700239,1,4,25,18,131,107
525775947,1,4,27,16,180,175
688474339,2,3,9,2,72,23
712161812,2,3,20,11,186,230
757718721,2,4,10,3,222,57
785408089,2,4,23,10,96,161
