hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2243086,0,1,2,2,198,236
2268188,0,1,2,2,100,222
2341935,0,1,2,3,68,203
2382091,0,1,2,4,167,239
4350798,0,1,3,2,157,172
4429638,0,1,3,3,105,180
4451905,0,1,3,3,18,185
4479481,0,1,3,4,167,1
4494827,0,1,3,4,107,15
4497739,0,1,3,4,95,175
4498207,0,1,3,4,93,219
4529821,0,1,3,5,226,93
4530248,0,1,3,5,224,178
4536556,0,1,3,5,200,14
4575009,0,1,3,5,49,217
6386023,0,1,4,1,143,147
8576781,0,1,5,2,33,237
10639798,0,1,6,2,167,68
10655150,0,1,6,2,107,76
10711188,0,1,6,3,144,102
10775220,0,1,6,4,150,70
10790576,0,1,6,4,90,74
10832061,0,1,6,5,184,61
12837665,0,1,7,3,29,217
12881967,0,1,7,4,112,203
12892430,0,1,7,4,71,236
12966951,0,1,7,5,36,211
14836203,0,1,8,2,159,15
14880153,0,1,8,3,243,97
14910702,0,1,8,3,124,12
15026891,0,1,8,5,182,47
71448713,0,2,3,2,200,113
71474584,0,2,3,2,99,98
71547821,0,2,3,3,69,77
71587718,0,2,3,4,169,116
71602808,0,2,3,4,110,130
71636235,0,2,3,5,235,239
71645050,0,2,3,5,201,128
71675222,0,2,3,5,83,164
73557158,0,2,4,2,156,84
73635999,0,2,4,3,104,91
73658266,0,2,4,3,17,96
73703078,0,2,4,4,98,84
73704570,0,2,4,4,92,128
73737632,0,2,4,5,219,90
75622044,0,2,5,1,26,94
79774138,0,2,7,1,191,64
79846756,0,2,7,2,163,150
79860571,0,2,7,2,109,159
79901493,0,2,7,3,205,197
79981921,0,2,7,4,147,153
79997276,0,2,7,4,87,158
80038506,0,2,7,5,182,144
84041507,0,2,9,2,161,215
84116262,0,2,9,3,125,212
84141901,0,2,9,3,25,173
84184140,0,2,9,4,116,174
84196410,0,2,9,4,68,192
84234250,0,2,9,5,176,240
84268641,0,2,9,5,42,153
86307025,0,2,10,4,16,41
135144163,0,3,1,7,34,23
135210272,0,3,1,8,37,218
135227149,0,3,1,8,103,237
135243213,0,3,1,8,165,45
135260461,0,3,1,8,233,205
135266986,0,3,1,9,2,80
135270181,0,3,1,9,15,213
135281474,0,3,1,9,59,184
135384501,0,3,1,10,205,69
135425390,0,3,1,11,109,140
135441582,0,3,1,11,172,76
135452728,0,3,1,11,216,194
135483440,0,3,1,12,80,202
135536945,0,3,1,13,33,201
135661235,0,3,1,15,6,71
137324537,0,3,2,8,103,1
143275424,0,3,5,3,53,90
148409195,0,3,7,17,139,143
154012240,0,3,10,7,10,170
154136144,0,3,10,8,238,170
154155845,0,3,10,9,59,181
154270293,0,3,10,10,250,165
154327132,0,3,10,11,216,158
154358103,0,3,10,12,81,163
155889753,0,3,11,3,176,161
156330724,0,3,11,10,106,22
166798476,0,3,16,10,36,110
166946838,0,3,16,12,104,228
168786620,0,3,17,8,122,62
168807297,0,3,17,8,203,121
168842418,0,3,17,9,84,72
168885108,0,3,17,9,251,134
168935893,0,3,17,10,193,37
168948536,0,3,17,10,243,194
169013404,0,3,17,11,240,94
179853862,0,3,22,17,90,212
181584688,0,3,23,11,195,202
183450389,0,3,24,8,59,229
202251416,0,4,1,8,28,98
202270326,0,4,1,8,102,132
202285747,0,4,1,8,162,71
202355554,0,4,1,9,179,152
202358742,0,4,1,9,191,36
202366539,0,4,1,9,222,175
202393723,0,4,1,10,72,127
202408305,0,4,1,10,129,137
202410329,0,4,1,10,137,161
202426008,0,4,1,10,198,98
202450033,0,4,1,11,36,137
202467212,0,4,1,11,103,110
202564527,0,4,1,12,227,75
202628940,0,4,1,13,223,174
202814691,0,4,1,16,180,23
204764335,0,4,2,14,116,75
212440503,0,4,6,3,149,67
217524819,0,4,8,17,42,167
225340881,0,4,12,8,109,41
225347801,0,4,12,8,136,33
225475290,0,4,12,10,122,32
225494728,0,4,12,10,198,50
225533664,0,4,12,11,94,26
225544303,0,4,12,11,136,139
225696227,0,4,12,13,217,23
229062533,0,4,14,1,55,117
240228524,0,4,19,11,152,78
240382736,0,4,19,13,243,234
242106440,0,4,20,8,64,178
242185525,0,4,20,9,117,197
242224605,0,4,20,10,13,29
242277258,0,4,20,10,219,112
242318468,0,4,20,11,124,118
244345804,0,4,21,10,107,46
255354857,0,4,26,18,103,17
256975708,0,4,27,11,35,158
420656160,1,3,9,11,180,218
432968448,1,3,15,7,147,250
433338730,1,3,15,13,57,144
435066857,1,3,16,7,151,17
452174544,1,3,24,12,162,42
493981407,1,4,12,11,142,27
502694154,1,4,16,16,129,240
504281861,1,4,17,8,187,245
504794356,1,4,17,16,140,6
506379761,1,4,18,8,189,9
525522088,1,4,27,12,212,82
674149295,2,3,2,7,179,75
678141831,2,3,4,4,159,115
701173270,2,3,15,4,14,228
741185612,2,4,2,7,152,174
747276004,2,4,5,4,134,22
774506252,2,4,18,4,7,238
