hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
148741,0,1,1,2,187,245
305447,0,1,1,4,87,211
2244853,0,1,2,2,192,5
2544961,0,1,2,6,43,185
4537432,0,1,3,5,196,162
6384204,0,1,4,1,150,174
6394703,0,1,4,1,109,171
6402176,0,1,4,1,80,122
6427688,0,1,4,2,236,210
6443401,0,1,4,2,175,113
6543967,0,1,4,3,38,155
6548053,0,1,4,3,22,165
6548204,0,1,4,3,22,14
6561548,0,1,4,4,225,238
6619238,0,1,4,5,256,148
8530700,0,1,5,2,213,238
8540754,0,1,5,2,174,168
8659449,0,1,5,4,223,1
8685620,0,1,5,4,120,198
8704565,0,1,5,4,46,197
8734953,0,1,5,5,184,17
10578527,0,1,6,1,150,155
10587747,0,1,6,1,114,151
10618480,0,1,6,2,250,138
12654234,0,1,7,1,234,96
12795987,0,1,7,3,192,167
12816503,0,1,7,3,112,131
12881224,0,1,7,4,115,178
14761702,0,1,8,1,194,20
67428903,0,2,1,4,30,211
69362611,0,2,2,2,157,71
71743417,0,2,3,6,73,65
73650203,0,2,4,3,48,223
73735088,0,2,4,5,229,74
75591519,0,2,5,1,145,155
75593323,0,2,5,1,138,143
75610811,0,2,5,1,70,63
75652556,0,2,5,2,163,46
75740022,0,2,5,3,77,132
75748392,0,2,5,3,44,210
75754858,0,2,5,3,19,144
75828913,0,2,5,5,242,73
75888430,0,2,5,5,9,204
77755660,0,2,6,2,139,238
77900289,0,2,6,4,86,249
77928369,0,2,6,5,233,73
79805440,0,2,7,1,68,250
79842686,0,2,7,2,179,124
79989652,0,2,7,4,117,102
79996654,0,2,7,4,90,12
80013229,0,2,7,4,25,77
81888714,0,2,8,1,123,48
81900525,0,2,8,1,77,13
81973626,0,2,8,2,47,128
82012736,0,2,8,3,150,186
82048989,0,2,8,3,9,29
82090507,0,2,8,4,102,239
83966764,0,2,9,1,197,206
84110457,0,2,9,3,148,129
84187637,0,2,9,4,103,5
135483481,0,3,1,12,80,161
139708652,0,3,3,12,200,14
143436406,0,3,5,5,170,132
143489135,0,3,5,6,120,139
143527335,0,3,5,7,13,83
143694995,0,3,5,9,156,103
143846867,0,3,5,11,237,39
145561486,0,3,6,6,23,108
145717158,0,3,6,8,119,84
145897923,0,3,6,11,57,55
150495165,0,3,8,17,95,61
152370519,0,3,9,13,253,163
153942667,0,3,10,5,250,111
156161569,0,3,11,7,214,217
156173633,0,3,11,8,5,185
158113253,0,3,12,5,157,21
164233494,0,3,15,3,1,228
164500776,0,3,15,7,21,210
164538120,0,3,15,7,167,242
166635765,0,3,16,7,168,5
171381978,0,3,18,16,20,32
173006560,0,3,19,8,222,26
179240557,0,3,22,7,254,141
204698533,0,4,2,13,115,85
206702706,0,4,3,12,8,136
212545595,0,4,6,5,48,191
212600890,0,4,6,6,8,192
212769682,0,4,6,8,155,104
212918921,0,4,6,10,226,113
212963026,0,4,6,11,142,40
214804349,0,4,7,7,167,125
214957975,0,4,7,9,255,99
215112404,0,4,7,12,90,38
217529110,0,4,8,17,59,228
223048847,0,4,11,5,116,107
223671643,0,4,11,14,245,159
227214981,0,4,13,5,6,117
227362980,0,4,13,7,72,86
227502792,0,4,13,9,106,50
237663409,0,4,18,4,116,73
237838242,0,4,18,7,31,88
237957304,0,4,18,8,240,66
244244601,0,4,21,8,224,129
244864143,0,4,21,18,84,107
254662043,0,4,26,7,213,95
409994499,1,3,4,9,5,247
410110883,1,3,4,10,203,87
412091891,1,3,5,9,5,7
414119208,1,3,6,7,245,210
418330487,1,3,8,8,55,131
420496058,1,3,9,9,66,64
423052170,1,3,10,16,67,112
445916073,1,3,21,13,35,81
477107064,1,4,4,10,19,130
481331116,1,4,6,10,135,78
483203087,1,4,7,7,24,235
487548523,1,4,9,9,102,143
489735896,1,4,10,10,198,34
494355083,1,4,12,17,66,111
521459672,1,4,25,14,215,34
671666542,2,3,1,1,209,140
678154284,2,3,4,4,208,206
680109059,2,3,5,2,164,247
680276333,2,3,5,5,49,141
682206707,2,3,6,2,165,7
688742367,2,3,9,6,95,27
694894763,2,3,12,4,64,79
697073263,2,3,13,5,126,139
699541700,2,3,14,11,40,54
705309956,2,3,17,3,45,246
707406318,2,3,18,3,41,12
720854328,2,3,24,16,93,194
740871349,2,4,2,2,204,69
745201974,2,4,4,4,225,196
751434664,2,4,7,3,251,82
751599303,2,4,7,6,126,51
755764851,2,4,9,6,14,135
764019456,2,4,13,4,3,250
766116591,2,4,14,4,2,11
768288971,2,4,15,5,40,47
770769042,2,4,16,11,0,104
778647205,2,4,20,3,54,85
796203947,2,4,28,15,27,79
