hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
75073,0,1,1,1,219,185
410709,0,1,1,6,188,165
6715301,0,1,4,6,137,85
8587155,0,1,5,3,249,103
10621915,0,1,6,2,237,31
10807334,0,1,6,4,24,212
10819933,0,1,6,5,231,157
15125524,0,1,8,6,52,230
67200004,0,2,1,1,156,246
69296117,0,2,2,1,161,5
69606600,0,2,2,6,228,50
75901893,0,2,5,6,213,53
77835136,0,2,6,3,85,122
79832427,0,2,7,2,219,143
80036930,0,2,7,5,188,184
82088564,0,2,8,4,110,134
86422025,0,2,10,6,78,241
144033042,0,3,5,14,197,232
145465877,0,3,6,4,162,229
150069321,0,3,8,10,224,177
150508617,0,3,8,17,148,177
151542565,0,3,9,1,91,213
158220375,0,3,12,7,64,163
164839115,0,3,15,12,62,47
173247810,0,3,19,12,141,184
178805891,0,3,22,1,92,119
179059946,0,3,22,5,60,16
183222341,0,3,24,4,192,181
183806592,0,3,24,13,170,122
202101911,0,4,1,5,212,99
202693837,0,4,1,14,220,45
205006071,0,4,2,18,36,3
207097864,0,4,3,18,16,242
209195228,0,4,4,18,16,30
214540707,0,4,7,3,161,87
215331029,0,4,7,15,176,37
219201956,0,4,9,10,193,86
219633581,0,4,9,17,87,77
222760611,0,4,11,1,14,87
231667422,0,4,15,8,246,28
238338256,0,4,18,14,192,42
248765134,0,4,23,13,218,44
252223604,0,4,25,2,160,134
252389175,0,4,25,5,39,195
416197557,1,3,7,7,171,69
433390528,1,3,15,14,3,58
443690533,1,3,20,11,46,213
451787105,1,3,24,6,185,153
470726867,1,4,1,8,184,39
485406692,1,4,8,8,183,22
502739263,1,4,16,17,49,187
504711511,1,4,17,15,73,163
517208272,1,4,23,13,248,42
672595647,2,3,1,15,254,59
699514852,2,3,14,10,191,22
768661526,2,4,15,10,216,228
796159575,2,4,28,14,110,163
