hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2404790,0,1,2,4,79,68
4368786,0,1,3,2,87,104
4387458,0,1,3,2,14,120
6525551,0,1,4,3,110,139
6571604,0,1,4,4,186,166
6749785,0,1,4,6,2,161
8585338,0,1,5,3,256,128
8757791,0,1,5,5,94,219
10569495,0,1,6,1,185,227
10855553,0,1,6,5,92,121
12697737,0,1,7,1,64,113
12811778,0,1,7,3,130,248
14906799,0,1,8,3,139,75
14909174,0,1,8,3,130,4
15131307,0,1,8,6,30,79
69410889,0,2,2,3,224,177
73578713,0,2,4,2,72,33
73590718,0,2,4,2,25,60
75732641,0,2,5,3,106,89
75778435,0,2,5,4,183,119
77806182,0,2,6,3,198,148
77897892,0,2,6,4,96,86
81875620,0,2,8,1,174,86
82247652,0,2,8,6,1,22
84114967,0,2,9,3,130,227
86208957,0,2,10,3,143,61
86255046,0,2,10,4,219,52
86433716,0,2,10,6,33,70
141311023,0,3,4,5,60,203
141430841,0,3,4,7,16,193
141467372,0,3,4,7,158,14
141503122,0,3,4,8,42,104
141682271,0,3,4,10,230,155
141726571,0,3,4,11,147,143
141915450,0,3,4,14,117,192
142026120,0,3,4,16,37,114
145579636,0,3,6,6,94,134
149829680,0,3,8,7,56,202
153959238,0,3,10,6,59,180
156007631,0,3,11,5,124,43
160866376,0,3,13,15,160,178
168885539,0,3,17,9,253,215
170470121,0,3,18,2,42,17
170974645,0,3,18,9,221,69
171019958,0,3,18,10,142,68
171066505,0,3,18,11,68,113
171369352,0,3,18,15,227,114
183038857,0,3,24,1,243,113
183335284,0,3,24,6,121,134
208645715,0,4,4,9,174,167
208694552,0,4,4,10,109,226
208738599,0,4,4,11,25,211
209171793,0,4,4,17,181,169
210584520,0,4,5,7,67,50
211026907,0,4,5,14,3,31
212636553,0,4,6,6,147,113
212757654,0,4,6,8,108,100
214748511,0,4,7,6,205,155
221066646,0,4,10,7,53,100
223207812,0,4,11,7,225,118
225237188,0,4,12,6,216,54
234347922,0,4,16,17,221,104
243914082,0,4,21,3,213,152
244275077,0,4,21,9,87,117
244284909,0,4,21,9,125,13
244319623,0,4,21,10,5,115
244495945,0,4,21,12,182,177
244668238,0,4,21,15,87,172
256327517,0,4,27,1,63,157
258794531,0,4,28,6,228,215
409539900,1,3,4,2,21,190
413671249,1,3,6,1,31,169
413777633,1,3,6,2,190,25
419980131,1,3,9,1,99,151
424233958,1,3,11,2,75,20
426486074,1,3,12,4,169,192
437354103,1,3,17,10,126,131
441944839,1,3,19,16,139,243
444051170,1,3,20,16,174,24
447614146,1,3,22,7,12,56
485021610,1,4,8,2,215,80
489162070,1,4,10,2,5,164
491231660,1,4,11,1,153,78
491314983,1,4,11,2,223,211
497762661,1,4,14,5,65,149
508655877,1,4,19,11,121,245
510753779,1,4,20,11,123,7
514936593,1,4,22,11,79,233
521128675,1,4,25,9,202,23
671810144,2,3,1,4,2,154
718524760,2,3,23,12,209,162
