hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2446965,0,1,2,5,170,133
4282187,0,1,3,1,169,175
4301932,0,1,3,1,92,142
4358037,0,1,3,2,129,101
4499801,0,1,3,4,87,161
4542858,0,1,3,5,175,112
4630508,0,1,3,6,89,14
4635533,0,1,3,6,69,109
12685467,0,1,7,1,112,95
12885706,0,1,7,4,98,48
12921800,0,1,7,5,213,50
69551145,0,2,2,5,188,209
71726201,0,2,3,6,140,129
73481856,0,2,4,1,194,122
73509032,0,2,4,1,88,82
73565388,0,2,4,2,124,46
73708184,0,2,4,4,78,98
73750478,0,2,4,5,169,44
73842133,0,2,4,6,67,37
81890341,0,2,8,1,116,213
82091093,0,2,8,4,100,165
82126423,0,2,8,5,218,163
83992414,0,2,9,1,97,156
84038889,0,2,9,2,172,17
134927834,0,3,1,3,213,32
135551124,0,3,1,13,88,102
139606630,0,3,3,11,58,148
139655248,0,3,3,11,248,170
139796408,0,3,3,14,31,66
141377735,0,3,4,6,64,51
141429314,0,3,4,7,10,184
141440469,0,3,4,7,53,37
141584326,0,3,4,9,103,52
142074692,0,3,4,16,227,182
143403500,0,3,5,5,41,14
156459842,0,3,11,12,99,184
158179974,0,3,12,6,162,116
158265413,0,3,12,7,240,181
158314013,0,3,12,8,174,221
158338703,0,3,12,9,14,107
158508424,0,3,12,11,165,114
162038351,0,3,14,1,130,171
181564024,0,3,23,11,114,130
202659399,0,4,1,14,86,179
206924837,0,4,3,15,108,213
208764785,0,4,4,11,127,137
208845967,0,4,4,12,188,107
210551313,0,4,5,6,194,233
210618824,0,4,5,7,201,50
210649870,0,4,5,8,67,236
210683612,0,4,5,8,198,30
210827213,0,4,5,10,247,45
212313450,0,4,6,1,165,144
213367172,0,4,6,17,185,118
217632690,0,4,8,18,207,72
219699724,0,4,9,18,90,238
227285778,0,4,13,6,27,232
227575064,0,4,13,10,133,226
227614735,0,4,13,11,32,235
227684323,0,4,13,12,47,23
229467580,0,4,14,7,101,62
229514633,0,4,14,8,29,113
233368641,0,4,16,2,236,185
257087380,0,4,27,12,215,102
258589493,0,4,28,3,195,197
416759071,1,3,7,16,61,219
420757343,1,3,9,13,63,155
422087207,1,3,10,1,138,211
422409598,1,3,10,6,117,124
429337825,1,3,13,16,44,25
444117298,1,3,20,17,177,200
448156724,1,3,22,15,84,198
450323712,1,3,23,16,101,250
452419559,1,3,24,16,95,19
480824266,1,4,6,2,203,48
483950037,1,4,7,18,125,37
491622974,1,4,11,7,146,188
493327008,1,4,12,1,146,90
498572389,1,4,14,17,156,149
502792628,1,4,16,18,1,70
519460626,1,4,24,16,87,232
686467738,2,3,8,3,170,96
692688388,2,3,11,2,150,246
694785521,2,3,12,2,149,9
755580259,2,4,9,3,61,151
763904092,2,4,13,2,64,158
