hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2182038,0,1,2,1,181,100
2231651,0,1,2,2,243,151
2257941,0,1,2,2,140,229
2261901,0,1,2,2,125,109
2377824,0,1,2,4,184,154
2381711,0,1,2,4,169,107
2457826,0,1,2,5,128,24
2495082,0,1,2,6,238,144
6576410,0,1,4,4,167,224
6653552,0,1,4,5,122,138
6656741,0,1,4,5,110,21
6707753,0,1,4,6,166,209
8472186,0,1,5,1,186,128
8527039,0,1,5,2,228,59
8547467,0,1,5,2,148,111
10838397,0,1,6,5,159,125
10863728,0,1,6,5,60,138
12850657,0,1,7,4,235,25
12879754,0,1,7,4,121,112
14984370,0,1,8,4,92,72
69290835,0,2,2,1,181,167
69339681,0,2,2,2,246,217
69371468,0,2,2,2,122,174
69485355,0,2,2,4,189,207
69492045,0,2,2,4,163,173
69563288,0,2,2,5,141,98
69600052,0,2,2,6,253,198
71457406,0,2,3,2,166,124
75848676,0,2,5,5,165,22
75869553,0,2,5,5,83,137
75917317,0,2,5,6,152,245
77677897,0,2,6,1,187,177
77709599,0,2,6,1,63,219
77733779,0,2,6,2,225,103
77752667,0,2,6,2,151,159
77880551,0,2,6,4,164,19
78014455,0,2,6,6,153,3
79810791,0,2,7,1,48,19
80038662,0,2,7,5,181,244
82039566,0,2,8,3,45,236
82061934,0,2,8,4,214,140
82136312,0,2,8,5,180,2
82173156,0,2,8,5,36,22
84189890,0,2,9,4,94,56
84204058,0,2,9,4,38,224
135325193,0,3,1,9,230,241
137422839,0,3,2,9,231,3
143165033,0,3,5,1,134,145
145763850,0,3,6,9,46,240
145973379,0,3,6,12,96,119
147860984,0,3,7,9,45,2
147977089,0,3,7,10,243,121
147994041,0,3,7,11,53,65
148333265,0,3,7,16,98,41
149645940,0,3,8,4,106,134
149788722,0,3,8,6,152,200
149817653,0,3,8,7,9,197
149865019,0,3,8,7,194,191
149927844,0,3,8,8,183,86
149934930,0,3,8,8,211,168
150139673,0,3,8,11,243,225
153900934,0,3,10,5,87,116
154090384,0,3,10,8,59,106
154209821,0,3,10,10,14,221
154306953,0,3,10,11,137,113
154308148,0,3,10,11,142,198
154325148,0,3,10,11,208,94
154363943,0,3,10,12,104,211
154364196,0,3,10,12,105,214
154371207,0,3,10,12,132,115
154398491,0,3,10,12,239,223
154400264,0,3,10,12,246,242
154441600,0,3,10,13,151,122
154445620,0,3,10,13,167,198
156312764,0,3,11,10,36,62
156378626,0,3,11,11,38,248
156387764,0,3,11,11,73,70
156465809,0,3,11,12,122,105
156479723,0,3,11,12,176,15
156486685,0,3,11,12,204,221
156497654,0,3,11,12,246,4
158476013,0,3,12,11,38,13
160442000,0,3,13,9,38,106
160560877,0,3,13,10,246,13
160578118,0,3,13,11,58,180
166687459,0,3,16,8,114,23
166774178,0,3,16,9,197,88
171118535,0,3,18,12,15,51
178789142,0,3,22,1,27,228
179473320,0,3,22,11,139,82
181250738,0,3,23,6,170,72
181279975,0,3,23,7,28,19
181325790,0,3,23,7,207,28
181368995,0,3,23,8,120,87
181513929,0,3,23,10,174,49
181533662,0,3,23,10,251,28
181612234,0,3,23,12,46,48
183274464,0,3,24,5,139,26
204414356,0,4,2,9,29,102
215181878,0,4,7,13,106,196
217086349,0,4,8,10,121,109
217237713,0,4,8,12,200,41
217578733,0,4,8,17,252,13
218894852,0,4,9,6,18,246
218972172,0,4,9,7,64,238
219037315,0,4,9,8,62,119
219040037,0,4,9,8,73,213
220992243,0,4,10,6,18,7
231778467,0,4,15,10,168,87
231788626,0,4,15,10,208,168
236083881,0,4,17,12,90,81
237913943,0,4,18,8,71,163
240090751,0,4,19,9,126,123
240384430,0,4,19,13,249,76
252897854,0,4,25,12,234,188
254304437,0,4,26,2,96,69
254628123,0,4,26,7,81,223
254714153,0,4,26,8,161,209
254837026,0,4,26,10,129,216
256647900,0,4,27,6,34,30
256690852,0,4,27,6,202,86
256897478,0,4,27,9,241,52
256910574,0,4,27,10,36,12
257135849,0,4,27,13,148,17
405726968,1,3,2,7,230,2
407772368,1,3,3,7,28,42
412499855,1,3,5,15,63,107
428639687,1,3,13,5,133,51
431465362,1,3,14,16,163,104
439222802,1,3,18,7,2,232
441844386,1,3,19,15,2,88
448268615,1,3,22,17,9,179
449817259,1,3,23,8,170,79
451908643,1,3,24,8,148,215
481638003,1,4,6,15,54,135
497849125,1,4,14,6,147,213
516845976,1,4,23,8,113,98
521026880,1,4,25,8,61,186
523783886,1,4,26,18,78,44
527417896,1,4,28,9,194,210
692588148,2,3,11,1,14,134
694712942,2,3,12,1,122,140
705967924,2,3,17,13,55,198
708103436,2,3,18,13,205,238
710199800,2,3,19,13,201,2
763944425,2,4,13,2,221,17
765927009,2,4,14,1,30,153
779300292,2,4,20,13,45,54
781337969,2,4,21,12,69,137
