tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
1580716,[20.31602724],[19.62285455],[0.14987789],[1.41627555],8,"[75955417, 6623939, 215145959, 143861783]",4
1580734,[12.62558688],[6.9261109],[0.55299504],[0.25092605],9,[],0
1580809,[18.39936992],[18.34489667],[-0.03774208],[-1.09108347],19,"[158185800, 237512852, 158426504, 82175727]",4
1581612,[9.42461457],[7.99344226],[-0.3042362],[-1.17615434],6,"[160194351, 10565042, 241771831, 79785787, 172552380]",5
1582464,[29.145864],[27.22341862],[-0.19730121],[-0.42366377],5,"[242032582, 14852207, 405747541, 86163614, 168683422]",5
1582638,[20.96188795],[19.69719819],[-0.18839979],[0.43120684],4,[],0
1582666,[10.76591292],[10.57074191],[-0.1007093],[-0.21676202],13,"[172852082, 86081098, 204157366]",3
1582688,[17.11963138],[9.28428105],[0.55709912],[-0.51848024],6,[],0
1583649,[23.25739413],[23.20683131],[0.04137051],[1.50437999],11,[],0
1583696,[27.91089343],[27.66734647],[-0.06831296],[1.26898906],11,[],0
1583703,[21.42531537],[19.85844073],[-0.20814651],[1.19169296],5,[],0
1584306,[26.41556508],[21.55343236],[-0.33635845],[1.70528149],5,[],0
1584307,[17.07424882],[6.94716553],[0.64243852],[-0.18636392],5,[],0
1584576,[12.54067725],[10.86308633],[-0.28476893],[-0.49112409],7,[],0
1585210,[18.71083198],[12.79710229],[-0.44774606],[-0.57548149],7,[],0
1585953,[17.05949094],[11.45649852],[0.46679982],[-1.48232172],6,[],0
1585969,[9.49083071],[9.47223062],[-0.0298021],[1.19347901],37,"[6520290, 73749830, 73629702, 154051399, 6384687, 225288371, 149860793, 81909819, 75692157]",9
1586112,[16.12396032],[15.65811834],[0.13825108],[0.73641019],4,[],0
1586120,[23.02184574],[18.89633311],[0.34140636],[-0.19198425],6,"[171006472, 86216481, 173103349, 246500551]",4
1587147,[25.92688919],[25.87975423],[0.0382461],[1.14725992],20,"[13019456, 139681358, 694692878, 213342194, 73817273, 84325018]",6
1587766,[26.9445604],[24.90246222],[-0.2120257],[-0.33959624],6,"[12727916, 242049753, 168699868, 84041599]",4
1588402,[21.89932818],[20.57819522],[-0.18839031],[0.60858946],6,"[420913282, 258979272, 490106195, 2365304, 69483545, 183531995]",6
1588599,[23.67757742],[16.75298652],[0.43926589],[1.41916449],7,[],0
1588611,[17.48032299],[17.41694316],[-0.04228897],[-1.03961199],61,"[2246659, 2313733, 71373960, 177521420, 82143122, 181348242, 4333716, 71694997, 179198486, 71451799, 79853341, 158385693, 173586848, 10645413, 4323240, 250876713, 79896618, 71520936, 79820457, 250657345, 160360134, 158178427, 10781134, 181362895, 71444304, 4264145, 79989332, 4584405, 10617814, 231627864, 162565337, 244837466, 79884379, 160408668, 240578015, 179393248, 254715233, 179310050, 71430249, 164789226, 238166506, 4344300, 4410858, 179618807, 231547895, 160345081, 231616123, 254621052, 233778047]",49
1589187,[10.01525826],[9.10803222],[-0.2325917],[1.66920352],6,[],0
1589447,[11.66054691],[11.27183261],[-0.13847874],[-0.45922066],7,[],0
1590216,[26.93376949],[21.23589826],[-0.36185612],[-1.15983476],6,"[79926075, 520731989, 158224831]",3
1590237,[26.39927444],[20.51244011],[-0.37203339],[-0.82049408],6,[],0
1590297,[26.36982943],[19.14471854],[-0.41487625],[0.93347827],4,[],0
1591061,[11.35742983],[11.27854549],[0.07014888],[1.11928703],28,"[84098368, 183540865, 242515464, 14891510, 169157209, 71504223]",6
1591254,[25.39669409],[19.61388842],[-0.37615487],[0.89992186],6,"[2272904, 204186819, 71369438, 135049551]",4
1591279,[21.95844182],[19.18795613],[0.28593482],[-1.23595412],11,[],0
1593332,[27.8864779],[26.3548468],[-0.17944277],[-0.16951503],7,"[479259347, 86172175, 172877527]",3
1594999,[15.20952902],[14.94500723],[-0.09852853],[-0.18574955],6,[],0
1595001,[20.90149219],[15.90948465],[-0.38576579],[0.98193868],9,[],0
1595780,[25.20897128],[11.49019403],[0.6123849],[-0.63796076],4,[],0
1595974,[10.37412831],[10.22408088],[0.09913504],[1.58352531],7,[],0
1595991,[28.22985733],[27.19955365],[-0.14514268],[-0.98199502],7,"[158458626, 82119349, 231813566]",3
1596017,[18.17214549],[11.61454698],[0.49056269],[0.23304543],7,[],0
1596035,[15.18431194],[14.78813453],[-0.12186645],[-0.10983354],6,"[14839938, 210340678, 86148716, 248366700, 172913435, 143252860]",6
1596661,[12.40219709],[7.62128007],[0.50809707],[-0.74848344],5,[],0
1596800,[24.35318073],[22.13704948],[-0.23310933],[1.43259794],4,[],0
1596847,[17.2596501],[17.23816287],[-0.02276077],[-1.68026439],6,[],0
1597662,[21.20754013],[6.19158228],[0.71037963],[0.25429538],4,[],0
1598309,[5.73873258],[5.7374599],[0.01652535],[-0.80099214],25,[],0
1598310,[23.78532779],[21.66282302],[0.24048404],[-0.63808817],6,[],0
1598327,[11.45732147],[11.23276962],[-0.1049193],[0.93666739],4,[],0
1598474,[25.63334581],[22.08968065],[0.29938396],[1.10991572],6,[],0
1598478,[27.56158796],[16.83629452],[0.51059489],[1.5882868],5,[],0
1598489,[23.83071957],[23.56878707],[0.08700914],[0.30131704],12,[],0
1599217,[23.36390973],[22.95695865],[-0.09860048],[0.86735546],30,"[149827233, 75688611, 143535460, 149817573, 75578474, 227372237, 143539570, 75691795, 149844659, 216669303, 149620472, 216897599]",12
1599561,[16.90356674],[16.56765668],[0.11540413],[-1.57689141],37,"[256910976, 75834777, 6631067, 181515678, 2415007, 6608293, 2381222, 179678247, 141620009, 75812779, 259175725, 208687409, 215081777, 208705333, 6586550, 181444789, 183721149, 256993854, 75793856, 69555016, 143907274, 210962635, 141614156, 147996366, 259092691, 177659477, 257250006, 210911195, 143827420, 181535835, 77968741, 8767336, 69524078, 211183215, 69487729, 2444409, 253113726]",37
1599734,[21.02853044],[20.28490243],[-0.14278381],[-1.07762289],4,[],0
1600113,[15.38265619],[15.38264469],[0.00554045],[0.65589619],20,"[252813249, 2535011, 158508675, 141879943, 177402921, 250772011, 179444172, 181957581, 69642542, 80137073, 229845556, 158578068, 257403574, 208974681, 2452058, 10930137, 69560350, 229777695]",18
1600325,[13.53948814],[8.89643752],[-0.4678217],[1.42622815],7,[],0
1600830,[24.4831872],[24.3968631],[-0.04163241],[1.72820462],12,"[147942187, 239956748, 219209424, 77980083, 168682393]",5
1600840,[14.68851425],[7.18048837],[-0.58194233],[-1.53540308],4,[],0
1600862,[28.68285033],[28.62583761],[-0.03004206],[0.60834328],14,"[2188513, 69298567, 270878, 222890763, 154034572, 10567533, 256727661, 79772207, 181484208, 181267569, 69478067, 256946613, 223210814, 153712735]",14
1601733,[24.7565983],[16.03346969],[0.4843949],[0.34908798],6,"[683122712, 69376665, 752248139, 2290894]",4
1601801,[5.77059102],[5.66061299],[0.11313989],[-0.2115611],11,[],0
1601820,[20.70719132],[18.19751617],[-0.27049669],[-0.07571225],6,[],0
1602592,[17.05931012],[16.95287095],[0.06673261],[-0.6118705],18,"[84098243, 73703909, 135352006, 12790411, 166710477, 259061551, 240066515, 258670682, 134962910]",9
1602738,[27.01088939],[19.49504592],[0.42802125],[0.41307142],4,"[257244033, 69613882, 181740660]",3
1602860,[17.66895883],[17.43595051],[-0.08513422],[-0.20767341],5,[],0
1602866,[13.04783835],[11.21993251],[0.3014222],[0.22140958],6,[],0
1603546,[22.99335624],[22.9427717],[0.04158753],[-0.3214553],6,[],0
1604391,[24.10244907],[15.86377911],[-0.46696804],[-1.60023535],4,[],0
1604408,[13.47812546],[12.43927711],[0.22363216],[-0.81953174],6,[],0
1604446,[20.15998965],[15.10870435],[0.40539895],[0.92721136],6,[],0
1605242,[18.32876282],[16.85074608],[-0.21896106],[0.59240705],10,"[71675109, 406335493, 408433395, 220688413]",4
1605256,[22.30529372],[22.13355887],[-0.06386934],[1.17504299],6,[],0
1605297,[27.77018724],[22.16743939],[-0.35294633],[0.78987711],5,"[71412544, 4287930, 135024435, 204166614]",4
1606938,[14.17921825],[13.52098096],[0.17419958],[1.06366161],4,[],0
1608116,[18.05540737],[17.95401328],[-0.05382824],[-1.27707442],48,"[227365765, 79785093, 69383946, 170849933, 170886544, 156099474, 248203538, 174832920, 250544154, 171006492, 179194399, 252559267, 86138020, 177191719, 246496937, 244150059, 69529388, 2421428, 170719925, 252651446, 170820407, 252531381, 252536245, 170961595, 15002941, 246365133, 246295246, 244213326, 170754637, 10577110, 250774104, 252544345, 179184602, 246200285, 179275998, 177430366, 181443040, 179171041, 179163621, 170784625, 86305910, 175416953, 244320890]",43
1609563,[21.68572733],[15.11817486],[0.44735627],[-0.97783697],11,"[77760993, 160171274, 78009967, 15027734, 6471002]",5
1610333,[11.51032565],[11.12470245],[-0.13883871],[0.83915372],14,"[176966978, 162145567, 250600521, 81909974, 162407386, 69505627, 250320287]",7
1610981,[26.72153569],[23.32297874],[-0.27735464],[-0.70079821],6,"[80086320, 160567898, 233908160]",3
1611018,[11.15480318],[8.67849436],[-0.37120472],[1.32928044],6,[],0
1611981,[10.98400583],[10.07354924],[-0.22212663],[-0.09781601],6,[],0
1611982,[19.67884412],[19.41203001],[-0.08639289],[-0.60475367],14,[],0
1612173,[21.26700164],[16.9751798],[-0.35300457],[-0.33004986],6,[],0
1612587,[20.63361237],[20.02792422],[-0.12958929],[0.85856675],7,[],0
1612932,[29.04064612],[26.79862922],[0.22379196],[-0.00156648],10,"[173149808, 67392475, 246537262, 292062]",4
1613458,[26.60566502],[19.47120285],[0.4198847],[1.41995],6,[],0
1613745,[19.48383061],[10.45643135],[0.56080041],[-0.44111347],6,[],0
1614849,[20.31424696],[16.64200701],[0.34293139],[-0.53126683],6,[],0
1615279,[22.87838217],[17.74815311],[0.38286154],[1.71384489],9,[],0
1615327,[28.39744427],[19.05904482],[-0.45734916],[1.17174977],5,[],0
1615336,[26.41288992],[15.39092507],[-0.52029549],[1.01344613],5,[],0
1616134,[9.3680831],[9.29226551],[-0.06561855],[-1.58898867],51,"[168855299, 156281475, 8689414, 158689679, 168937360, 167079697, 80044308, 158697885, 86353054, 158569375, 158666398, 84313889, 238347298, 240268964, 80011430, 15046573, 86310191, 79994289, 10804149, 240124728, 156295998, 156390983, 240415945, 325326, 67434959, 229970768, 229670098, 238397524, 82203991, 240452824, 168853592, 169000675, 167078244, 229652963, 170952684, 10806511, 80008309, 229763062, 10786550, 167133048]",40
1616278,[25.19902396],[24.57126063],[0.12867726],[-1.56974],6,[],0
1616296,[23.37788154],[21.38108192],[0.23530776],[-0.48266919],10,[],0
1616325,[20.65917464],[11.95046287],[-0.52319764],[0.02507665],6,[],0
1616328,[7.06421134],[6.34244233],[0.25732959],[-1.23081149],4,[],0
1617749,[15.24374206],[13.30967101],[0.28675258],[-0.15661914],7,[],0
1618514,[22.89752481],[21.84103456],[0.17366795],[1.05416866],6,[],0
1618515,[24.35285905],[24.3525767],[0.00752922],[-0.48127738],29,"[166867085, 206758286, 137476622, 166851222, 84255129, 240265882, 6685339, 139683236, 13031723, 240220080, 73776693, 204611381, 240235453, 137536070, 6667211, 206937941, 84233051, 84335197, 139865705, 166962027, 75892217, 73848956]",22
1618707,[29.11912611],[25.65802548],[-0.26776253],[0.88508108],6,[],0
1619284,[14.37675329],[11.27953588],[0.37509261],[-1.08827549],47,[],0
1619387,[23.39151097],[23.30173168],[-0.04364916],[0.77728],24,"[151913217, 223180455, 71487592, 10569449, 135031353, 79776671]",6
1619398,[25.51184059],[23.31790312],[-0.22637466],[1.34531521],6,[],0
1619498,[26.44203203],[26.34441326],[0.05244184],[0.81516683],8,[],0
1619543,[12.0755165],[10.74953851],[-0.25699986],[1.69846538],6,[],0
1619552,[7.57700466],[6.22621427],[0.34058362],[0.60389812],4,[],0
1621371,[18.27645068],[16.78907638],[-0.22000402],[1.66219454],6,[],0
1621610,[19.50105102],[5.11979511],[0.7273353],[0.81348737],4,[],0
1621642,[22.58790994],[14.90125518],[-0.46585339],[0.90523379],6,[],0
1623094,[29.02274891],[17.47153696],[-0.50703731],[0.77110152],4,[],0
1623187,[15.32995857],[13.99890767],[-0.22751934],[0.22957378],9,[],0
1623248,[24.20765531],[21.43215855],[-0.26280161],[-1.19255109],7,[],0
1623952,[13.29025367],[13.16324433],[0.08145715],[1.47599124],9,[],0
1624143,[26.19646021],[23.17233001],[-0.26373468],[-0.7578038],11,"[235658438, 81905672, 445160138, 436969613, 162311758, 527343794, 451859571, 516465431, 84002552, 510309693, 12686237]",11
1624254,[22.24767162],[19.00768679],[-0.29762505],[-1.19058062],9,[],0
1625142,[13.83565459],[13.69320169],[0.08436971],[0.09244328],33,"[178999300, 67503493, 210585096, 6706954, 223895, 75915799, 177234845, 327582, 177454500, 143497258, 143954474, 210845228, 252944430, 143840058, 213126334, 252922564, 206178505, 177490765, 179306195, 143758421, 8683990, 258639067, 67309162, 77885675, 67329906, 212682228, 181097207, 8804088]",28
1625169,[23.2557271],[22.9859843],[-0.07952612],[1.67926107],4,[],0
1625189,[26.55740715],[18.10729601],[0.45906428],[-1.43448804],4,[],0
1625671,[17.52680981],[9.80880433],[-0.53587472],[0.39248834],6,"[424571940, 86067761, 14859602, 241800467, 498004689, 170602111]",6
1625777,[23.01147641],[12.98212683],[0.54256267],[-0.63601169],6,[],0
1625831,[7.94945288],[6.52488691],[0.34147898],[-1.6741349],4,[],0
1626398,[23.70569052],[23.46716707],[-0.07372545],[-1.01780973],6,[],0
1626413,[14.31453506],[10.51061371],[0.41795142],[-0.53264423],5,[],0
1626446,[15.57032968],[14.60829418],[-0.19074633],[0.25185005],4,[],0
1626463,[20.6218775],[18.35908167],[0.26660879],[1.06982146],6,[],0
1626889,[4.61447357],[4.60777771],[0.03469955],[0.14920673],13,[],0
1627044,[28.13989065],[22.80051597],[-0.34175831],[-1.01518816],11,"[160398273, 520882946, 428498853, 447487597, 82088301, 439056017, 522979825, 231642520, 12868827]",9
1627878,[20.61779052],[20.60918467],[0.02085771],[0.9960251],45,"[227696384, 73627394, 210667651, 228074500, 139471878, 227532046, 141848725, 73614873, 79900953, 152101286, 221651240, 10696360, 220978608, 73695796, 218751797, 141230395, 6587325, 10716351, 149575488, 158334414, 139524431, 210399823, 152461652, 141508693, 151789784, 82184158, 75725036, 229793775, 230172146, 141569267, 141819764, 6519935]",32
1628503,[23.70773058],[22.54884424],[-0.1689242],[0.64326216],6,[],0
1628513,[16.94956976],[14.99811205],[-0.2633837],[1.03540784],6,"[139263056, 73490873, 4273522, 208410494]",4
1629331,[15.79319123],[11.37180177],[0.42941006],[0.92809633],7,[],0
1629332,[22.69754673],[16.34600821],[-0.41956455],[-1.65105942],6,[],0
1629333,[19.99697433],[19.41509492],[0.13872667],[-0.25798861],6,[],0
1629419,[20.01881384],[18.27064675],[0.23791544],[1.15760035],34,[],0
1629528,[13.18066366],[2.91181772],[-0.74140941],[0.23818263],13,[],0
1630769,[6.59701779],[6.59660477],[-0.00133199],[1.65768597],10,[],0
1631109,[9.38253666],[8.72048253],[0.21408322],[0.20556446],8,[],0
1631139,[18.29915213],[17.61533961],[0.15666907],[1.24760616],8,"[208739842, 163090564, 139552777, 71617103, 210836980, 141649912]",6
1631215,[25.81144389],[22.7160766],[0.27873388],[1.51375077],6,[],0
1632141,[15.3782897],[13.30654774],[0.29553291],[0.75414496],7,[],0
1632142,[22.40550304],[18.8414069],[0.32137753],[-0.90999725],7,[],0
1632400,[25.35895201],[22.99899927],[-0.23583258],[-0.52410562],6,[],0
1632408,[23.3502792],[19.26336305],[-0.32761254],[0.65149329],6,[],0
1632969,[18.8975789],[18.64960242],[0.09463728],[-0.54485872],8,[],0
1633153,[26.44380312],[26.44342515],[0.00190421],[0.39207593],47,"[77906818, 69347210, 179281933, 219166606, 254723986, 77803923, 179357463, 254795294, 2295712, 179328292, 218936230, 219138728, 149993898, 219156394, 179335216, 69412921, 8597947, 254746684, 219084993, 149965506, 149982402, 77805636, 149963339, 149910482, 181427159, 179259995, 69516126, 69459823, 8599410, 69415286]",30
1633278,[25.84089712],[25.72900495],[-0.04666599],[0.96289441],5,"[137315760, 158042764, 71436077, 229316311]",4
1633829,[17.43815393],[12.61061794],[-0.41718305],[1.55141999],6,[],0
1633972,[15.67663784],[15.67602714],[0.00974992],[1.39607347],37,"[84193439, 75794298, 12888666, 145706151]",4
1634087,[24.32649367],[23.24676819],[0.17040047],[0.57975098],7,[],0
1634101,[20.082],[19.13117849],[-0.16615424],[1.21598096],9,[],0
1634751,[17.8822117],[17.84819021],[-0.02928763],[0.99247634],10,"[256651424, 166335960, 71380112, 164431537, 183382194, 181193524, 2173205, 237613078, 235704344, 256747801]",10
1634909,[9.66983363],[8.295245],[-0.29394082],[-1.23845718],6,[],0
1635762,[17.53530158],[15.39614649],[-0.2714213],[-0.285094],6,[],0
1636328,[15.33424485],[10.49360771],[0.45719568],[1.04828309],6,[],0
1636333,[22.80151092],[10.59591138],[0.60683969],[0.22009319],6,[],0
1636875,[19.15237689],[9.77122338],[-0.56828492],[-0.61759086],6,[],0
1637075,[11.9991786],[11.36748002],[0.18529264],[-1.46906007],15,[],0
1637101,[18.7829626],[16.28912137],[-0.28363945],[1.28298315],6,[],0
1637115,[10.62612168],[8.89950314],[-0.31516672],[1.1827575],6,"[73657576, 155818396, 222940188]",3
1637153,[25.20471802],[15.00455612],[-0.51166553],[0.81022197],4,[],0
1637989,[26.88474207],[9.11753228],[-0.67310455],[0.36832144],5,[],0
1638446,[9.52838776],[9.51753289],[-0.02156453],[0.90549912],33,"[4271233, 4577155, 4501125, 221017992, 10674189, 141664408, 73558937, 81975706, 141585187, 212845476, 143507632, 212758065, 73480882, 73710774, 223272248, 214760381, 73782720, 153926082, 210833732, 143587296, 154063462, 4351847, 82073192, 12734700]",24
1639541,[21.41329474],[20.74975346],[-0.13329673],[-0.46541046],6,[],0
1640221,[16.29048176],[15.94043097],[-0.11009937],[-0.52135084],6,[],0
1640223,[29.17703697],[28.78301509],[0.09593471],[1.25778306],10,[],0
1640378,[25.60736652],[22.71602557],[0.27044478],[0.74092621],6,[],0
1641976,[18.92097184],[16.78416815],[-0.26075345],[1.28615817],6,"[73679430, 6559974, 137360680, 511042356, 204409653, 437646680]",6
1642202,[26.50352663],[26.47732382],[-0.01975194],[0.85553181],25,"[156126400, 227356866, 151981218, 154254339, 227531362, 135259401, 156084332, 4556461, 71666222, 156352493, 82003414, 156216022, 71530301]",13
1642239,[23.84214226],[21.85999036],[0.2321696],[1.49218373],6,[],0
1642486,[23.96899632],[13.59939915],[0.54040138],[0.74106797],6,[],0
1643980,[25.71142758],[20.41420986],[-0.35685637],[1.34900608],6,[],0
1644869,[26.48208836],[21.12595306],[-0.35340803],[-1.21991496],6,"[10658085, 81975739, 158141397, 229379034, 443051323]",5
1645845,[20.14589941],[19.45053908],[-0.14099607],[1.38936476],7,"[212914689, 6643589, 75855269, 215012338, 164300758, 143751959]",6
1646621,[20.83028053],[17.68051954],[0.31324522],[-1.21873918],6,[],0
1646627,[10.48848217],[10.47383157],[0.03412795],[0.72025459],65,"[2394625, 152094338, 80000006, 73759113, 8585741, 215026194, 217126294, 2297370, 69475866, 208637599, 10836896, 139536673, 150062113, 219169316, 80009766, 73754280, 137406249, 152095401, 73653291, 10852522, 80012462, 219170864, 2367413, 150048183, 71506300, 71618749, 10794815, 143798211, 69520964, 150095428, 152070856, 6535886, 145865678, 212916944, 208677585, 4551504, 219143511, 80041052, 139462621, 2412254, 71598943, 4549732, 80059749, 2412392, 137412203, 10799470, 208682737, 82097394, 217124339, 221263988, 4492277, 145438330, 143568252]",53
1647045,[16.08701681],[16.06868091],[-0.02156852],[-1.61528367],66,"[179344640, 179382404, 69333767, 75807495, 204446599, 75841546, 137345810, 135220246, 75816986, 204480543, 131875, 73654308, 141698853, 258961318, 259001382, 256296, 67314468, 208675754, 202330928, 67341104, 135132851, 181437875, 73628213, 135234360, 69454011, 4330300, 4330301, 73593790, 141596095, 6503743, 141601601, 4442177, 256907072, 4381627, 139473484, 8697806, 135134547, 8731863, 181376571, 258959323, 181396445, 69380958, 67423325, 181342560, 75710305, 2276450, 8708579, 208768866, 6545635, 181386470, 6519781, 2345448, 69462760, 256956905, 231523, 207207, 73649773, 73536366, 181442034, 71431411, 77904884, 181388917, 67406454, 77938680]",64
1647217,[27.5271012],[26.74726835],[-0.12720616],[1.71661197],4,[],0
1647288,[27.21442971],[26.15940839],[-0.14976751],[1.25840933],7,[],0
1647644,[17.55084971],[12.916891],[-0.40681576],[-1.64708446],7,"[519334662, 143574567, 445921511, 77897930, 212704206, 8670646]",6
1647883,[20.29085622],[7.3932397],[-0.65820718],[-0.97913593],8,"[434870552, 440935089, 508205616, 81968244]",4
1648524,[26.80838339],[26.72366256],[0.04888149],[1.52910403],74,"[10674052, 231764101, 216931976, 8757513, 160335881, 231605518, 160482067, 217100953, 81979675, 8576924, 160597665, 8822308, 6690853, 214854182, 10642471, 160377640, 77802027, 231650092, 148174125, 82110765, 77961775, 160828591, 6492209, 8577070, 234054065, 8550062, 148060854, 233707449, 219447995, 162436283, 231863997, 160725694, 82229694, 10855870, 77783233, 147924418, 162780610, 147758531, 217054790, 75899468, 145682253, 215124430, 165037905, 12906193, 77887829, 145767894, 12773333, 145955800, 160438873, 231705175, 232098007, 10921180, 82000605, 217161822, 82085340, 215307747, 146138083, 77782117, 231991523, 77757415, 81944682, 147984237, 217238642, 78023544, 160495741, 147765375]",66
1648658,[18.87047546],[10.69438771],[-0.53112578],[-0.21468533],4,[],0
1648682,[14.71146269],[13.32596588],[0.24703956],[1.38334171],6,[],0
1648705,[17.39600666],[16.44779559],[0.18847353],[-0.01154211],8,[],0
1648781,[23.00670229],[21.65478689],[0.19556696],[-0.47853087],5,[],0
1648784,[29.0926749],[29.03073825],[-0.0312614],[-0.90511782],14,"[244586849, 172994724, 174851013, 86304295, 235559751, 84169546, 164782219, 248211148, 164283597, 235756301, 173344210, 164472023]",12
1649599,[23.73420912],[23.65700389],[0.04952309],[0.44623436],46,"[181545313, 152419974, 147707658, 216879914, 179439244, 69544685, 77697870, 150428655, 179734477, 78039154, 259270325, 149805046, 217225336, 257014106, 374651, 77977471]",16
1651246,[29.00424116],[28.27631783],[-0.11940882],[0.31017279],9,[],0
1651350,[20.64221642],[20.11423097],[-0.12060293],[0.37922845],6,[],0
1652497,[11.06399424],[9.61764615],[0.29111078],[-0.11763317],6,[],0
1652515,[27.85892491],[26.18894751],[-0.18776418],[-1.04602637],4,[],0
1652604,[22.10727212],[21.48903891],[0.13608012],[0.00034071],7,[],0
1653042,[19.86565145],[18.60220517],[0.20334702],[1.24386771],5,[],0
1653044,[17.55090642],[15.85807718],[-0.2402605],[-1.21837944],6,[],0
1653955,[22.84434073],[11.49322137],[-0.57281336],[0.46156375],4,[],0
1654009,[17.14608503],[17.13699479],[0.02288977],[0.66430146],44,"[2247810, 69356549, 183434761, 2352011, 2263948, 202308237, 69372174, 69458960, 183447569, 69543444, 79824662, 154087836, 183487778, 202276515, 79841575, 183885100, 202289838, 152167983, 223276850, 79825206, 221730616, 152561216, 183667272, 221527375, 154100176, 10618719, 135232485, 202513893, 80045417, 10635115, 71564527, 10617973, 135200503, 71453944, 2358909]",35
1654727,[23.77285822],[22.88522216],[-0.14687492],[0.16408351],9,"[411964685, 67445109, 250681972, 175229445]",4
1654912,[27.35577132],[24.05742565],[-0.26976159],[1.46409468],6,[],0
1654929,[24.74045785],[14.60008405],[0.52495247],[0.73566286],4,[],0
1655929,[26.11951382],[23.23921638],[0.26726483],[-1.09239659],7,[],0
1655957,[20.69312162],[19.95407991],[-0.14352059],[1.26306262],4,[],0
1656825,[28.6695795],[24.60244915],[0.30330471],[-1.72057461],6,[],0
1657015,[28.35430192],[22.90406516],[0.35381641],[-0.1697991],4,[],0
1657115,[19.91252724],[18.17085838],[0.23810484],[-0.45363734],6,[],0
1657987,[8.65402043],[5.9340723],[-0.44648105],[-0.26625399],6,"[202021984, 69419970, 136988327]",3
1658093,[18.31622956],[9.52134108],[0.57178559],[0.01296162],4,[],0
1658757,[22.86313366],[20.85461263],[-0.22889249],[1.735752],6,"[437422176, 75592465, 510810572, 147659580]",4
1658960,[22.0355544],[21.47279621],[0.13023264],[0.38657846],7,"[222006, 254822115, 179347893, 69423590]",4
1658969,[21.52948897],[4.607011],[0.75500383],[-1.66612629],6,[],0
1659662,[20.53658329],[11.32861143],[-0.54119915],[-0.21255867],7,[],0
1659845,[19.50054785],[18.73815209],[-0.1504324],[-0.79699396],4,[],0
1660491,[24.63141716],[17.15515022],[0.44787036],[-1.00694891],5,[],0
1660651,[24.74239071],[15.30465124],[-0.49546962],[0.9628318],4,[],0
1660762,[22.10374791],[18.55512239],[-0.31315278],[1.23155108],6,[],0
1661354,[26.08306505],[25.6986999],[0.10000791],[1.01038281],11,[],0
1661380,[28.82232737],[28.80869628],[0.02188802],[-0.09690155],5,[],0
1661458,[28.63331926],[23.73074839],[-0.3238585],[-1.00300012],6,"[81898880, 522674019, 10586117, 12681971, 160196789, 231439487]",6
1662245,[13.35149195],[13.35138977],[0.00269794],[1.01341881],48,"[170702597, 71495049, 237857323, 246214350, 175109840, 166584531, 172851006]",7
1662430,[23.78410099],[11.08465721],[0.60599177],[-1.6617305],7,[],0
1662478,[22.08160715],[21.68119598],[-0.10071058],[0.32398012],4,[],0
1663253,[6.11195905],[5.47149133],[-0.25088648],[-0.47544027],5,[],0
1663510,[21.4319966],[21.42104261],[-0.01283477],[-1.48325681],16,"[67284000, 172914243, 154126029, 153774541, 164892271, 10891664, 173223568, 225053651, 225405654, 77736535, 246583002]",11
1664147,[4.72871649],[4.69574993],[-0.06056306],[-1.22697567],44,[],0
1664338,[22.9967814],[22.78312013],[0.08037754],[0.79099783],6,[],0
1664353,[25.70687846],[23.30433554],[-0.23635368],[-0.76533657],4,[],0
1664397,[25.67389392],[8.50618804],[0.68742853],[-1.02468275],4,[],0
1664438,[21.95841862],[19.13934801],[-0.27871616],[-1.41585301],6,[],0
1664977,[19.74998575],[17.89020317],[0.24701379],[0.48498835],6,[],0
1666158,[16.39447277],[12.43951811],[0.39755217],[-1.39778089],10,[],0
1666186,[18.379901],[18.36971284],[0.02329555],[1.72427877],56,"[6487556, 239987078, 239829132, 75566094, 168726672, 86160276, 219019931, 166643228, 239999525, 149867946, 150067115, 149962666, 77965742, 219039540, 150027701, 219238966, 240010422, 77767862, 219199802, 77800124, 86260797, 14746176, 168766913, 8561349, 242273223, 77873869, 8593103, 168905296, 86307410, 14842714, 8571612, 168553183, 8668129, 240036709, 168716776, 149853676, 168864624, 86143858, 219027060, 8584948, 14857850, 86050687]",42
1666211,[17.97854811],[17.36198958],[-0.14052544],[0.36025241],6,[],0
1666253,[17.97702766],[15.48414738],[-0.29013314],[0.14406454],4,[],0
1666834,[17.29095822],[14.99043729],[-0.28394964],[0.05505013],10,"[177063863, 67276435, 412366869, 481651095]",4
1666835,[23.21132765],[22.16102595],[0.17201837],[-1.16705104],9,[],0
1667020,[23.39567259],[15.41187543],[-0.46655198],[0.44025398],6,[],0
1668013,[26.60706972],[22.51445594],[-0.30622734],[1.70727825],6,[],0
1668014,[23.87647318],[21.04485715],[0.27718399],[-0.2182323],6,[],0
1668015,[8.00228702],[7.45788434],[0.21026077],[0.63624709],6,[],0
1668347,[6.12236891],[5.65194045],[0.2233363],[0.38733596],20,[],0
1668952,[14.89529038],[13.13919578],[-0.26665393],[1.05860954],6,[],0
1668985,[19.30191592],[15.46042244],[0.36016906],[-1.16515781],6,[],0
1669877,[13.55684984],[12.25209723],[0.24972739],[-0.84399658],11,[],0
1670092,[18.58395127],[9.44781006],[0.57917133],[-0.35121274],6,[],0
