frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
30,58966,[12.35845249],[11.51530004],[-0.20080686],[0.69251668],8,,,,,,,,,,
30,86976,[19.7278515],[14.03639712],[-0.42644093],[0.61268835],5,,,,,,,,,,
31,93807,[27.29859708],[26.17845399],[0.16398053],[0.83791463],19,,,,,,,,,,
31,25956,[12.59462869],[12.24128057],[0.13630379],[0.59077587],4,,,,,,,,,,
32,84944,[24.60888168],[17.55425187],[0.4347151],[-0.18902376],6,,,,,,,,,,
32,96476,[13.24623276],[11.04076604],[-0.31919139],[-1.65146716],7,,,,,,,,,,
32,96475,[26.71328324],[9.2950946],[0.67763155],[-0.19407259],6,,,,,,,,,,
33,97183,[23.63650205],[19.01410271],[-0.34722205],[-0.33229541],7,,,,,,,,,,
34,44410,[26.81988784],[18.04846645],[-0.4560081],[1.02740415],4,,,,,,,,,,
34,97342,[24.99459973],[22.43584954],[0.25751677],[-0.42952821],4,,,,,,,,,,
35,79028,[11.64860212],[10.18979877],[-0.27516876],[-1.4527325],6,,,,,,,,,,
35,98690,[8.99754526],[7.84577381],[-0.27834121],[-0.67907069],7,,,,,,,,,,
36,96702,[26.77123684],[25.9787218],[0.1398845],[-0.19878605],9,,,,,,,,,,
37,95635,[23.01003731],[12.12524143],[0.56714092],[1.51286998],6,,,,,,,,,,
37,100067,[22.81394644],[16.50232746],[0.42675055],[-1.19249393],6,,,,,,,,,,
37,41684,[17.26046676],[16.31084425],[0.18933838],[-0.1645102],8,,,,,,,,,,
37,100480,[13.26607176],[13.24792137],[0.03382484],[1.61684828],5,,,,,,,,,,
38,30934,[11.40740617],[5.03811238],[0.62122713],[-1.0091145],6,,,,,,,,,,
40,102644,[12.85843445],[12.85612308],[0.01536022],[-0.67433083],41,,,,,,,,,,
40,102645,[20.85415641],[18.0124421],[0.29722482],[-1.53354238],6,,,,,,,,,,
40,75061,[11.92138635],[10.02748771],[0.32119706],[-1.02662433],4,,,,,,,,,,
41,99525,[27.42461501],[26.79723081],[-0.11376249],[0.02000992],8,,,,,,,,,,
41,103532,[17.77414544],[13.12028308],[0.41474276],[-1.72083457],6,,,,,,,,,,
41,103531,[21.32359264],[21.02565379],[0.09750493],[-0.26761198],11,,,,,,,,,,
42,104556,[11.5972686],[8.04612972],[-0.44025806],[0.00100658],6,,,,,,,,,,
42,12316,[15.1573997],[12.62536379],[-0.31973614],[0.81076395],6,,,,,,,,,,
42,102073,[27.4091355],[10.41260734],[-0.6489203],[-0.83847661],4,,,,,,,,,,
43,69386,[22.22992403],[12.48508683],[-0.53452813],[-0.3468112],8,,,,,,,,,,
43,30290,[18.77869014],[17.94289244],[-0.16090889],[-0.55921464],9,,,,,,,,,,
44,104731,[13.63490392],[9.06112301],[0.47203126],[1.4754939],9,,,,,,,,,,
45,92043,[19.41924313],[7.95960332],[0.64060525],[0.81807746],5,,,,,,,,,,
45,79590,[17.2963264],[8.12631872],[0.60365217],[1.08223711],4,,,,,,,,,,
45,108610,[8.90343565],[7.95807384],[0.26230314],[1.51458662],4,,,,,,,,,,
46,108760,[18.08516264],[15.47678879],[0.30586011],[-1.65782401],6,,,,,,,,,,
47,109361,[15.54286751],[15.53654883],[0.02064873],[0.74142054],20,,,,,,,,,,
47,109362,[23.53637796],[13.80327522],[-0.5177362],[-1.19433181],4,,,,,,,,,,
48,75184,[19.35221693],[19.33246136],[0.02987786],[-1.18217735],31,,,,,,,,,,
49,111499,[10.15776941],[10.1577307],[0.0033354],[-1.45067375],34,,,,,,,,,,
50,66977,[16.39129719],[16.16808935],[0.09632156],[0.97072679],8,,,,,,,,,,
50,110306,[26.09410514],[19.52257916],[-0.3967286],[-1.06211907],6,,,,,,,,,,
51,105749,[28.86088006],[27.88092928],[-0.13979172],[0.007117],4,,,,,,,,,,
51,97411,[16.62777733],[16.217888],[-0.11830211],[1.69762891],4,,,,,,,,,,
52,114117,[20.65657788],[20.47141528],[-0.06930787],[0.4657583],6,,,,,,,,,,
52,105832,[21.9508644],[18.52686793],[0.31820561],[-0.4053941],9,,,,,,,,,,
52,106898,[28.98249477],[23.74184596],[-0.33323921],[-0.59395253],6,,,,,,,,,,
53,93878,[18.89240461],[17.35858771],[-0.21972963],[-0.81545076],6,,,,,,,,,,
54,110273,[24.08273893],[19.37156123],[0.35700732],[1.3257387],10,,,,,,,,,,
54,115891,[24.31051237],[21.7869797],[0.25931006],[-0.21535061],10,,,,,,,,,,
54,110260,[19.90626666],[19.78219742],[0.06669815],[0.29049813],10,,,,,,,,,,
54,113100,[12.75353904],[12.20406299],[-0.15822663],[-1.68180778],4,,,,,,,,,,
55,112337,[17.12394913],[16.98250361],[0.07606176],[-1.64463923],23,,,,,,,,,,
56,23466,[26.73938617],[26.73919258],[0.00275744],[1.67833228],15,,,,,,,,,,
56,98907,[14.60465247],[9.96384688],[-0.44905444],[-1.3956254],10,,,,,,,,,,
57,52438,[28.67022713],[24.33654031],[-0.30345073],[-0.15065349],6,,,,,,,,,,
58,117969,[27.36283455],[23.03088111],[0.32059583],[-0.00117267],9,,,,,,,,,,
58,85560,[14.62007914],[7.83739673],[-0.55149273],[0.65933056],4,,,,,,,,,,
58,119437,[28.83978902],[28.65753445],[-0.05739824],[-0.87954797],22,,,,,,,,,,
58,112269,[21.77248445],[10.23978482],[-0.59360483],[1.13984735],5,,,,,,,,,,
58,118844,[27.522979],[26.93550278],[-0.10970749],[1.64436756],4,,,,,,,,,,
59,71359,[25.22428362],[10.61044992],[-0.6243084],[0.4090741],4,,,,,,,,,,
59,120484,[22.23461614],[12.39879016],[-0.53719971],[-0.19733974],7,,,,,,,,,,
60,121519,[11.57137579],[10.46387218],[-0.23931807],[0.9520172],6,,,,,,,,,,
60,104669,[19.10594056],[18.18052532],[-0.16812694],[1.52708895],5,,,,,,,,,,
60,65192,[21.44063717],[14.51154554],[-0.45311352],[-1.26728469],5,,,,,,,,,,
60,67908,[10.13097666],[7.51011188],[-0.40248022],[-0.61573734],7,,,,,,,,,,
61,89498,[14.39580021],[11.05585629],[0.38965112],[1.40855748],7,,,,,,,,,,
62,122724,[16.08447822],[14.35137805],[0.26420306],[1.07237794],6,,,,,,,,,,
62,98145,[24.18925622],[22.86093585],[0.18915556],[0.25522635],4,,,,,,,,,,
63,28475,[16.54749683],[16.25016865],[-0.10023136],[0.60287983],11,,,,,,,,,,
63,122772,[19.17807592],[16.15541381],[-0.31015725],[-1.71747542],5,,,,,,,,,,
65,125483,[15.33521661],[12.57570501],[-0.33241969],[-0.03448729],6,,,,,,,,,,
65,122730,[20.12533987],[19.89008746],[0.08958377],[-1.2739583],14,,,,,,,,,,
65,121685,[18.18834872],[17.10921328],[-0.1867758],[-1.44114653],4,,,,,,,,,,
66,126290,[11.98039297],[8.09961588],[-0.45372213],[0.27580978],5,,,,,,,,,,
66,126288,[21.19873648],[21.19864461],[0.00649341],[1.06628689],18,,,,,,,,,,
66,107927,[18.56823443],[17.91669154],[-0.14221019],[0.9461643],4,,,,,,,,,,
66,78980,[9.71151571],[9.48480043],[0.12472221],[0.46803683],6,,,,,,,,,,
66,123284,[19.65229366],[19.59969529],[0.04537207],[-0.13011817],16,,,,,,,,,,
