frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
1019,954364,[24.02669366],[23.4780785],[-0.11365172],[-1.66331742],6,,,,,,,,,,
1020,940559,[27.18309218],[22.22763012],[-0.33466521],[-1.58600036],6,,,,,,,,,,
1021,959674,[20.63076217],[15.22608228],[0.41484837],[-0.06858903],7,,,,,,,,,,
1021,752419,[21.04906442],[10.69487526],[-0.56962234],[-1.67672852],6,,,,,,,,,,
1021,951486,[19.01364846],[17.81691593],[-0.1925788],[-1.66943137],9,,,,,,,,,,
1021,962404,[25.21253087],[21.47306764],[-0.30046912],[-0.74998931],6,,,,,,,,,,
1021,914696,[16.37215671],[13.67842769],[-0.31720408],[-0.66198665],4,,,,,,,,,,
1022,926173,[21.18123331],[14.23939617],[0.46626066],[-0.37408022],8,,,,,,,,,,
1022,963320,[11.54556334],[11.50772498],[0.04969521],[0.52276976],27,,,,,,,,,,
1022,914760,[11.13650873],[11.1050442],[-0.03676061],[-0.11588117],12,,,,,,,,,,
1022,963321,[24.41755298],[24.38408057],[-0.024123],[-0.56936878],5,,,,,,,,,,
1022,951557,[24.10624508],[8.75956536],[-0.6587811],[-0.12065968],6,,,,,,,,,,
1023,962634,[28.62826857],[24.34084414],[-0.3019876],[-0.52124225],6,,,,,,,,,,
1023,931715,[20.59999139],[4.89348412],[-0.73189141],[-0.04406748],5,,,,,,,,,,
1024,965370,[27.45255449],[25.26978805],[0.22708512],[0.97022144],6,,,,,,,,,,
1025,953172,[23.97963434],[23.75202417],[0.08119052],[-1.30032509],6,,,,,,,,,,
1026,966446,[22.90631255],[9.77957765],[0.63019626],[-0.70248259],8,,,,,,,,,,
1026,938964,[25.88968587],[22.98712649],[0.26948604],[-0.99782574],6,,,,,,,,,,
1027,967635,[20.01091839],[20.00458185],[0.01879437],[0.73119551],92,,,,,,,,,,
1027,967636,[22.77538216],[22.35524109],[0.11135042],[-1.40174242],8,,,,,,,,,,
1027,967637,[15.70140435],[14.93089513],[-0.16927437],[-0.25327557],6,,,,,,,,,,
1028,941267,[22.35392993],[12.5927851],[-0.5333881],[-0.3212707],7,,,,,,,,,,
1030,968991,[29.05322978],[17.48471914],[-0.50716054],[-1.58379113],4,,,,,,,,,,
1030,954356,[24.81466531],[13.26837594],[-0.55235019],[-1.70230242],5,,,,,,,,,,
1030,970233,[19.62145567],[13.7402697],[-0.43522093],[-0.45864023],4,,,,,,,,,,
1032,883017,[26.94927269],[22.49877519],[-0.31780108],[0.44468082],5,,,,,,,,,,
1032,970491,[20.63919823],[19.21503601],[0.21170098],[-1.0086067],6,,,,,,,,,,
1032,971857,[18.09278066],[17.84511093],[0.09656032],[-0.96608312],8,,,,,,,,,,
1033,958134,[20.71991921],[13.33112884],[0.4874833],[0.54288365],7,,,,,,,,,,
1033,967785,[27.22824152],[13.38650762],[-0.58012093],[1.58062044],4,,,,,,,,,,
1033,966928,[21.74599473],[19.77086684],[-0.23288308],[-1.04967476],6,,,,,,,,,,
1033,972924,[4.12479093],[4.10223554],[-0.05307818],[-0.04244124],4,,,,,,,,,,
1033,972845,[2.91707062],[1.02242901],[-0.66697412],[1.18913999],15,,,,,,,,,,
1034,912297,[25.01517767],[9.81916462],[-0.64134537],[0.72288731],5,,,,,,,,,,
1034,973706,[27.36369721],[20.23391728],[0.4136732],[-0.00357456],7,,,,,,,,,,
1035,940496,[26.85302392],[22.00916687],[-0.33281942],[-1.08013777],6,,,,,,,,,,
1036,869531,[18.04066152],[17.62442012],[0.12400382],[-1.51840175],9,,,,,,,,,,
1037,976680,[23.92419824],[21.86396123],[-0.22653758],[-1.00586531],4,,,,,,,,,,
1038,965565,[14.09708119],[14.03508386],[-0.04707247],[-0.33538688],24,,,,,,,,,,
1038,971251,[20.50705523],[20.28865727],[-0.07599455],[1.05175988],10,,,,,,,,,,
1038,967829,[27.77329904],[13.55869062],[-0.58230977],[1.09575915],5,,,,,,,,,,
1039,930372,[8.19022402],[8.09291239],[0.09029342],[-0.69486577],6,,,,,,,,,,
1040,959701,[14.4814078],[13.25374653],[0.23444633],[-1.28855019],4,,,,,,,,,,
1041,980046,[23.27332178],[15.33034831],[-0.46658161],[1.25053999],6,,,,,,,,,,
1041,980044,[23.86817328],[15.34729034],[0.48776048],[-0.90653989],5,,,,,,,,,,
1041,980837,[15.14517549],[15.12065613],[0.03636732],[-1.04206955],4,,,,,,,,,,
1042,981312,[18.07653158],[18.07603415],[0.00075716],[-0.05586371],25,,,,,,,,,,
1042,981095,[18.9827706],[18.77283022],[-0.07753852],[0.96170807],14,,,,,,,,,,
1042,971240,[26.09931499],[24.07047716],[-0.21483044],[0.56362211],10,,,,,,,,,,
1042,943068,[25.56340036],[21.12515134],[-0.32622682],[1.40596786],6,,,,,,,,,,
1042,981096,[20.99426801],[15.76662816],[-0.39436617],[-0.53577231],6,,,,,,,,,,
1043,963517,[26.05687114],[22.67713262],[0.28993013],[0.41297632],7,,,,,,,,,,
1043,982065,[24.39032743],[24.38295969],[0.01846963],[0.56545123],6,,,,,,,,,,
1043,967843,[15.58169539],[12.99385523],[0.32849307],[1.61178851],6,,,,,,,,,,
1043,960652,[24.0909705],[16.0753104],[0.4699732],[1.43475795],4,,,,,,,,,,
1044,983194,[23.65509012],[13.33557762],[0.54283443],[1.42893544],4,,,,,,,,,,
1044,939670,[26.94417431],[14.78509888],[-0.54310473],[-1.21609496],4,,,,,,,,,,
1044,982294,[15.11098659],[14.77419315],[0.12195639],[0.88647862],4,,,,,,,,,,
1044,983930,[15.62174177],[14.47315349],[0.21846196],[-0.48661029],5,,,,,,,,,,
1044,968950,[19.53131316],[19.2018323],[0.10668305],[-0.53275202],5,,,,,,,,,,
1046,985035,[27.45065299],[22.53571268],[-0.33152416],[0.4261597],4,,,,,,,,,,
1046,985033,[28.33431667],[24.5918636],[0.29258665],[-1.32804126],6,,,,,,,,,,
1046,927609,[17.92079393],[15.10919201],[-0.30941992],[0.05111396],6,,,,,,,,,,
1046,981290,[17.59910135],[17.28382298],[-0.10007278],[-0.75120737],4,,,,,,,,,,
1047,971288,[28.96277641],[27.06232012],[0.20649771],[0.78351448],6,,,,,,,,,,
1048,641041,[18.38104147],[15.44130772],[-0.312537],[1.21123525],6,,,,,,,,,,
1048,980337,[14.9043821],[14.10054436],[-0.1777714],[0.96048407],10,,,,,,,,,,
1048,977571,[11.99168996],[11.53399121],[0.1583055],[-0.51575942],15,,,,,,,,,,
1049,949597,[18.3298442],[18.08328657],[-0.0860312],[0.96372159],6,,,,,,,,,,
1049,952355,[18.6662192],[17.13690925],[0.2304963],[0.40468726],8,,,,,,,,,,
1050,989015,[17.75021624],[13.93824147],[-0.36474899],[1.33064073],7,,,,,,,,,,
1050,989014,[21.79656829],[21.64329522],[0.07054725],[-0.90667566],13,,,,,,,,,,
1051,980359,[27.54036714],[25.06978383],[-0.23138491],[0.11120779],12,,,,,,,,,,
1051,925507,[19.17521569],[16.54056996],[-0.28874188],[1.01945783],6,,,,,,,,,,
1051,983481,[24.65570239],[24.41759418],[0.08185398],[0.99074848],21,,,,,,,,,,
1051,978633,[24.44515116],[13.16939983],[0.55943232],[1.32042291],4,,,,,,,,,,
1052,985187,[16.61504024],[10.88983951],[-0.46901753],[-1.00969886],6,,,,,,,,,,
1052,953132,[21.53590347],[13.58556723],[0.4965041],[-0.22562274],4,,,,,,,,,,
1053,990934,[23.29839658],[18.26610694],[0.3755679],[0.56163129],6,,,,,,,,,,
1053,924331,[16.83816263],[10.16738453],[0.51552483],[1.63868175],6,,,,,,,,,,
1053,953092,[24.38905749],[18.0813882],[0.41208914],[1.52183671],6,,,,,,,,,,
1053,947587,[23.9926904],[21.42373987],[0.26335795],[-0.18806913],4,,,,,,,,,,
1054,992376,[16.9969433],[16.77702447],[-0.08428015],[0.66497696],12,,,,,,,,,,
1054,971262,[28.33960678],[25.93546722],[-0.22477966],[0.8157913],6,,,,,,,,,,
1054,941207,[19.17036704],[9.86323203],[-0.56549968],[1.6759439],6,,,,,,,,,,
1054,992375,[22.14825236],[15.5958964],[-0.43218863],[-1.26899727],6,,,,,,,,,,
1054,989832,[14.18381929],[11.94953059],[0.31981031],[-0.4352335],5,,,,,,,,,,
1055,993335,[24.47860268],[23.74448895],[0.14076931],[0.65153669],8,,,,,,,,,,
1055,971271,[22.91073616],[20.03947868],[0.28496906],[0.91211115],6,,,,,,,,,,
1055,971315,[20.77699446],[19.81870907],[-0.16391003],[-1.24581742],7,,,,,,,,,,
1056,985202,[20.42036801],[13.81980092],[-0.45316052],[0.46054052],6,,,,,,,,,,
1056,994126,[6.56133567],[6.54891981],[0.03893091],[-1.09710842],6,,,,,,,,,,
1056,992577,[11.76118874],[11.42624753],[-0.12757015],[0.98405286],7,,,,,,,,,,
1056,942118,[18.730269],[15.76958458],[-0.31062965],[1.04863683],6,,,,,,,,,,
1056,989934,[14.96094342],[9.525279],[0.49234865],[-0.90489981],6,,,,,,,,,,
1056,989175,[26.6630911],[21.22980922],[-0.35480114],[-0.99325177],9,,,,,,,,,,
1056,994124,[25.77954106],[19.09363001],[-0.40295493],[-0.20532939],6,,,,,,,,,,
1057,995018,[8.53272646],[8.40673958],[-0.09039236],[0.4787452],10,,,,,,,,,,
1057,995017,[23.54296048],[12.1563527],[0.5740215],[0.96837019],4,,,,,,,,,,
1058,995542,[29.11523635],[28.38145164],[-0.11967116],[1.23517396],6,,,,,,,,,,
1058,995541,[13.06663092],[13.02587316],[0.04859896],[-0.51042728],15,,,,,,,,,,
1060,997236,[22.04545772],[21.29361537],[0.14984378],[0.319617],10,,,,,,,,,,
1060,978650,[10.38271103],[10.335308],[-0.04805737],[1.27410892],14,,,,,,,,,,
1061,888790,[24.54085241],[24.50282138],[0.03568409],[1.5025357],4,,,,,,,,,,
1062,999128,[19.8475826],[13.59581079],[-0.44692999],[-1.10071456],7,,,,,,,,,,
1063,984414,[14.52217507],[12.63606498],[0.29014467],[0.53137846],6,,,,,,,,,,
1063,994337,[28.32482995],[24.51791831],[-0.28543403],[1.70529083],4,,,,,,,,,,
1064,1000773,[19.52808262],[10.97731032],[-0.53420563],[1.21586804],6,,,,,,,,,,
1064,957415,[26.26629084],[24.01899766],[-0.22577466],[-1.03860351],9,,,,,,,,,,
1065,996667,[27.76309257],[25.8932011],[0.20917631],[1.46035336],6,,,,,,,,,,
1066,966456,[22.24120537],[19.64878613],[-0.26506405],[-0.1142581],6,,,,,,,,,,
1066,1002446,[25.68542452],[18.73871007],[0.42174919],[-0.58585072],6,,,,,,,,,,
1067,975498,[23.29289711],[18.62146821],[0.36157358],[1.29859501],11,,,,,,,,,,
1067,1003327,[12.57549607],[10.71461991],[0.30986627],[-0.31776657],10,,,,,,,,,,
1067,942192,[18.22722092],[18.08375365],[0.07436195],[-0.60980773],4,,,,,,,,,,
1068,1001979,[16.92466647],[15.8402278],[-0.19437157],[-0.62679671],10,,,,,,,,,,
1068,991635,[17.07434818],[13.94108275],[0.34557097],[1.50516852],4,,,,,,,,,,
1069,922808,[16.9830397],[15.43360125],[0.24315894],[1.56130024],5,,,,,,,,,,
1069,1005256,[22.65287777],[22.04619915],[0.13326009],[1.5505633],10,,,,,,,,,,
1069,1000249,[10.80347436],[9.55635572],[0.27349415],[-1.33680866],6,,,,,,,,,,
1069,1000256,[13.76323486],[12.47316317],[-0.23673292],[-0.04733796],8,,,,,,,,,,
1070,948700,[27.47937546],[10.13453057],[-0.65554072],[0.03951687],4,,,,,,,,,,
1070,1005996,[27.48988025],[27.06977015],[-0.09203149],[-1.5191657],8,,,,,,,,,,
1070,1006397,[5.03199902],[4.6797011],[-0.20357496],[0.5220065],4,,,,,,,,,,
1072,1007902,[6.00873384],[5.91198502],[0.10435988],[0.79764588],17,,,,,,,,,,
1072,990828,[17.4578888],[14.23420396],[-0.33694127],[-1.53377308],4,,,,,,,,,,
1072,998464,[28.42716413],[25.44182307],[0.26081557],[-1.03891539],12,,,,,,,,,,
1072,1007903,[27.1894785],[16.68926028],[-0.49880096],[-0.33365313],4,,,,,,,,,,
1072,1005250,[15.05558023],[11.9522947],[0.36669651],[-1.31894602],7,,,,,,,,,,
1073,999337,[19.18234169],[15.90674837],[-0.32341911],[1.35798591],5,,,,,,,,,,
1074,993521,[23.39656472],[17.24925378],[-0.40574803],[0.84243497],7,,,,,,,,,,
1074,995147,[24.59357013],[21.38995687],[0.29055599],[0.23208333],6,,,,,,,,,,
1074,1009657,[22.1978953],[17.8097414],[-0.34919655],[-1.6795348],6,,,,,,,,,,
1074,1009656,[9.66315328],[8.94298132],[0.21995283],[-1.23207432],6,,,,,,,,,,
1074,1001967,[19.79889354],[11.62042945],[0.52716191],[-1.41219232],6,,,,,,,,,,
1075,906892,[17.69614593],[17.00561489],[-0.15028523],[-0.60727193],4,,,,,,,,,,
1075,1011768,[3.61255877],[3.16556624],[0.28330841],[0.28043426],9,,,,,,,,,,
1075,995118,[17.35554193],[17.19965355],[0.07911238],[0.52301662],6,,,,,,,,,,
1075,989189,[16.71328537],[15.27009724],[-0.22686751],[1.7283111],4,,,,,,,,,,
1076,988263,[22.41036921],[20.79681433],[-0.2064706],[0.08667451],9,,,,,,,,,,
1076,1006950,[15.50238234],[10.75960539],[0.44975603],[-0.21215777],6,,,,,,,,,,
1077,1002619,[24.08520129],[14.31570908],[-0.5123082],[1.5437689],5,,,,,,,,,,
1078,988320,[26.14926461],[25.13436708],[-0.14985783],[-1.62278596],6,,,,,,,,,,
1078,1012924,[20.65640815],[17.51053618],[0.31437909],[-1.01206101],6,,,,,,,,,,
1078,932490,[18.61360679],[18.59514402],[-0.01979324],[1.47586258],4,,,,,,,,,,
1080,940540,[23.90892197],[21.72076156],[-0.23380077],[0.2120333],10,,,,,,,,,,
1080,1011110,[21.53520931],[19.93841661],[0.21936718],[-1.12152976],5,,,,,,,,,,
1080,998374,[27.15808792],[22.93000739],[-0.30816095],[-0.5554125],6,,,,,,,,,,
1080,1003480,[28.54712644],[27.62687398],[-0.13606424],[-0.32967247],10,,,,,,,,,,
1080,1015336,[7.57577144],[3.87759985],[0.57706619],[0.13281663],16,,,,,,,,,,
1081,1000935,[20.62512945],[17.19744399],[0.32858836],[-0.02885651],8,,,,,,,,,,
1081,987440,[28.42190113],[26.67706612],[-0.19009806],[0.6063082],4,,,,,,,,,,
1081,1006111,[14.58229716],[14.38709851],[0.09554088],[0.86766686],4,,,,,,,,,,
1082,1003543,[14.23682521],[14.2335665],[0.01670815],[0.38557253],4,,,,,,,,,,
1083,1000120,[28.62636752],[28.59643303],[-0.02045206],[1.20773168],26,,,,,,,,,,
1083,1011154,[12.23332684],[12.13769477],[-0.06440118],[1.72864921],24,,,,,,,,,,
1083,1014751,[11.13169114],[8.74758882],[0.3739853],[1.73783786],6,,,,,,,,,,
1084,990919,[15.45307408],[12.54030358],[0.35032631],[-0.20800965],12,,,,,,,,,,
1084,1017450,[7.81288112],[5.96626266],[0.3934514],[-0.03783259],4,,,,,,,,,,
1084,1001906,[27.05709431],[26.97108912],[-0.03928212],[-1.55355035],13,,,,,,,,,,
1085,1018890,[24.19205491],[23.18040216],[-0.15577955],[-0.33974332],4,,,,,,,,,,
1085,1012077,[14.91661352],[13.48640853],[0.24925339],[1.41691091],4,,,,,,,,,,
1086,1019702,[5.76553966],[4.86693267],[-0.30844789],[-1.38548822],5,,,,,,,,,,
1086,991647,[15.12511382],[14.58451324],[0.1533121],[1.56533975],4,,,,,,,,,,
1087,1020898,[12.65288638],[12.62856551],[-0.02946532],[0.45139845],4,,,,,,,,,,
1087,952202,[18.98950495],[18.60596153],[-0.10657959],[-0.78410976],4,,,,,,,,,,
1088,1009905,[18.563956],[15.34902351],[-0.32581034],[-0.14120541],6,,,,,,,,,,
1088,1021433,[11.77758043],[11.77705114],[0.01011211],[0.97943222],41,,,,,,,,,,
1088,1000083,[22.37272985],[20.96009582],[0.20261955],[0.80544332],6,,,,,,,,,,
1088,1018368,[26.35586205],[23.64769812],[-0.24826686],[1.07366644],6,,,,,,,,,,
1088,1011089,[28.42513643],[23.70823493],[-0.31860078],[-0.55640085],6,,,,,,,,,,
1089,1007175,[27.34603395],[21.22959322],[0.38235368],[1.22868072],4,,,,,,,,,,
1089,1019729,[22.86259782],[21.26240706],[0.21319296],[-0.81322878],7,,,,,,,,,,
1089,888774,[28.63577918],[19.06341579],[0.47111997],[-1.22431154],10,,,,,,,,,,
1090,981373,[21.56096782],[13.17627903],[-0.50070148],[-0.59911305],8,,,,,,,,,,
1090,1023357,[26.09598417],[24.00837285],[-0.21804739],[-1.34713907],6,,,,,,,,,,
1091,1024422,[28.14132392],[21.89783983],[0.38076345],[-1.34294497],4,,,,,,,,,,
1091,1019836,[24.92435712],[12.49698617],[0.5836322],[-0.637615],4,,,,,,,,,,
1092,1025427,[9.6780596],[7.26684948],[0.4042665],[-0.39558023],7,,,,,,,,,,
1093,965822,[21.74745419],[19.43384156],[0.26251501],[0.35093224],7,,,,,,,,,,
1093,953297,[27.37088005],[18.72556314],[0.45730133],[0.77093603],4,,,,,,,,,,
1094,1026637,[7.68456902],[7.60722908],[0.08347937],[-0.10692291],16,,,,,,,,,,
1094,1026636,[25.65325591],[20.17848537],[-0.36353118],[0.85348669],4,,,,,,,,,,
1094,955211,[14.91716208],[14.39820074],[0.15130955],[1.21978732],6,,,,,,,,,,
1094,1026054,[17.01321654],[14.44415905],[-0.30330918],[-0.57461283],7,,,,,,,,,,
1096,904415,[26.13217476],[25.88310842],[0.08134762],[1.62133555],63,,,,,,,,,,
1096,1011181,[16.60234382],[16.54228539],[-0.04223519],[-1.63422878],12,,,,,,,,,,
1096,1028789,[20.67696385],[20.39504071],[-0.08664909],[-1.46749386],28,,,,,,,,,,
1096,1024219,[23.57950224],[12.01019738],[0.57853416],[-0.83046253],7,,,,,,,,,,
1097,1029456,[22.50336936],[21.88454704],[-0.12524928],[-0.91359489],8,,,,,,,,,,
1097,998356,[19.17485663],[13.0161403],[0.46135032],[-1.45208853],11,,,,,,,,,,
1097,1029507,[7.01617554],[6.89809732],[-0.09685729],[-1.0272622],4,,,,,,,,,,
1097,1000087,[24.03709577],[21.99292465],[0.23479778],[-1.69754821],4,,,,,,,,,,
1098,1030496,[11.95832649],[11.51006249],[-0.14719129],[-0.84266125],6,,,,,,,,,,
1098,978627,[24.14268994],[22.54384947],[-0.19771529],[-0.75486535],6,,,,,,,,,,
1098,1021632,[25.71140712],[25.68866294],[0.02814784],[1.57826337],23,,,,,,,,,,
1098,1005164,[21.76692473],[18.39079853],[-0.30756787],[0.71698564],9,,,,,,,,,,
1099,1018345,[27.33119276],[16.33844299],[0.51967334],[0.94012926],4,,,,,,,,,,
1099,1008845,[26.0428443],[17.28170028],[-0.46297687],[-0.48866101],4,,,,,,,,,,
1099,1026986,[14.40867784],[13.14706572],[0.238242],[-0.10302905],6,,,,,,,,,,
1100,965583,[15.57998844],[15.57997865],[0.00548433],[-0.70217974],41,,,,,,,,,,
1101,964464,[25.96416575],[24.50090522],[-0.18185584],[0.10172138],6,,,,,,,,,,
1101,1032950,[19.24884912],[19.24259206],[0.01897818],[1.21924155],13,,,,,,,,,,
1101,1030646,[29.05128674],[28.20350057],[-0.12918816],[-1.27258231],8,,,,,,,,,,
1101,1032949,[22.00573785],[18.12031695],[0.33884515],[-0.17987707],8,,,,,,,,,,
1102,1033761,[18.14625473],[18.14624549],[0.00542226],[-1.31855499],58,,,,,,,,,,
1102,960665,[22.94257722],[22.79391175],[0.06791285],[-0.92153626],17,,,,,,,,,,
1102,1008921,[26.9014723],[26.57805599],[-0.08105392],[-0.01485422],6,,,,,,,,,,
1103,1034063,[22.97832124],[22.76664596],[0.08005547],[0.2683969],8,,,,,,,,,,
1103,1034796,[28.03798535],[27.91681368],[-0.0466159],[1.22209198],7,,,,,,,,,,
1103,1029819,[29.16142483],[15.02915702],[-0.56490811],[0.91984671],5,,,,,,,,,,
1103,1026100,[15.51505001],[15.43382252],[-0.05180543],[-0.18015535],48,,,,,,,,,,
1103,1008926,[28.7395443],[27.33457021],[0.17865612],[-0.0550336],6,,,,,,,,,,
1104,1020686,[23.32498948],[10.50196178],[-0.60611054],[-1.61531384],5,,,,,,,,,,
1105,982324,[12.92303018],[12.49393412],[0.1479179],[-1.70293124],8,,,,,,,,,,
1106,1037110,[19.11153994],[18.44944679],[-0.14126756],[-0.71962916],6,,,,,,,,,,
1107,1037784,[22.58609459],[21.86580262],[0.14503399],[0.62779116],7,,,,,,,,,,
1108,1030769,[12.2431422],[12.19456026],[0.05419648],[-1.07409813],20,,,,,,,,,,
1108,1021668,[15.55575061],[11.16196311],[-0.42167333],[1.56008297],4,,,,,,,,,,
1109,918421,[27.51878051],[27.51876646],[0.00542296],[0.05603245],60,,,,,,,,,,
1109,1039538,[25.73202114],[20.56244765],[-0.35216367],[-0.81997387],8,,,,,,,,,,
1109,1028986,[18.53239171],[13.46952699],[0.42397534],[0.10654209],6,,,,,,,,,,
1111,1006977,[17.24717113],[16.87881163],[0.11947535],[0.89534092],6,,,,,,,,,,
1111,1021662,[20.25267638],[18.92515685],[-0.19666983],[0.01312816],6,,,,,,,,,,
1112,1043137,[13.06319859],[12.83747729],[0.1079223],[-1.53680905],4,,,,,,,,,,
1113,1033211,[23.85869195],[23.85794441],[0.00048191],[0.15229386],35,,,,,,,,,,
1113,1024452,[21.13125502],[16.06425238],[0.39630471],[1.63657669],7,,,,,,,,,,
1114,966904,[20.37396697],[13.81208832],[-0.45228573],[0.35351641],7,,,,,,,,,,
1115,1043411,[26.80755236],[25.50631358],[-0.16830772],[0.91025552],6,,,,,,,,,,
1115,1005216,[22.4141544],[22.07251069],[0.1016336],[-0.57588629],18,,,,,,,,,,
1115,1044732,[24.86449303],[22.52906457],[0.24669374],[0.03234644],5,,,,,,,,,,
1115,1014649,[18.33973685],[16.16333072],[-0.26755552],[1.69422572],4,,,,,,,,,,
1116,1037349,[16.98082792],[16.7277609],[0.10055134],[-0.20992791],17,,,,,,,,,,
1116,1038050,[20.2151915],[20.05176894],[0.0752968],[-1.62180816],6,,,,,,,,,,
1116,1038196,[22.60123151],[21.58811219],[-0.16150099],[-1.38872517],5,,,,,,,,,,
1117,1014134,[20.28392771],[20.13619265],[0.07171291],[-0.93068021],30,,,,,,,,,,
1117,1019721,[17.24865163],[16.93242449],[-0.10129684],[-0.37876801],5,,,,,,,,,,
1118,1047739,[27.40873015],[25.65355178],[0.20402944],[-0.68821703],6,,,,,,,,,,
1118,1041705,[25.68123062],[13.76685028],[-0.55145184],[0.92048196],4,,,,,,,,,,
1119,1046857,[27.2868421],[27.28535134],[0.0106498],[0.19989974],33,,,,,,,,,,
1119,1019050,[9.81485781],[9.79659239],[0.03864392],[-0.48062215],14,,,,,,,,,,
1119,899103,[17.29503497],[13.25626966],[0.39094602],[1.56167577],6,,,,,,,,,,
1120,982370,[18.48314391],[18.46953789],[-0.01637729],[0.33730117],85,,,,,,,,,,
1120,1033923,[14.50751031],[14.46113607],[-0.03940984],[0.7544071],27,,,,,,,,,,
1120,1039714,[21.25129153],[18.0047517],[0.31487216],[-1.32368904],6,,,,,,,,,,
1121,1045854,[21.20313184],[21.19338034],[-0.01192493],[-1.14923884],12,,,,,,,,,,
1122,1011170,[28.46800174],[28.34597314],[0.05613321],[0.71660515],18,,,,,,,,,,
1122,1043468,[23.37422685],[22.10679388],[0.18798376],[1.52462788],5,,,,,,,,,,
1123,1024196,[18.31444102],[18.0916383],[0.09129614],[-0.67350745],9,,,,,,,,,,
1124,1029642,[28.42273783],[24.15197234],[-0.30250985],[-1.53181258],6,,,,,,,,,,
1124,1046837,[25.30107809],[22.4007409],[-0.26277574],[-0.39130345],7,,,,,,,,,,
1124,1051361,[25.32401293],[17.92331354],[-0.42936837],[-0.53173118],4,,,,,,,,,,
1124,1025473,[28.7986768],[28.70307195],[0.04997913],[-0.91952253],57,,,,,,,,,,
1125,1042512,[17.93827019],[17.90026566],[0.04090311],[1.58923785],41,,,,,,,,,,
1125,1047998,[21.11787396],[19.58582141],[0.21701114],[-1.34223245],6,,,,,,,,,,
1125,1034787,[17.17409009],[16.90001609],[0.1038904],[-1.04710614],6,,,,,,,,,,
1125,1025501,[28.51022882],[12.49916068],[-0.61341062],[-1.68429057],4,,,,,,,,,,
1125,1054673,[4.11970519],[4.11170117],[-0.02966352],[1.27975917],21,,,,,,,,,,
1126,1051416,[18.34033108],[16.92106083],[0.22406483],[0.02992335],5,,,,,,,,,,
1126,1055123,[13.48499467],[12.55702062],[-0.20170207],[-0.84602679],7,,,,,,,,,,
1126,1008862,[14.41863885],[13.43171727],[0.21086806],[-0.63016619],6,,,,,,,,,,
1127,1032681,[22.80750397],[21.50084751],[-0.18341369],[1.43318311],6,,,,,,,,,,
1129,1057754,[24.9426043],[13.83340095],[-0.53920763],[0.91901873],4,,,,,,,,,,
1129,963490,[27.64918462],[22.92117604],[-0.32364266],[-1.54824098],6,,,,,,,,,,
1129,1031510,[10.24384122],[8.78823101],[0.30360352],[-0.47252777],8,,,,,,,,,,
1129,1044973,[23.24897393],[16.95383666],[-0.41228254],[-0.47251364],7,,,,,,,,,,
1130,1058498,[15.57404536],[12.31008739],[-0.36010059],[0.00145151],5,,,,,,,,,,
1130,1011190,[25.85913362],[15.39196651],[-0.51172193],[-0.05668451],4,,,,,,,,,,
1131,1006144,[20.28969598],[12.65350922],[-0.49189157],[1.5794057],6,,,,,,,,,,
1131,1055991,[27.30120227],[25.5357033],[0.20501795],[-1.40388553],6,,,,,,,,,,
1132,1060311,[26.10008995],[15.41927746],[0.52450723],[0.20393431],4,,,,,,,,,,
1132,1060310,[21.83371798],[13.18490912],[-0.50574547],[1.56091461],6,,,,,,,,,,
1132,1043567,[22.53595946],[19.52771798],[-0.28442678],[-0.51022554],7,,,,,,,,,,
1132,1023542,[13.14360238],[12.549113],[-0.16226865],[-0.87275759],7,,,,,,,,,,
1132,1025484,[10.19593881],[7.66497325],[-0.39377097],[-0.86546665],8,,,,,,,,,,
1134,1045930,[20.80207166],[20.70402354],[0.05862903],[1.2021868],13,,,,,,,,,,
1134,1061971,[20.61027337],[19.70522117],[-0.1597867],[1.49730541],6,,,,,,,,,,
1135,975551,[27.41118073],[22.78561651],[-0.32140668],[0.49639452],8,,,,,,,,,,
1135,1044981,[10.99351896],[10.57848428],[-0.14773836],[0.337636],11,,,,,,,,,,
1135,1062909,[20.69754301],[20.68178228],[0.02646712],[1.33123947],43,,,,,,,,,,
1135,1019075,[29.19618217],[18.29885137],[-0.48966437],[1.48564047],4,,,,,,,,,,
1135,1062911,[11.66706817],[10.66411463],[0.23608456],[-1.41693341],5,,,,,,,,,,
1136,1063770,[8.55328964],[7.96173825],[0.21197519],[-0.94292672],21,,,,,,,,,,
1136,1028914,[16.86595932],[8.56187193],[0.57965746],[1.23343103],6,,,,,,,,,,
1136,1008895,[21.45217636],[20.46941355],[0.17306317],[-0.09241365],4,,,,,,,,,,
1138,1061185,[18.09023642],[12.18382484],[-0.45561633],[0.11948026],6,,,,,,,,,,
1138,1065465,[14.87544478],[13.9681382],[-0.18947548],[-1.43285368],6,,,,,,,,,,
1138,1051438,[7.75364331],[6.10821824],[-0.36253663],[-0.93682938],4,,,,,,,,,,
1139,1048909,[22.09388254],[22.07526372],[-0.01786275],[0.95989083],54,,,,,,,,,,
1139,1057943,[5.90770369],[5.35254587],[0.24683059],[-1.43330625],23,,,,,,,,,,
1139,1039771,[24.92274221],[17.67478745],[-0.42825258],[-1.33187227],6,,,,,,,,,,
1139,1039703,[23.6533494],[17.70639408],[0.40611112],[1.47239049],13,,,,,,,,,,
