tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
1823454.0,[10.12702555],[6.85494479],[-0.45312112],[-0.11987568],4,"[241579, 67243380, 183071519]",3
1824582.0,[27.74157317],[16.96679561],[-0.50034887],[1.54505951],5,"[6617605, 147700200, 8711666, 75714835, 216822454]",5
1825553.0,[24.68392163],[24.37523346],[-0.08276842],[0.10236932],14,"[95584, 4281662, 73485666, 139181188, 250428903, 67491825, 139366771, 206261596, 67206238]",9
1825725.0,[21.65738638],[21.54453381],[-0.05166957],[0.20125958],15,"[147791296, 252804068, 67452773, 180838, 177111944, 145461257, 177343127, 216968940, 77761200, 342165, 147558645, 214637879, 67291961, 8556476, 252572894]",15
1826430.0,[6.09021898],[6.01746218],[0.09053627],[0.70573045],35,"[75932162, 73705993, 4492426, 4482317, 8682130, 141682323, 6736535, 77890202, 73686555, 8770716, 8796067, 4509991, 73852462, 141678767, 6730038, 145741114, 73775422, 141522372, 77861828, 77910471, 77791817, 77900234, 8703694, 77954000, 6600161, 8699106, 73716071, 73691879, 8712819, 78030069]",30
1833710.0,[16.39557319],[13.31444257],[-0.34005829],[-0.7603247],7,"[83983233, 525576578, 164398340, 450081294]",4
1835257.0,[16.33421853],[12.57814715],[0.3878616],[-0.57276063],6,"[240281434, 84094669, 166871678]",3
1836526.0,[20.56945406],[16.35829434],[0.36541013],[1.60020801],6,"[148144996, 6747235, 75936340, 219455195]",4
1837061.0,[13.74447284],[13.72673126],[0.03299375],[1.32823032],25,"[212766978, 84003172, 143482693, 214749672, 160152073, 75630795, 6424235, 4322574, 143591727, 12700944, 73529903, 162249204, 214864372, 162392764, 143614238]",15
1839155.0,[21.10179474],[20.95385893],[0.07044734],[-1.72432098],7,"[148034817, 219312001, 6620197, 75954956, 150131952]",5
1839249.0,[12.07059356],[8.59293297],[-0.4261705],[1.25211657],6,"[425119041, 496455655, 6454319, 75680081, 216737239, 145525338]",6
1840244.0,[11.6598068],[11.46393376],[0.10647843],[1.28283651],35,"[4462336, 212927616, 154684544, 73735181, 4476430, 156550930, 73842456, 227813286, 144052136, 143811754, 12859307, 82065964, 143850668, 212916142, 229681839, 143752113, 73667891, 158508472, 158413115, 73679428, 6626247, 223844429, 227682639, 6734800, 229756629, 143741402, 158487136, 13033196, 82124399, 6559728, 12917999, 82239090, 213238137, 213030780, 212985982]",35
1840408.0,[21.5179833],[16.82271169],[0.37753689],[-0.1975011],14,"[169128161, 240426497, 254718305, 248995206, 86396714, 437735277, 242523123, 181396948, 175657113]",9
1841180.0,[28.12747295],[27.92266088],[-0.06197496],[-0.23017718],27,"[69359872, 67185921, 244017417, 183690633, 69358607, 139191576, 257045016, 179027872, 208369318, 170985130, 244348331, 14955574, 67354560, 71696588, 86260814, 183395790, 2235606, 173047001, 69278174, 175262819, 178994788, 256746087, 246429546, 71459576, 181448825, 170632830]",26
1846235.0,[20.19343768],[16.91143552],[-0.31517156],[-0.49835695],6,"[84008065, 166472786, 12691539, 239809103]",4
1847252.0,[17.45579758],[17.42397607],[0.03829334],[-0.66225409],23,"[84328852, 231895940, 139782919, 160622151]",4
1847253.0,[14.81670433],[14.78740616],[-0.02995407],[0.02662569],15,"[210327006, 180961486, 75583447, 67232888, 6381243, 141145150]",6
1847940.0,[28.06339676],[27.82376737],[0.07725086],[-0.15562698],35,"[14861952, 170818311, 86166664, 246278024, 170977164, 73565198, 139589012, 244337953, 139405733, 244736037, 84089639, 137022502, 12789804, 171205808, 6459320, 244337597, 75881154, 139253701, 144115271, 244566095, 172773076, 206333141, 246139991, 206891362, 170963686, 86261999, 172915958, 171372927]",28
1848957.0,[24.14272404],[24.14209878],[0.00884754],[0.47190769],58,"[221015425, 135204488, 152841, 69273234, 79841427, 151797398, 69530775, 79884959, 202299170, 151841443, 181296308, 181516490, 181197647, 213381072, 10678993, 146329170, 256980438, 181526238, 2163683, 71388025, 209161598]",21
1850036.0,[25.9271824],[25.66846673],[-0.07339816],[1.51133054],9,"[6574599, 201837454, 75783216, 136875476, 168461147]",5
1850212.0,[18.67630502],[16.26911617],[-0.27929469],[-0.11451824],6,"[173058661, 477545287, 248496362, 86354451, 15040024]",5
1851154.0,[14.44868539],[14.35249985],[0.06877381],[-0.45127049],33,"[135549443, 71502598, 244638608, 179258007, 242335255, 86210715, 86084251, 171249567, 202620705, 13008674, 86347429, 84321843, 177041588, 168962100, 183885108, 246708160, 181465409, 259346881, 183796948, 173116762, 257168090, 73469408, 4267875, 171267562, 137647086, 73600500, 177180409, 15046267, 4398462, 179127679]",30
1856629.0,[27.26690372],[27.17041304],[0.05144442],[-0.18431324],19,"[143201954, 75635851, 143642520, 6433913, 175010490, 210726942]",6
1862028.0,[12.22462543],[12.12070061],[0.07709924],[-1.56467339],19,"[67496641, 171001956, 244364517, 154498374, 227893189, 385224, 156401382, 227677127, 154120269, 8526637, 79827420]",11
1862131.0,[23.28406381],[16.42447916],[-0.43122136],[-1.37648632],7,"[154059376, 79995893, 514586707, 441173285]",4
1862868.0,[16.17942797],[16.17597543],[-0.00657228],[-0.95918802],26,"[84039040, 82137228, 252407184, 252837653, 235804440, 10833689, 82124955, 236098206, 12731935, 69533984, 179541406, 256032, 10821164, 252693422, 69457587, 164543671, 162737219, 160584531, 179030484, 179317465, 233954522, 179470683, 252906077, 160574303, 233940967, 2425710]",26
1862962.0,[23.21107562],[22.58688332],[-0.12379802],[1.66566187],15,"[168420410, 147902069, 241796773, 75773742]",4
1863319.0,[26.64990865],[11.14583357],[-0.62577595],[-1.11673716],15,"[209236451, 223092164, 78006535, 4649737, 73730158, 151804689, 6746097, 680329492, 139573429, 688462488, 206633244]",11
1864445.0,[19.58626377],[15.16450396],[-0.37447168],[0.82357396],6,"[71494242, 204178290, 137141742, 4369375]",4
1865262.0,[19.295781],[19.29351554],[0.01334617],[0.56625883],91,"[150048256, 135404038, 183508491, 219142156, 146203155, 217242138, 213253149, 217096223, 147789348, 71570983, 135256620, 71599151, 139817022, 258879553, 135169094, 204585051, 77870191, 219017336, 77986425, 4457092, 149843079, 149865099, 77808272, 219065489, 8779409, 221318319, 77759163, 77665467, 202434751, 152105155, 8602834, 152120535, 202351324, 135344358, 73468648, 8554738, 6361351, 2280212, 71560999, 183545653, 71566137, 149966141, 4262722, 216959811, 258886475, 71521613, 71677777, 71584089, 77892958, 71614817, 183423333, 183415656, 71476078, 4462961, 77775735, 149996923, 219038078, 4490622, 221278079, 221293461, 77903771, 202439584, 211119520, 71486371, 4505513, 149888428, 8569772, 8686511, 77738422, 135332282, 4572094, 150173631, 135361984, 202420684, 204342229, 150026198, 8697816, 135359965, 8530412, 152145901, 137501173]",81
1867540.0,[13.76480536],[13.47188968],[0.11927021],[0.20047436],6,"[69544929, 179492002, 213262093, 146197645]",4
1869385.0,[22.9760371],[17.14780471],[-0.39825509],[-1.15513038],5,"[519012323, 445598669, 80109298, 227534776, 156308184]",5
1872756.0,[26.85969289],[17.2488486],[-0.47861875],[0.75169342],4,"[183254394, 258658075, 2353908, 69354631]",4
1873534.0,[29.02385866],[28.95120485],[0.04403728],[0.91842421],37,"[206837505, 4475908, 227235973, 156436746, 156339214, 206597393, 156096537, 79960091, 80123170, 158676137, 139633579, 208453300, 206707255, 137701947, 79815230, 227709248, 155963970, 139281481, 206875594, 158642644, 229946837, 73683545, 73843039, 139706083, 6573038, 208934897, 6733299, 158534135]",28
1873690.0,[28.3393016],[19.09374417],[-0.45540371],[-0.84229935],4,"[160292481, 231511819, 82008804, 10809221]",4
1874467.0,[26.55164191],[20.34049593],[0.39127549],[-0.57833128],36,"[4498059, 71609360, 181852433, 84179090, 240473620, 4608149, 86429204, 71718686, 12777887, 258998944, 183539750, 166962472, 86126634, 73491627, 183850679, 166393784, 257311929, 4282172, 86315326, 67338690, 12982851, 183693893, 167101768, 259153352, 84077515, 240179019, 12877661, 135115745, 240025443, 166803820, 242433005, 257211756, 258805361, 84284278, 166651775]",35
1875273.0,[23.28128469],[21.19990095],[0.2407066],[0.75259613],6,"[135486540, 4533972, 204678380, 71634268]",4
1876505.0,[27.49671234],[27.25487795],[0.07833036],[0.80614126],31,"[202525313, 135671620, 225724804, 79780262, 202746632, 71633294, 71608889, 225805904, 71400463, 154027376, 135557426, 79983509, 204844024, 156635609, 135312475, 4289917, 135126814]",17
1876528.0,[28.38587992],[28.10725965],[0.08248174],[-1.43489018],31,"[227973760, 173380102, 242227084, 225579148, 225313566, 8533156, 173270821, 77977130, 156707244, 78001332, 170947514, 170676681, 154319563, 8773981, 77744481, 154055782, 152170088, 8791534, 238193, 248926193, 67342200]",21
1877392.0,[21.01118357],[20.75082934],[0.09209478],[0.65904586],31,"[141295118, 71632018, 181427225, 139541405, 73752996, 181073958, 69434926, 69338167, 183724985, 139392833, 258807491, 73541702, 139810502, 4333128, 206524359, 202609739, 210463436, 181224015, 258641875, 73636700, 258947047, 204492648, 4430955, 139450738, 202604666, 181378684, 206451839]",27
1880076.0,[17.73192309],[17.72040866],[-0.01508615],[-1.58267573],52,"[78021217, 8772482, 77827363, 244370149, 216551, 67325671, 152099884, 701045102, 77977424, 170911891, 242780307, 152162102, 77896983, 244278520, 8721242, 171005309]",16
1881909.0,[11.13417365],[10.87746408],[-0.11424383],[-1.17169834],14,"[67272739, 174726250, 81879501, 248460750, 171087, 248112336, 82133200, 175082387]",8
1883447.0,[13.69796165],[13.68822143],[0.025741],[-0.06661649],68,"[248307712, 86173699, 86233092, 172886535, 137437709, 139319821, 75630479, 14932749, 86073617, 206470417, 75581075, 175133075, 86080533, 67308949, 198802, 248437013, 4480794, 14870810, 139396896, 73727905, 6397345, 73474723, 14769698, 14778400, 248531235, 204371623, 202073905, 175071922, 6432436, 172891917, 248394558, 174948799, 99008, 208597056, 204508224, 67211461, 248482629, 208524360, 175024842, 175167183, 75604434, 137395282, 250592725, 137085654, 67241687, 73686870, 67405528, 294618, 208494048, 75641573, 132582, 4272743, 248360811, 4521580, 6376044, 175108334, 6424172, 141521520, 248350322, 141444979, 250405363, 67359221, 67299574, 139535097, 174983925, 141417209, 204471674, 137286783]",68
1886593.0,[14.45910763],[14.38391173],[0.06134469],[-1.60246406],22,"[162639464, 242430151, 79938759, 169067847]",4
1887652.0,[26.96293198],[26.90378192],[0.04153508],[-0.88911629],32,"[82163969, 179768707, 82192390, 234086540, 160906893, 246875278, 181615759, 175611790, 255088653, 181684627, 165109019, 234023838, 233922463, 181722530, 2504620, 160762670, 253137457, 255233079, 240575801, 232177215, 181867969, 69613891, 162815444, 234133466, 162650594, 162752226, 257079010, 257149159, 84261360, 84289781, 12959099, 12987007]",32
1895520.0,[25.7782791],[19.02042721],[-0.40525927],[0.77514101],6,"[137246692, 73626085, 4396646, 491282244, 422070190, 204285854]",6
1896397.0,[18.07913513],[18.05923688],[0.03083727],[0.98244762],20,"[206842370, 227678863, 156504864, 73837993, 139761579, 73761198, 137930799, 156409396, 206733887, 206675009, 139597259, 139656140, 4633167, 4555607, 156681048, 82234858, 10930544, 208939763, 227773822]",19
1897800.0,[21.89191692],[21.14080112],[-0.14055615],[1.42970342],6,"[75680866, 145630892, 214791839]",3
1897909.0,[21.84418562],[21.62170435],[-0.07420606],[0.0223799],10,"[67297727, 175001058, 248362626]",3
1900050.0,[25.66150061],[25.52693767],[-0.05184722],[-1.31746452],14,"[177027024, 243853602, 79964068, 172586928]",4
1901099.0,[27.65244364],[27.11568874],[-0.10437551],[0.53750619],8,"[220704017, 69574270, 181497015]",3
1903876.0,[19.56813626],[14.63010308],[0.40689547],[-0.66043657],7,"[240466776, 167051353, 84305759, 13017639]",4
1904043.0,[28.90721018],[26.97784503],[-0.19851279],[1.39897709],6,"[212651660, 6361232, 433098356, 75575733, 143493495]",5
1908604.0,[11.71404023],[11.48389711],[0.11478049],[0.07173495],25,"[139511558, 6701190, 183374989, 75903889, 141799314, 139237139, 206607765, 6535576, 2254238, 75734181, 143977772, 2521013, 206793525, 181702714, 259093827, 67459913, 259254859, 69371738, 254944229, 179471594, 141608431, 69633144, 354939]",23
1912798.0,[25.90581349],[20.17737075],[-0.37038977],[1.01994856],6,"[73565969, 426321305, 141381852, 497624778]",4
1913374.0,[9.61773456],[8.82627933],[-0.22130183],[1.2990762],7,"[229449376, 6643394, 217051682, 160247778, 145808647, 75859922, 147906551]",7
1913935.0,[15.76750106],[15.70617048],[0.05370413],[0.86236331],45,"[225591938, 10761859, 71596548, 225509773, 225106578, 4484755, 71673623, 137417240, 80071191, 71749659, 71516443, 80128796, 79965730, 4566178, 79885605, 4639398, 156232613, 4409768, 206665647, 71472949, 206398519, 206702781, 206564543, 225402176, 4366017, 73483209, 206478030, 137490513, 156160731, 137387868, 156344029, 137533278, 10710880, 156420576, 206587492, 155926503, 156334056, 82015722, 4275307, 137302380, 73693684, 10863993, 10923900, 225514877, 225339007]",45
1916341.0,[18.35709168],[13.17723257],[-0.42143835],[-0.91787219],6,"[164409274, 235636260, 84068998]",3
1917611.0,[16.64761965],[16.55660723],[-0.05304577],[-1.16489539],11,"[8568066, 135083748, 134869294, 79872177, 220975257]",5
1917881.0,[28.36894109],[28.34282589],[-0.01888878],[0.23811186],27,"[217149251, 77964164, 67453027, 148080648, 177335945, 175362090, 252839659, 177376137, 147990285, 77942861, 250829711, 177359022, 67475760, 217253138, 150178036, 250727447, 8758168, 450138]",18
1919286.0,[27.44510708],[27.42959038],[-0.01375028],[0.43652398],48,"[69654561, 181431430, 77819274, 148295787, 150221260, 259235661, 78049422, 219107951, 257046703, 77992817, 181580946, 149939089, 2310738, 257102517, 69417745, 181637015, 181684304, 183763314]",18
1922032.0,[22.77951772],[9.02165456],[-0.63923559],[-0.42668162],6,"[243762577, 168416831, 84039799]",3
1922042.0,[24.81468862],[24.01519529],[0.14575463],[-1.19340117],8,"[249083076, 82066277, 169333636, 229733841, 158453687, 12867992]",6
1922916.0,[25.4360908],[25.43525399],[0.00935372],[-0.01279614],47,"[75688961, 248378242, 173016580, 212733957, 86341126, 14945929, 86147594, 174876299, 86207244, 172949002, 248480908, 248413077, 77810838, 215063453, 173111968, 145659042, 212639523, 15036964, 14844199, 8743336, 145772586, 14903085, 8551088, 77949362, 214866098, 481630135, 77756603, 145561277, 412448329, 175046392, 145889106, 67304410, 175242720, 8580579, 145691749, 175012582, 212277100, 195053, 214948716, 77786352, 175113970, 248608370, 214831348, 86248821, 67466744]",45
1926378.0,[21.20234844],[20.8929596],[0.0995428],[-0.29163963],9,"[170918024, 742909401, 139821733, 86235446]",4
1930421.0,[28.64711044],[28.40627617],[0.07668856],[1.26949124],14,"[73591347, 211072660, 141892954, 210659515, 141481598, 162805599]",6
1930643.0,[22.62925436],[20.5444485],[-0.23460634],[-1.59130946],7,"[221119362, 149867528, 437547790, 8624463, 77840695]",5
1930683.0,[24.13378997],[21.05437107],[-0.27782622],[0.09801322],8,"[250521456, 67416946, 177180660, 175082502]",4
1934771.0,[16.54009114],[16.35268596],[-0.07854486],[-0.21078222],68,"[71386881, 71378690, 250553474, 4291461, 246475269, 173221385, 86383246, 175100309, 73488661, 175319032, 141802905, 6605594, 86182556, 71411489, 75925025, 248678945, 173231522, 208877732, 15078307, 75792936, 248572663, 4306477, 173103791, 206625078, 206394684, 75574464, 86398916, 6366921, 73506506, 75808074, 75611599, 4276305, 8814289, 15097299, 86267605, 8682197, 141405144, 75659100, 246345824, 4268128, 14966497, 141636835, 75578084, 172858597, 6381799, 172973544, 248699368, 6373615, 246228592, 143486449, 73475825, 141615218, 208687217, 73484529, 141735794, 86199409, 208806264]",57
1943738.0,[24.57259324],[24.41383315],[0.06781964],[-0.97143769],19,"[231941536, 252912960, 171156227, 71703587, 181659461, 246618118, 160671209, 179548425, 79986731, 257082124, 183716238, 173253876, 181645812, 10783671, 248715513, 257123517, 160510687]",17
1945088.0,[15.22199875],[14.81591449],[0.13301601],[0.13491157],6,"[67375524, 177338183, 252813903, 148267992, 271322, 215332952]",6
1946082.0,[19.23556754],[15.90766044],[-0.32563806],[0.68850643],6,"[177182977, 69505203, 179281389, 252621990]",4
1946226.0,[16.63859557],[16.31486216],[-0.10451173],[0.17460011],7,"[250476578, 67274664, 162256, 177116629, 145400188]",5
1947155.0,[26.11903596],[24.66686315],[-0.1805827],[1.20595347],8,"[208461161, 73471675, 4389252, 139304236]",4
1947855.0,[10.40161522],[10.34717063],[0.06153102],[-0.1746656],27,"[86346625, 86312582, 177404040, 204580490, 252557195, 183315101, 175022367, 71625263, 248616635, 137504828, 137622347, 173191759, 183597140, 257004770, 204692451, 248664676, 256717541, 75837172, 173150076]",19
1947859.0,[27.18896786],[27.1889597],[0.00529257],[-0.69423778],42,"[250757826, 170995588, 174921479, 248325547, 86402829, 177436029, 177188254]",7
1952673.0,[21.92223078],[18.38990039],[0.32347697],[-0.71999452],6,"[82180825, 236137875, 10767276, 162735721]",4
1952900.0,[12.41734149],[12.37400767],[0.05112578],[0.32834364],58,"[208803717, 202546824, 179657866, 71711371, 255156236, 206680588, 206773518, 141720203, 144052490, 71715607, 135472155, 210995996, 139704863, 179694112, 183707425, 206860065, 208814242, 204729253, 141727398, 183655976, 135545900, 141738414, 144023855, 202549936, 139799092, 208799415, 213198776, 141721274, 139981885, 135419967, 204867649, 73811912, 204657483, 210952910, 137758421, 75901657, 135438041, 183708250, 135426521, 141767265, 143872739, 181737957, 4599910, 183722598, 208839526, 141703911, 146149878, 208777976, 213224825, 208800635, 204593789, 143915390]",52
1957110.0,[16.98863137],[16.90455902],[0.05995758],[-0.3031594],47,"[206315904, 206679810, 244145928, 75820040, 8714890, 170784394, 206740492, 139600653, 170917008, 6690454, 141607063, 12787606, 139374877, 6359837, 75788196, 139668519, 208685226, 83971629, 12666414, 14956973, 171157044, 86258358, 206455356, 244287292, 170924990, 6653759, 244288833, 14927043, 86227917, 141618895, 75898577, 139235156, 75564119, 246484700, 171012204, 15054317, 171022446, 208776943, 6580335, 86359537, 77917682, 141698041, 75858554, 84094590]",44
1961972.0,[15.81654077],[15.03587156],[0.17951107],[0.24975007],9,"[67382406, 254934952, 678224041, 217618794, 282061, 179451579]",6
1964443.0,[28.67593481],[28.53294763],[0.06016326],[-1.02104663],46,"[248248100, 181560808, 175137193, 174881577, 254934891, 173601293, 255175312, 175576531, 175342265, 69559647]",10
1967089.0,[20.12899283],[20.07781948],[-0.03461557],[1.55464493],23,"[237916421, 166789931, 86279056, 240013811, 147736532, 166643288, 75862397]",7
1970744.0,[19.70967053],[19.33902065],[0.11238469],[0.94416408],11,"[71445616, 137348035, 204982798, 158688215]",4
1970916.0,[20.33748692],[20.27755538],[-0.03764241],[-0.33211109],16,"[73583074, 86374499, 168910853, 204181287, 242275336, 204370475, 168707342, 242071566, 137291345, 172961905, 171008499, 244372728, 86050396, 181583582]",14
1971702.0,[22.30492852],[22.23197786],[0.04964478],[-0.91459618],17,"[160617792, 255341923, 177711479, 251090791, 181982935, 254887512, 12913869, 2449295, 12756176, 69561137, 160369234, 181524435, 82116692, 81960535, 233740792, 233992927]",16
1971889.0,[9.00152209],[8.68597404],[-0.14215878],[0.11956334],10,"[202073984, 211328, 206385059, 67326052, 254535185, 177177169, 139295572, 137076857]",8
1971947.0,[26.1829999],[26.04574026],[0.06156675],[-0.53725502],19,"[164716633, 12762565, 82068742, 137320805, 81971721, 73560138, 12865483, 164529262, 164847471, 204109200, 204668691, 204402548, 6453976, 84166393, 137594139, 137028990]",16
1975623.0,[15.16688983],[15.10183163],[-0.04642735],[-1.48894873],107,"[67245954, 12941699, 154247947, 170722061, 156289933, 244058513, 12975121, 154291477, 240005016, 86131098, 77885595, 79857697, 225544737, 164469668, 84148261, 244262313, 84216490, 80022322, 154273849, 229504953, 170890049, 154133571, 84173508, 227550534, 86194637, 10842958, 225485903, 80049489, 227653849, 168739293, 227618526, 244088927, 86282717, 84245861, 82082536, 235756009, 166856681, 164782442, 236051561, 238079984, 10873464, 172819449, 156345337]",43
1978482.0,[20.19219422],[17.16627738],[0.31182494],[1.0151226],7,"[206824548, 4527315, 137624086, 766388984, 71754553]",5
1978658.0,[28.00752379],[27.74721464],[0.08038969],[-0.8514374],24,"[252646369, 257272867, 81952388, 67282221, 179635982, 177170737, 164493746, 255107219, 176832918, 238471160, 83954747, 164859583]",12
1981589.0,[9.00798394],[8.90109514],[0.09023552],[1.07823752],18,"[146101539, 82218357, 217280663, 146086680, 219469721, 146007935]",6
1981636.0,[27.29131742],[27.28663362],[-0.0053915],[0.54338189],22,"[77667849, 69563403, 221361439, 69555236, 181529896, 256990771, 221125940, 8738616, 151671359, 2189632, 8464721, 181545810, 71398100, 183358422, 258819289, 222945756, 257011297, 80041445, 152187500, 2446200, 151950205]",21
1982523.0,[20.33163612],[20.05245172],[0.09670204],[0.1580254],8,"[175273998, 215478575, 67465908, 148411611, 360668]",5
1986019.0,[7.49353998],[7.43397085],[0.07472084],[-0.55335501],18,"[2276192, 71555616, 84093859, 170884933, 4409671, 12725552, 177133904, 12790933, 172954198, 73618135, 86178233, 84042110]",12
1986610.0,[19.31005414],[17.85226969],[-0.21160503],[-0.05640645],8,"[86267011, 246368008, 173024143, 412652113, 14953106, 248465913]",6
1986671.0,[23.49066863],[23.44253859],[-0.03057626],[1.32428794],6,"[75755117, 162293138, 143617636, 212787845]",4
1988889.0,[13.43791514],[13.34792222],[-0.05923857],[-1.19020962],53,"[202206723, 71446407, 8497672, 149882889, 2239757, 80073870, 149909775, 152138895, 219023635, 71477908, 71416725, 2211353, 2271257, 219057436, 219082526, 145533729, 212595746, 206235555, 8557348, 206374579, 79800506, 204390334, 137047490, 10865862, 151905734, 221081294, 135217492, 4359638, 135257558, 204379228, 79828447, 71467104, 71554529, 204352482, 2350694, 151953897, 137301484, 135182448, 137195890, 204304117, 151980277, 135127931, 221153919]",43
1989155.0,[11.62011047],[8.09454909],[-0.43809904],[-0.74049809],6,"[452495585, 450401027, 166390563, 81917715, 12682711, 241793087]",6
1990400.0,[15.26340621],[15.02351631],[-0.09340926],[0.44667576],22,"[71522944, 181400844, 256861464, 71387802, 4411291, 181270299, 6502813, 6370719, 256729377, 71699127, 147885502, 181609797, 147598795, 217063634, 75705683, 75575640, 147742169, 216776937, 216918251, 183498233]",20
1993466.0,[28.78055121],[28.60639245],[0.06578842],[-1.33382323],53,"[175511812, 156575878, 166256776, 154073097, 237527050, 245981970, 227841428, 79961239, 79847065, 154444581, 225695397, 175371560, 156646313, 175240364, 248612273, 175072701, 8574782, 227916223, 67254085, 225716549, 67236933, 67489097, 174957262, 231248975, 248327390, 10639839, 174705122, 79876069, 146534, 382573, 177609200, 156313845, 156170487, 239624441, 159980411, 154424956]",36
1994345.0,[20.41412239],[19.05750575],[0.20780231],[0.58242222],7,"[688492033, 2466922, 71664107, 759747499, 183681107, 259162141]",6
1996109.0,[21.8580905],[21.84858172],[-0.01146431],[1.60555101],48,"[6523397, 14782609, 216860694, 148278294, 14758040, 216880028, 237951784, 14805161, 216903338, 14930857, 219557802, 6373423, 216860207, 6470193, 75580210, 763929266, 86085557, 6396726, 75676726, 167076792, 75603257, 216938171, 86061501, 755466946, 166590532, 166570313, 86107849, 166613325, 86236622, 692665679, 147877457, 166553938, 239938257, 239958225, 239922647, 147708377, 239981529, 77722846, 8516318, 147730401, 219157478, 147765740, 147684717, 77824240, 238338416, 8621300, 147687030, 166685048]",48
1996131.0,[17.47682285],[17.3668417],[0.06699792],[-0.61145745],19,"[71759104, 4646018, 164548612, 175617674, 135411098, 84078747, 259447836, 164848168, 237921327, 84308145, 167227825, 135756994, 202480344, 12777822, 242693348, 73856239, 13008241, 246881394, 166645747]",19
2000016.0,[11.08015874],[9.90048275],[0.26264437],[-1.69536548],10,"[167288729, 77929586, 238531243, 152271993]",4
2001499.0,[26.68934195],[26.64086277],[0.03823159],[0.66358195],28,"[183715512, 154504082, 80118352, 259183269]",4
2001630.0,[17.36540115],[16.56353929],[-0.16401239],[1.077978],7,"[73476578, 139314059, 425054060, 208475079]",4
2002552.0,[5.45784441],[5.39928718],[-0.07632145],[0.15991769],24,"[139368449, 2352391, 73565834, 73580171, 71485463, 75738521, 6536098, 71473703, 141510068, 137321910, 71499065, 137289151, 4346182, 75646413, 71460173, 141465312, 2414946, 73468522, 71624429, 4449264, 6442229]",21
2002760.0,[29.04935706],[28.93680498],[-0.04387781],[0.29627345],24,"[181200063, 148300225, 69483685, 143330982, 210418312, 255189416, 145637704, 215278539, 179592524, 217476561, 77977010, 77701308, 179728023, 255049016, 256915897, 145880636, 181460957, 214820031]",18
2004716.0,[26.96765257],[26.61979283],[-0.08413868],[-0.04076097],48,"[75936392, 208484362, 4345354, 86208651, 170937610, 67180302, 67549199, 14908045, 86409362, 208801814, 177354263, 86064031, 171129888, 14762400, 141533988, 433958, 246407080, 204713512, 170554283, 194353, 170814002, 73545787, 6386491, 253055805, 6533436, 246599869, 209035841, 204450376, 141414986, 210704590, 139719888, 139454931, 141730649, 4601690, 177608540, 6729054, 75741026, 75594340, 254899435, 179147125, 173034744, 210581753, 73801850, 137106812]",44
2014125.0,[28.65243342],[25.35947516],[-0.26312341],[0.61552728],7,"[258923344, 183482460, 71606408]",3
2014864.0,[19.98749233],[19.93692435],[0.04424751],[-1.70022844],10,"[77971106, 208985314, 173300842, 8766606, 141900915]",5
2015544.0,[9.57869875],[9.57822335],[0.0103795],[-0.14402221],30,"[67359756, 139511951, 67492241, 250682129, 206592407, 139218331, 67312668, 249887, 139453087, 206305444, 177229989, 201766, 383656, 206531497, 139390896, 206471601, 179170240, 254623170, 73585866, 252692684, 73719163, 2293076, 4439639, 4385242, 177179999, 4515168, 177318632, 252641910, 73644151, 69278843]",30
2016345.0,[7.36763456],[6.99638086],[-0.17164688],[-0.00169797],12,"[179167530, 179348907, 67187276, 6471629, 254791471, 67385136, 137313553, 204403666, 137186707, 269139, 73575703, 74360]",12
2017300.0,[24.46416387],[24.44276492],[0.02801742],[-0.76255523],37,"[250939648, 135657347, 234024966, 250963976, 164969610, 135355534, 82199696, 255096594, 162751127, 82029979, 135459746, 233797157, 181724966, 73666471, 238339368, 238369061, 162525098, 82181294, 73821363, 4459573, 179673914, 4614206, 10897727, 202729921, 233902919, 179695688, 10728267, 202430412, 162631373, 165007183, 240456783, 10878815, 167087075, 253037030, 202533354, 253061361, 236122358]",37
2018021.0,[11.46971093],[11.35402174],[0.08355786],[0.24440019],33,"[252942112, 67457581, 144025382]",3
2019120.0,[16.11262878],[15.22931019],[0.1890088],[1.08207627],16,"[253147810, 238428227, 69344100, 14885189, 86308710, 71459111, 2353095, 169200904, 258972301, 244682867, 183491636, 165075995, 4359069]",13
2019380.0,[20.79647582],[20.69054942],[0.06075665],[-0.02988702],16,"[179831192, 255311066, 173296419, 86364572]",4
2019847.0,[22.80287813],[22.70846591],[0.05525204],[-0.29950547],17,"[168834451, 142142676, 84119133, 202812470]",4
2021792.0,[12.70726355],[12.10628619],[0.17579741],[0.51960009],10,"[135304921, 2334492, 71536542, 219430815]",4
2025073.0,[14.01185152],[13.82403695],[-0.08587502],[-1.51045127],6,"[225323407, 77745201, 172725970, 154062743]",4
2025699.0,[14.90418698],[14.86546327],[0.04477666],[0.54143005],38,"[183523845, 219112725, 2378262, 71583639, 149934614, 202432665, 221280409, 2481945, 71688346, 183633188, 221325988, 8772146, 149578804, 183388469, 152153274, 218762558, 202219976, 202470856, 80029132, 71516622, 221367247, 2443600, 71650514, 2271062, 152196313, 135354588, 135374813, 80075488, 79825122, 135289588]",30
