batch,track_id,hit_IDs,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits,correct_tracks,tid
2,10,"[79861075, 135054879, 135177017, 204178948, 2461008, 79903618]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,11,"[79861075, 135177017, 135506417, 202578121, 10849979, 71666900]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,12,"[79861075, 137102733, 137102733, 206276341, 10849979, 84125520]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 19]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 18]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,14,"[79861075, 168777111, 137102733, 204225966, 10656675, 79861075]","[25.393952398213194, 19.415435360274437, 25, 25, 25, 25]","[25.393358087198024, 18.87772022346696, 25, 25, 25, 25]","[0.0010767163656456062, -0.12571689782854448, 0, 0, 0, 0]","[0.6379361529378053, -0.38318625271521745, 0, 0, 0, 0]",6,1,22842
2,16,"[79903618, 135280709, 137102733, 212352341, 10849979, 71571915]","[25.393952398213194, 25.393952398213194, 25, 18, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 17, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 1, 0, 0]",6,1,22842
2,17,"[79903618, 137102733, 137102733, 473283334, 2276102, 79861075]","[25.393952398213194, 25.393952398213194, 25, 19, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 18, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,22,"[84125520, 168777111, 138969725, 475380467, 12817206, 79903618]","[19.415435360274437, 19.415435360274437, 19, 19, 19, 25]","[18.87772022346696, 18.87772022346696, 18, 18, 18, 25]","[-0.12571689782854448, -0.12571689782854448, 0, 0, 0, 0]","[-0.38318625271521745, -0.38318625271521745, 0, 0, 0, 0]",6,1,58891
2,29,"[151794454, 223066309, 80055920, 154268804, 4401107, 71482745]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,30,"[151794454, 223016050, 84125520, 183591021, 4401107, 71509854]","[25.393952398213194, 25.393952398213194, 19, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 18, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,31,"[151794454, 223121994, 71666900, 183591021]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
